expocode: 316420210407
vessel name: CB-06_125W_43N
PIs:  Sutton_A.; Hales_B.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
CB-06_125W_43N,43.2971277,-124.5344796,04/07/2021,18:47:00,265.9,2,1.7,419.4,2,1.64,1024.1,10.6,102.35,9.74,31.676,266.356,420.126,265.047,418.1,-153,266.1,419.7,-153.6,-999,5,-999,5,0.983,2,320.1,2
CB-06_125W_43N,43.2971277,-124.5344796,04/08/2021,23:17:00,259.4,2,1.88,420,2,1.79,1028.5,11,104.83,9.98,31.819,259.858,420.723,259.669,420.4,-160.7,260.7,422.1,-161.4,-999,5,-999,5,1.212,2,328.6,2
CB-06_125W_43N,43.2971277,-124.5344796,04/08/2021,23:47:00,258.7,2,1.31,422.3,2,1.22,1028.3,11.5,105.92,9.99,31.824,259.019,422.83,258.771,422.4,-163.7,259.8,424.1,-164.3,-999,5,-999,5,1.229,2,329.5,2
CB-06_125W_43N,43.2971277,-124.5344796,04/09/2021,00:17:00,256.8,2,1.05,422.8,2,0.95,1028.2,11.8,106.73,9.93,31.841,257.109,423.172,256.848,422.7,-165.9,257.9,424.4,-166.5,8.203,2,-999,5,1.198,2,331.5,2
CB-06_125W_43N,43.2971277,-124.5344796,04/09/2021,00:47:00,253.8,2,0.99,423.1,2,0.9,1027.8,12,107.41,9.98,31.844,254.039,423.488,253.675,422.9,-169.2,254.7,424.5,-169.9,-999,5,-999,5,1.223,2,331.3,2
CB-06_125W_43N,43.2971277,-124.5344796,04/09/2021,01:17:00,252.3,2,0.97,423.1,2,0.88,1027.5,12.1,107.84,10.03,31.849,252.531,423.442,252.073,422.7,-170.6,253.1,424.3,-171.3,-999,5,-999,5,1.24,2,331.7,2
CB-06_125W_43N,43.2971277,-124.5344796,04/09/2021,01:47:00,250.3,2,0.93,423.1,2,0.86,1027,12.2,108.21,9.96,31.847,250.507,423.439,249.961,422.5,-172.6,250.9,424.2,-173.2,-999,5,-999,5,1.234,2,333.1,2
CB-06_125W_43N,43.2971277,-124.5344796,04/09/2021,02:17:00,249.6,2,0.92,422.6,2,0.84,1026.7,12.3,108.47,9.95,31.846,249.816,422.966,249.195,421.9,-172.7,250.2,423.6,-173.4,-999,5,-999,5,1.261,2,332.9,2
CB-06_125W_43N,43.2971277,-124.5344796,04/09/2021,02:47:00,251.3,2,0.89,423.3,2,0.82,1026.3,12.3,108.57,9.92,31.849,251.572,423.624,250.863,422.4,-171.6,251.8,424.1,-172.2,-999,5,-999,5,1.25,2,333,2
CB-06_125W_43N,43.2971277,-124.5344796,04/09/2021,03:17:00,254.6,2,0.87,423.2,2,0.8,1026.1,12.4,108.58,9.95,31.846,254.773,423.496,253.994,422.2,-168.2,255,423.9,-168.9,8.208,2,-999,5,1.249,2,330.9,2
