expocode: 316420190731
vessel name: CB-06_125W_43N
PIs:  Sutton_A.; Hales_B.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,07/31/2019,17:46,262.2,2,2.34,419.0,2,2.32,1018.4,15.4,102.72,13.138,32.940,262.9,420.0,259.4,414.4,-155.0,260.3,415.9,-155.6,-999,5,-999,5,0.698,2,330.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,07/31/2019,18:16,289.3,2,2.76,419.6,2,2.54,1018.4,16.0,104.55,13.198,33.036,290.1,420.7,286.3,415.1,-128.9,287.3,416.7,-129.4,-999,5,-999,5,0.679,2,326.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,07/31/2019,18:46,288.2,2,2.92,417.0,2,2.61,1018.5,16.4,105.70,13.145,33.013,289.1,418.1,285.3,412.6,-127.4,286.3,414.2,-127.9,-999,5,-999,5,0.678,2,316.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,07/31/2019,19:16,241.9,2,2.97,412.3,2,2.67,1018.4,16.8,107.96,14.006,32.944,242.6,413.4,239.2,407.6,-168.4,240.1,409.1,-169.0,-999,5,-999,5,0.690,2,356.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,07/31/2019,19:46,253.9,2,2.99,409.8,2,2.69,1018.3,17.1,108.87,13.524,32.883,254.7,410.9,251.2,405.3,-154.1,252.2,406.8,-154.7,-999,5,-999,5,0.671,2,342.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,07/31/2019,20:16,236.9,2,3.01,408.9,2,2.71,1018.3,17.4,109.95,14.349,32.824,237.7,410.0,234.2,404.1,-169.9,235.1,405.6,-170.5,-999,5,-999,5,0.581,2,336.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,07/31/2019,20:46,231.9,2,2.95,408.1,2,2.70,1018.1,17.7,111.27,13.349,32.752,232.6,409.2,229.4,403.6,-174.2,230.2,405.1,-174.9,-999,5,-999,5,0.589,2,338.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,07/31/2019,21:16,235.9,2,2.81,407.4,2,2.69,1018.1,17.9,112.07,14.161,32.791,236.6,408.5,233.1,402.6,-169.4,234.0,404.1,-170.1,-999,5,-999,5,0.550,2,347.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,08/01/2019,00:16,239.3,2,2.77,405.4,2,2.78,1017.6,17.6,112.93,16.145,32.791,240.0,406.5,235.9,399.6,-163.7,236.7,401.0,-164.3,8.225,2,-999,5,0.562,2,345.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB-06_125W_43N,43.301,-124.528,08/01/2019,03:16,238.5,2,2.45,404.7,2,2.59,1017.4,18.3,112.70,15.708,32.537,239.1,405.8,235.1,399.0,-163.9,235.9,400.4,-164.5,8.224,2,-999,5,0.557,2,327.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
