expocode: 316420081111
vessel name: CCE1_122W_33N
"PIs: Sutton, A.; Send, U."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CCE1_122W_33N,33.48,-122.53,11/11/2008,1:29:00,343.9,2,4.32,384.9,2,4.95,1019.2,16.1,100.24,-999,-999,345.4,386.8,-999,-999,-999,-999,-999,-999
CCE1_122W_33N,33.48,-122.53,11/11/2008,1:59:00,351.1,2,2.99,385.4,2,3.42,1019.1,16.7,100.29,-999,-999,352.1,386.7,-999,-999,-999,-999,-999,-999
CCE1_122W_33N,33.48,-122.53,11/11/2008,2:29:00,351.1,2,2.86,385.4,2,3.29,1019,17,100.48,-999,-999,352.1,386.7,-999,-999,-999,-999,-999,-999
CCE1_122W_33N,33.48,-122.53,11/11/2008,2:59:00,350.5,2,2.9,385.4,2,3.34,1018.7,17.3,100.53,-999,-999,351.6,386.7,-999,-999,-999,-999,-999,-999
CCE1_122W_33N,33.48,-122.53,11/11/2008,3:29:00,351,2,3.13,385.3,2,3.37,1018.8,17.4,100.58,15.251,33.321,352.1,386.6,346.9,380.9,-34,348.1,382.2,-34.1
CCE1_122W_33N,33.48,-122.53,11/11/2008,3:59:00,356.2,2,3.15,385.3,2,3.4,1019.1,17.6,100.58,-999,-999,357.3,386.6,-999,-999,-999,-999,-999,-999
CCE1_122W_33N,33.48,-122.53,11/11/2008,4:29:00,355,2,3.18,385.1,2,3.43,1019.2,17.7,100.58,-999,-999,356.2,386.4,-999,-999,-999,-999,-999,-999
CCE1_122W_33N,33.48,-122.53,11/11/2008,4:59:00,352.6,2,3.2,385,2,3.45,1019.4,17.8,100.58,-999,-999,353.7,386.3,-999,-999,-999,-999,-999,-999
CCE1_122W_33N,33.48,-122.53,11/11/2008,6:17:00,353.2,2,4.26,384.5,2,4.53,1019.5,17.3,100.63,15.207,33.326,354.7,386.2,349.7,380.8,-31.1,351,382.1,-31.2
CCE1_122W_33N,33.48,-122.53,11/11/2008,9:17:00,353.5,2,4.72,383.6,2,5,1020.1,16.9,100.58,15.127,33.334,355.1,385.5,350.4,380.3,-30,351.6,381.7,-30.1
