expocode: 316420151120
vessel name: CCE1_122W_33N
PIs:  Sutton, A.; Send, U. 
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,05:17,377.3,2,3.13,399.0,2,3.17,1018.1,18.1,99.64,-999,-999,378.5,400.3,-999,-999,-999,-999,-999,-999,-999,5,0.153,2,0.011,2,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,05:47,377.0,2,3.19,399.8,2,3.20,1018.2,18.4,99.73,-999,-999,378.2,401.1,-999,-999,-999,-999,-999,-999,-999,5,0.158,2,0.007,2,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,06:17,376.6,2,3.21,400.1,2,3.21,1018.3,18.6,99.75,16.931,33.341,377.8,401.4,371.3,394.5,-23.2,372.6,395.9,-23.3,-999,5,0.142,2,0.008,2,220.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,06:47,376.7,2,3.26,400.4,2,3.20,1018.2,18.7,99.82,-999,-999,378.0,401.7,-999,-999,-999,-999,-999,-999,-999,5,0.160,2,0.009,2,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,07:17,376.4,2,3.26,400.8,2,3.17,1018.1,18.8,99.88,-999,-999,377.7,402.1,-999,-999,-999,-999,-999,-999,-999,5,0.155,2,0.004,2,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,07:47,376.6,2,3.22,400.6,2,3.19,1017.6,18.9,99.83,-999,-999,377.9,401.9,-999,-999,-999,-999,-999,-999,-999,5,0.156,2,,2,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,08:17,376.6,2,3.25,400.4,2,3.13,1017.7,18.9,99.88,-999,-999,377.9,401.7,-999,-999,-999,-999,-999,-999,-999,5,0.158,2,0.017,2,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,09:17,376.9,2,3.82,399.5,2,3.69,1017.3,18.4,99.90,16.936,33.343,378.3,400.9,371.5,393.7,-22.2,372.8,395.1,-22.3,-999,5,0.157,2,0.027,2,220.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,12:17,377.3,2,3.98,398.3,2,3.95,1016.7,17.7,99.90,16.890,33.339,378.8,399.9,371.7,392.4,-20.7,373.0,393.8,-20.8,-999,5,-999,5,0.014,2,220.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.456,-122.523,11/20/2015,15:17,376.2,2,4.03,398.3,2,4.02,1017.7,17.6,99.89,16.834,33.334,377.8,399.9,371.1,392.8,-21.7,372.4,394.2,-21.8,-999,5,-999,5,0.025,2,221.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
