"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"CCE1_122W_33N","33.460","-122.500","09/02/2010","17:53","366.4","2","2.95","384.9","2","2.60","1011.1","17.4","100.39","16.279","33.383","367.5","385.9","358.8","376.9","-18.0","360.1","378.2","-18.1"
"CCE1_122W_33N","33.460","-122.500","09/02/2010","18:23","365.8","2","3.00","384.7","2","2.85","1011.1","17.7","100.68","16.341","33.383","366.9","385.8","358.2","376.7","-18.4","359.5","378.0","-18.5"
"CCE1_122W_33N","33.460","-122.500","09/02/2010","18:53","365.9","2","3.04","384.8","2","2.88","1011.2","17.9","100.87","16.373","33.383","367.0","385.9","358.4","376.9","-18.5","359.7","378.2","-18.5"
"CCE1_122W_33N","33.460","-122.500","09/02/2010","19:23","365.7","2","2.87","384.6","2","2.71","1011.0","18.1","101.01","16.423","33.384","366.7","385.6","358.0","376.5","-18.5","359.3","377.8","-18.5"
"CCE1_122W_33N","33.460","-122.500","09/02/2010","19:53","365.9","2","3.10","384.6","2","2.73","1010.9","18.3","101.21","16.451","33.381","367.0","385.7","358.3","376.4","-18.2","359.5","377.8","-18.2"
"CCE1_122W_33N","33.460","-122.500","09/02/2010","20:23","365.2","2","3.13","384.9","2","2.96","1010.8","18.4","101.36","16.488","33.379","366.3","386.0","357.5","376.8","-19.2","358.8","378.1","-19.3"
"CCE1_122W_33N","33.460","-122.500","09/02/2010","20:53","365.1","2","3.15","384.4","2","2.98","1010.6","18.5","101.40","16.541","33.378","366.2","385.5","357.3","376.2","-18.8","358.6","377.5","-18.9"
"CCE1_122W_33N","33.460","-122.500","09/02/2010","21:23","364.7","2","3.17","384.3","2","3.00","1010.5","18.6","101.55","16.572","33.376","365.9","385.4","356.9","376.0","-19.1","358.2","377.4","-19.2"
"CCE1_122W_33N","33.460","-122.500","09/03/2010","00:17","364.4","2","3.56","383.1","2","3.43","1010.5","17.5","101.60","16.501","33.330","365.7","384.5","356.8","375.1","-18.3","358.1","376.4","-18.3"
"CCE1_122W_33N","33.460","-122.500","09/03/2010","03:17","365.2","2","3.69","383.1","2","3.36","1011.2","17.2","101.50","16.369","33.318","366.6","384.4","357.9","375.4","-17.4","359.2","376.7","-17.5"
"CCE1_122W_33N","33.460","-122.500","09/03/2010","06:17","362.5","2","3.64","382.9","2","3.31","1012.6","17.0","101.49","16.269","33.312","363.8","384.2","355.8","375.7","-19.9","357.0","377.1","-20.0"
"CCE1_122W_33N","33.460","-122.500","09/03/2010","09:17","364.1","2","3.62","383.0","2","3.29","1012.3","16.9","101.35","16.308","33.308","365.5","384.3","357.3","375.7","-18.4","358.6","377.0","-18.5"
"CCE1_122W_33N","33.460","-122.500","09/03/2010","12:17","364.7","2","3.40","382.9","2","3.27","1012.7","16.8","101.30","16.280","33.310","366.0","384.1","357.9","375.7","-17.7","359.2","377.0","-17.8"
