expocode: 316420130930
vessel name: CCE1_122W_33N
PIs:  Sutton, A.; Send, U.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,PH_SW,QF_PH,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,09/30/2013,15:17,386.2,2,3.92,391.5,2,3.94,1018.3,18.1,100.47,16.805,33.519,387.7,393.0,381.1,386.3,-5.3,382.4,387.7,-5.3,-999,5,-999,5,-999,4,232.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,09/30/2013,18:17,390.2,2,3.97,391.8,2,4.06,1018.5,18.3,100.36,17.234,33.614,391.8,393.4,385.0,386.6,-1.6,386.4,388.0,-1.6,-999,5,-999,5,-999,4,226.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,09/30/2013,21:17,387.5,2,4.00,391.9,2,4.01,1017.5,18.6,100.19,17.479,33.586,389.1,393.5,381.8,386.2,-4.4,383.2,387.6,-4.4,-999,5,-999,5,-999,4,226.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,10/01/2013,00:17,380.7,2,4.12,392.2,2,4.05,1016.3,18.9,100.35,18.012,33.471,382.3,393.8,374.4,385.7,-11.3,375.8,387.1,-11.3,-999,5,-999,5,-999,4,227.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,10/01/2013,03:17,380.9,2,4.24,392.2,2,4.13,1016.2,19.2,100.45,18.112,33.456,382.5,393.8,374.6,385.7,-11.1,375.9,387.1,-11.1,-999,5,-999,5,-999,4,227.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,10/01/2013,06:17,382.2,2,4.25,392.6,2,4.12,1016.4,19.3,100.42,18.468,33.384,383.8,394.3,375.8,386.0,-10.3,377.1,387.4,-10.3,-999,5,0.774,2,-999,4,224.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,10/01/2013,09:17,384.3,2,4.31,392.1,2,4.17,1016.0,19.4,100.29,18.528,33.295,386.0,393.7,377.7,385.3,-7.6,379.0,386.6,-7.6,-999,5,0.637,2,-999,4,223.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,10/01/2013,12:17,388.6,2,4.20,392.2,2,3.99,1016.0,19.4,100.16,18.517,33.225,390.2,393.8,381.9,385.4,-3.5,383.2,386.7,-3.5,-999,5,-999,5,-999,4,223.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,10/01/2013,15:17,388.5,2,4.14,392.5,2,3.80,1016.9,19.3,100.09,18.490,33.220,390.1,394.0,382.1,386.0,-3.8,383.5,387.3,-3.9,-999,5,-999,5,-999,4,223.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCE1_122W_33N,33.520,-122.509,10/01/2013,18:17,388.1,2,4.01,392.2,2,3.64,1018.3,19.2,100.13,18.477,33.228,389.6,393.6,382.2,386.1,-3.9,383.6,387.5,-3.9,-999,5,-999,5,-999,4,223.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
