expocode: 316420150428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: CCE2_121W_34N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.; Send, U. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,PH_SW,PH_QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CCE2_121W_34N,34.308,-120.803,04/28/2015,06:17,447.4,2,1.45,407.9,2,1.35,1016.4,15.5,98.46,13,33.358,448.1,408.4,441.3,402.3,39,443,403.8,39.2,7.999,2,-999,5,-999,5,244.4,2
CCE2_121W_34N,34.308,-120.803,04/28/2015,06:47,446.7,2,1.4,407.7,2,1.3,1016.9,15.5,98.19,12.917,33.36,447.3,408.2,440.8,402.3,38.5,442.5,403.8,38.7,-999,-999,-999,5,-999,5,243.2,2
CCE2_121W_34N,34.308,-120.803,04/28/2015,07:17,438.3,2,1.4,407.3,2,1.29,1016.9,15.5,98.12,12.929,33.353,438.9,407.8,432.6,401.9,30.6,434.2,403.4,30.7,-999,-999,-999,5,-999,5,244.5,2
CCE2_121W_34N,34.308,-120.803,04/28/2015,07:47,437.9,2,1.38,407.1,2,1.28,1017,15.5,98.05,12.985,33.349,438.5,407.7,432.2,401.8,30.4,433.8,403.3,30.5,-999,-999,-999,5,-999,5,246.1,2
CCE2_121W_34N,34.308,-120.803,04/28/2015,08:17,434.6,2,1.39,406.2,2,1.28,1016.6,15.5,98.07,12.987,33.348,435.2,406.7,428.7,400.7,28,430.3,402.2,28.1,-999,-999,-999,5,-999,5,246.7,2
CCE2_121W_34N,34.308,-120.803,04/28/2015,08:47,431.8,2,1.41,405.7,2,1.29,1016.3,15.5,98.15,12.951,33.348,432.4,406.2,425.8,400,25.8,427.4,401.5,25.9,-999,-999,-999,5,-999,5,248,2
CCE2_121W_34N,34.308,-120.803,04/28/2015,09:17,429.6,2,1.39,405.5,2,1.28,1016,15.5,98.19,12.932,33.344,430.2,406,423.5,399.7,23.8,425.1,401.2,23.9,8.024,2,-999,5,-999,5,248.6,2
CCE2_121W_34N,34.308,-120.803,04/28/2015,12:17,427.2,2,2.09,403.6,2,2,1015.3,14.2,98.32,13.111,33.323,428.1,404.4,421.1,397.8,23.3,422.7,399.3,23.4,8.024,2,-999,5,-999,5,249.6,2
CCE2_121W_34N,34.308,-120.803,04/28/2015,15:17,427.6,2,2.17,404.4,2,2.08,1015.8,14.1,98.29,13.018,33.321,428.5,405.2,421.8,398.9,23,423.4,400.3,23.1,8.027,2,-999,5,-999,5,248.5,2
CCE2_121W_34N,34.308,-120.803,04/28/2015,18:17,422.7,2,2.29,404.7,2,2.2,1016.7,14.1,98.35,13.072,33.31,423.7,405.6,417.4,399.6,17.8,419,401.1,17.9,8.028,2,-999,5,-999,5,249.8,2
