expocode: 316420170815
vessel name: CCE2_121W_34N
PIs:   Sutton A.; Send U.; Ohman M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
CCE2_121W_34N,34.324,-120.815,08/15/2017,06:17,373.4,2,2.19,-999,4,2.05,1013.2,17.3,101.14,15.991,33.481,374.2,-999,366.3,-999,-999,367.6,-999,-999,8.029,2,-999,4,-999,4,253.2,2
CCE2_121W_34N,34.324,-120.815,08/15/2017,06:47,374.4,2,1.93,397.9,2,1.79,1013.2,17.6,101.24,15.98,33.482,375.1,398.6,367.2,390.2,-22.9,368.5,391.6,-23,8.029,2,-999,4,-999,4,252.5,2
CCE2_121W_34N,34.324,-120.815,08/15/2017,07:17,374.1,2,1.88,398,2,1.73,1013.3,17.8,101.3,15.977,33.482,374.8,398.6,366.9,390.3,-23.3,368.2,391.7,-23.4,8.027,2,-999,4,-999,4,252.3,2
CCE2_121W_34N,34.324,-120.815,08/15/2017,07:47,374,2,1.89,398.3,2,1.72,1013.3,17.9,101.38,15.99,33.483,374.7,399,366.8,390.6,-23.8,368.1,391.9,-23.8,8.028,2,-999,4,-999,4,252,2
CCE2_121W_34N,34.324,-120.815,08/15/2017,08:17,373.7,2,1.88,398.3,2,1.7,1013.2,18,101.43,15.985,33.483,374.4,399,366.5,390.5,-24,367.8,391.9,-24.1,8.029,2,-999,4,-999,4,252.2,2
CCE2_121W_34N,34.324,-120.815,08/15/2017,08:47,375.4,2,1.89,398.5,2,1.7,1013.1,18,101.43,15.992,33.484,376.1,399.1,368.1,390.7,-22.5,369.5,392,-22.6,8.027,2,-999,4,-999,4,251.9,2
CCE2_121W_34N,34.324,-120.815,08/15/2017,09:17,375.5,2,1.88,398.5,2,1.68,1013.1,18,101.42,15.983,33.485,376.2,399.2,368.2,390.7,-22.4,369.6,392.1,-22.5,8.028,2,-999,4,-999,4,251.4,2
CCE2_121W_34N,34.324,-120.815,08/15/2017,12:17,377.3,2,3.15,395.9,2,2.97,1013.4,16.8,101.32,15.88,33.489,378.5,397.1,370.6,388.8,-18.3,371.9,390.2,-18.3,8.027,2,-999,5,-999,4,249.4,2
CCE2_121W_34N,34.324,-120.815,08/15/2017,15:17,390.1,2,3.21,395.6,2,3,1014.6,16.4,100.92,15.454,33.49,391.3,396.8,383.8,389.1,-5.3,385.2,390.5,-5.3,8.016,2,-999,5,-999,4,245.9,2
CCE2_121W_34N,34.324,-120.815,08/15/2017,18:17,385.6,2,3.29,395.4,2,3.08,1015.4,16.4,100.75,15.466,33.491,386.9,396.6,379.8,389.3,-9.6,381.1,390.7,-9.6,8.018,2,-999,5,-999,4,247.4,2
