expocode: 316420100117
vessel name: CCE2_121W_34N
"PIs: Sutton, A.; Send, U. "
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CCE2_121W_34N,34.32,-120.81,1/17/2010,0:28:00,325.6,2,2.69,383.6,2,3.11,1015.4,16,101.27,14.701,33.023,326.5,384.8,320.8,378,-57.2,321.9,379.4,-57.5
CCE2_121W_34N,34.32,-120.81,1/17/2010,0:58:00,326.3,2,2.43,385.8,2,2.65,1015.3,16.6,101.75,14.678,33.021,327.1,386.8,321.3,380,-58.7,322.5,381.3,-58.9
CCE2_121W_34N,34.32,-120.81,1/17/2010,1:28:00,322.6,2,2.48,385.9,2,2.71,1015.7,17,102.19,14.656,33.022,323.4,386.9,317.8,380.2,-62.5,319,381.6,-62.6
CCE2_121W_34N,34.32,-120.81,1/17/2010,1:58:00,318.4,2,2.51,385.8,2,2.75,1015.6,17.2,102.47,14.599,33.018,319.2,386.9,313.6,380.2,-66.5,314.8,381.6,-66.8
CCE2_121W_34N,34.32,-120.81,1/17/2010,2:28:00,319.1,2,2.73,385.9,2,2.97,1015.5,17.4,102.62,14.618,33.021,320,387,314.4,380.2,-65.9,315.6,381.6,-66.1
CCE2_121W_34N,34.32,-120.81,1/17/2010,2:58:00,318.7,2,2.75,385.8,2,2.99,1015.8,17.5,100.75,14.598,33.021,319.5,386.9,314,380.3,-66.2,315.2,381.6,-66.5
CCE2_121W_34N,34.32,-120.81,1/17/2010,6:17:00,321.8,2,4.06,382.8,2,4.31,1016.2,16.4,102.49,14.632,33.023,323.1,384.4,317.6,378,-60.3,318.8,379.3,-60.5
CCE2_121W_34N,34.32,-120.81,1/17/2010,9:17:00,332.3,2,4.19,382.9,2,4.63,1015.2,16.2,102.2,14.531,33.008,333.7,384.6,327.8,377.8,-50,329,379.2,-50.2
CCE2_121W_34N,34.32,-120.81,1/17/2010,12:17:00,338.2,2,4.32,383.6,2,4.58,1014.5,16,102.12,14.331,32.994,339.7,385.3,333.5,378.3,-44.8,334.7,379.7,-44.9
CCE2_121W_34N,34.32,-120.81,1/17/2010,15:17:00,335.7,2,4.26,383.5,2,4.52,1014.8,15.8,102.39,13.995,32.979,337.1,385.2,331.2,378.5,-47.2,332.4,379.8,-47.4
CCE2_121W_34N,34.32,-120.81,1/17/2010,18:17:00,317.5,2,4.57,382.3,2,4.83,1016.7,15.7,102.7,14.202,32.992,318.9,384.1,313.8,378,-64.2,315,379.4,-64.4
CCE2_121W_34N,34.32,-120.81,1/17/2010,21:17:00,315,2,4.39,382.5,2,4.65,1015.3,15.6,102.7,14.271,32.991,316.4,384.3,310.9,377.7,-66.7,312.1,379,-67
CCE2_121W_34N,34.32,-120.81,1/18/2010,0:17:00,322.5,2,3.67,384,2,3.91,1015,15.5,102.46,14.186,32.948,323.7,385.5,318,378.7,-60.7,319.2,380.1,-60.9
CCE2_121W_34N,34.32,-120.81,1/18/2010,3:17:00,331.8,2,4.02,384,2,4.26,1014.2,14.8,102.42,14.324,32.958,333.2,385.7,327,378.5,-51.5,328.2,380,-51.7
CCE2_121W_34N,34.32,-120.81,1/18/2010,6:17:00,326.9,2,4.63,384.1,2,4.88,1013.7,14.6,102.42,14.031,32.92,328.4,386,322.3,378.7,-56.5,323.5,380.2,-56.7
CCE2_121W_34N,34.32,-120.81,1/18/2010,9:17:00,326.3,2,4.68,382.7,2,4.76,1011.9,14.8,102.04,14.123,32.96,327.8,384.5,321.1,376.6,-55.5,322.2,378,-55.7
