expocode: 316420120324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: CCE2_121W_34N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH SW (Total Scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CCE2_121W_34N,34.318,-120.831,03/24/2012,06:17,533.9,2,2.27,400.3,2,2.03,1016.2,13,99.45,11.378,33.744,535.1,401.1,527.7,395.6,132.1,529.7,397.1,132.6,-999,5,0.545,2,-999,5,239.9,2
CCE2_121W_34N,34.318,-120.831,03/24/2012,09:17,559.6,2,2.46,399.3,2,2.27,1016,12,98.8,11.201,33.748,561,400.2,553.2,394.6,158.5,555.3,396.1,159.1,7.927,2,0.456,2,-999,5,227.4,2
CCE2_121W_34N,34.318,-120.831,03/24/2012,12:17,521.7,2,2.54,398.9,2,2.31,1015.1,11.9,98.63,11.136,33.704,523,399.8,515.3,393.9,121.3,517.2,395.4,121.8,7.956,2,-999,5,-999,5,238.1,2
CCE2_121W_34N,34.318,-120.831,03/24/2012,15:17,563.1,2,2.59,399.1,2,2.4,1014.7,11.9,98.12,11.094,33.744,564.5,400.1,556,394,162,558.1,395.5,162.6,7.935,2,-999,5,-999,5,226.2,2
CCE2_121W_34N,34.318,-120.831,03/24/2012,18:17,604.4,2,2.52,399.4,2,2.4,1014.8,12,97.53,10.918,33.755,605.9,400.3,596.9,394.4,202.5,599.2,395.9,203.3,7.894,2,-999,5,-999,5,212.3,2
CCE2_121W_34N,34.318,-120.831,03/24/2012,21:17,625.7,2,2.61,399.3,2,2.47,1013.5,12,96.92,10.96,33.764,627.4,400.2,617.2,393.8,223.4,619.5,395.3,224.3,7.732,4,-999,5,-999,5,209.2,2
CCE2_121W_34N,34.318,-120.831,03/25/2012,00:17,610.2,2,2.57,399.1,2,2.44,1011.5,12.1,96.6,10.955,33.77,611.8,400.1,600.7,392.8,207.8,603,394.3,208.6,7.897,2,-999,5,-999,5,212.3,2
CCE2_121W_34N,34.318,-120.831,03/25/2012,03:17,544.8,2,2.64,399,2,2.52,1010.8,12.2,96.99,11.316,33.702,546.2,400,535.8,392.3,143.4,537.8,393.8,144,7.945,2,-999,5,-999,5,233.7,2
CCE2_121W_34N,34.318,-120.831,03/25/2012,06:17,517.7,2,2.72,398.3,2,2.64,1010.3,12.4,97.63,11.474,33.649,519.1,399.4,508.9,391.5,117.4,510.8,393,117.8,7.972,2,0.334,2,-999,5,238.1,2
CCE2_121W_34N,34.318,-120.831,03/25/2012,09:17,520.5,2,2.39,399.6,2,2.27,1011.2,12.3,97.81,11.407,33.618,521.8,400.5,511.9,392.9,119,513.9,394.4,119.5,7.97,2,0.308,2,-999,5,236.1,2
