expocode: 316420170311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: CCE2_121W_34N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.; Send, U.; Ohman, M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CCE2_121W_34N,34.306,-120.806,03/11/2017,07:17,403.1,2,3.19,408.7,2,3.35,1016.1,14.1,100.11,13.036,33.283,404.4,410,398.2,403.7,-5.6,399.7,405.3,-5.6,8.06,2,-999,5,-999,5,279.2,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,07:47,405.2,2,2.39,410.7,2,2.51,1016.3,14.7,100.08,13.005,33.288,406.2,411.7,400,405.4,-5.4,401.5,406.9,-5.4,8.058,2,-999,5,-999,5,279,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,08:17,405,2,2.37,410,2,2.44,1016.1,15,100.07,12.988,33.29,405.9,411,399.7,404.7,-5,401.2,406.2,-5.1,8.055,2,-999,5,-999,5,278.7,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,08:47,407.3,2,2.43,412.1,2,2.51,1016.3,15.2,100.05,12.976,33.291,408.3,413.1,402.1,406.9,-4.8,403.6,408.4,-4.8,8.056,2,-999,5,-999,5,278.3,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,09:17,405.3,2,2.47,410.4,2,2.49,1016.4,15.3,100.04,12.97,33.291,406.3,411.4,400.2,405.2,-5,401.7,406.7,-5,8.055,2,-999,5,-999,5,278.3,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,09:47,405.5,2,2.47,410.6,2,2.53,1016,15.4,100.01,12.961,33.292,406.5,411.6,400.3,405.3,-5,401.8,406.8,-5,8.056,2,-999,5,-999,5,277.9,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,10:17,405.5,2,2.51,410.5,2,2.55,1015.8,15.4,100.04,12.951,33.294,406.5,411.5,400.2,405.1,-4.9,401.7,406.6,-4.9,8.054,2,-999,5,-999,5,277.7,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,10:47,406,2,2.56,410.5,2,2.58,1015.8,15.5,100.06,12.945,33.295,407,411.6,400.6,405.1,-4.5,402.1,406.6,-4.5,8.054,2,-999,5,-999,5,277.5,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,12:17,406.6,2,3.22,411.8,2,3.25,1015.4,14.7,100.06,12.918,33.298,407.9,413.1,401.4,406.5,-5.1,402.9,408,-5.1,8.049,2,-999,5,-999,5,276.2,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,15:17,409.2,2,3.33,414,2,3.4,1015.9,14.2,100.11,12.896,33.299,410.6,415.4,404.2,409,-4.8,405.7,410.6,-4.8,8.039,2,-999,5,-999,5,274.9,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,18:17,404.2,2,3.3,409.4,2,3.29,1017.7,14.2,100.02,12.936,33.303,405.5,410.7,400,405.1,-5.1,401.5,406.6,-5.1,8.059,2,-999,5,-999,5,279.9,2
CCE2_121W_34N,34.306,-120.806,03/11/2017,21:17,401.9,2,3.38,409.5,2,3.4,1017.3,14.2,100.04,13.109,33.291,403.2,410.9,397.5,405.1,-7.6,399,406.6,-7.6,8.074,2,-999,5,-999,5,286.6,2
CCE2_121W_34N,34.306,-120.806,03/12/2017,00:17,399.1,2,3.36,407.9,2,3.35,1016.1,14.3,100.03,13.157,33.285,400.5,409.3,394.3,402.9,-8.7,395.7,404.4,-8.7,8.082,2,-999,5,-999,5,287.1,2
CCE2_121W_34N,34.306,-120.806,03/12/2017,03:17,400.1,2,3.28,408.2,2,3.18,1017,14.2,100.07,13.103,33.286,401.4,409.5,395.5,403.5,-8,397,405,-8,8.072,2,-999,5,-999,5,281.1,2
CCE2_121W_34N,34.306,-120.806,03/12/2017,06:17,401.2,2,3.29,408,2,3.29,1017.5,14.1,100.03,13.042,33.291,402.5,409.4,396.9,403.6,-6.8,398.4,405.1,-6.8,8.066,2,-999,5,-999,5,277.2,2
CCE2_121W_34N,34.306,-120.806,03/12/2017,09:17,402.8,2,3.36,407.8,2,3.39,1016.6,14.1,100.02,12.996,33.293,404.1,409.2,398.1,403.1,-5,399.6,404.6,-5,8.056,2,-999,5,-999,5,273.8,2
CCE2_121W_34N,34.306,-120.806,03/12/2017,12:17,405.7,2,3.34,410.8,2,3.28,1015.5,14.1,100.06,12.942,33.302,407.1,412.2,400.6,405.6,-5,402.1,407.1,-5,8.053,2,-999,5,-999,5,272.5,2
CCE2_121W_34N,34.306,-120.806,03/12/2017,15:17,404.4,2,3.33,409.8,2,3.32,1016.7,14.1,100.05,12.94,33.301,405.8,411.1,399.8,405.1,-5.2,401.3,406.6,-5.3,8.051,2,-999,5,-999,5,271.6,2
CCE2_121W_34N,34.306,-120.806,03/12/2017,18:17,408.2,2,3.43,414.7,2,3.39,1016.5,14.1,100.01,12.998,33.302,409.6,416.1,403.4,409.9,-6.5,404.9,411.4,-6.5,8.06,2,-999,5,-999,5,274,2
CCE2_121W_34N,34.306,-120.806,03/12/2017,21:17,401.4,2,3.44,410.5,2,3.38,1016.3,14.2,100.06,13.084,33.302,402.8,411.9,396.7,405.6,-8.9,398.1,407.1,-9,8.067,2,-999,5,-999,5,278.2,2
CCE2_121W_34N,34.306,-120.806,03/13/2017,00:17,403.9,2,3.43,411.8,2,3.4,1015.6,14.3,100.03,13.109,33.301,405.3,413.2,398.9,406.6,-7.8,400.3,408.1,-7.8,8.07,2,-999,5,-999,5,280.4,2
CCE2_121W_34N,34.306,-120.806,03/13/2017,03:17,403.3,2,3.3,408.1,2,3.26,1016.1,14.2,100.04,12.977,33.307,404.7,409.5,398.4,403.2,-4.7,399.9,404.7,-4.7,8.058,2,-999,5,-999,5,275.6,2
CCE2_121W_34N,34.306,-120.806,03/13/2017,06:17,403.8,2,3.35,407.5,2,3.31,1016,14.1,100.02,12.894,33.314,405.2,408.9,399,402.6,-3.7,400.4,404.1,-3.7,8.048,2,-999,5,-999,5,271.6,2
CCE2_121W_34N,34.306,-120.806,03/13/2017,09:17,404.7,2,3.36,408.4,2,3.33,1016.2,14,100.05,12.861,33.329,406.1,409.8,399.9,403.6,-3.7,401.4,405.1,-3.7,8.049,2,-999,5,-999,5,272.6,2
CCE2_121W_34N,34.306,-120.806,03/13/2017,12:17,405.7,2,3.23,408.5,2,3.22,1015.3,14,100.02,12.841,33.316,407,409.8,400.5,403.2,-2.8,402,404.7,-2.8,8.042,2,-999,5,-999,5,268.4,2
CCE2_121W_34N,34.306,-120.806,03/13/2017,15:17,409.8,2,3.15,412.4,2,3.15,1016.3,13.9,100.03,12.833,33.322,411.1,413.7,404.9,407.4,-2.5,406.5,409,-2.5,8.043,2,-999,5,-999,5,269.6,2
CCE2_121W_34N,34.306,-120.806,03/13/2017,18:17,409.8,2,3.22,412.3,2,3.21,1016.9,13.9,100.07,13.004,33.322,411.1,413.6,405.1,407.6,-2.4,406.6,409.1,-2.4,8.055,2,-999,5,-999,5,273.7,2
CCE2_121W_34N,34.306,-120.806,03/13/2017,21:17,410.9,2,3.37,412.8,2,3.36,1015.8,14.3,100.04,13.349,33.342,412.3,414.2,405.7,407.6,-1.9,407.2,409.1,-1.9,8.056,2,-999,5,-999,5,278.2,2
CCE2_121W_34N,34.306,-120.806,03/14/2017,00:17,408.2,2,3.31,413.1,2,3.28,1015.1,14.7,100.07,13.64,33.326,409.6,414.5,402.6,407.5,-4.8,404.1,409,-4.8,8.074,2,-999,5,-999,5,287.1,2
CCE2_121W_34N,34.306,-120.806,03/14/2017,03:17,404.3,2,3.08,410.7,2,3.05,1015.6,14.4,100.04,13.478,33.314,405.6,412,399,405.3,-6.3,400.4,406.8,-6.3,8.083,2,-999,5,-999,5,288.2,2
CCE2_121W_34N,34.306,-120.806,03/14/2017,06:17,404.2,2,3.04,411.3,2,3,1016.1,14,100.05,13.43,33.313,405.4,412.5,399,406,-7,400.5,407.5,-7,8.093,2,-999,5,-999,5,294.1,2
CCE2_121W_34N,34.306,-120.806,03/14/2017,09:17,408.4,2,3.07,413.9,2,3.06,1017.3,13.7,100.05,13.259,33.316,409.6,415.2,403.7,409.2,-5.5,405.2,410.7,-5.5,8.094,2,-999,5,-999,5,294.1,2
CCE2_121W_34N,34.306,-120.806,03/14/2017,12:17,404.9,2,3.15,413.2,2,3.15,1016.2,13.7,100.04,13.131,33.316,406.2,414.5,399.9,408.1,-8.1,401.4,409.6,-8.2,8.089,2,-999,5,-999,5,292.3,2
CCE2_121W_34N,34.306,-120.806,03/14/2017,15:17,404.3,2,3.06,412.1,2,3.06,1017.9,13.7,100.04,13.082,33.318,405.5,413.4,400,407.8,-7.8,401.5,409.3,-7.8,8.092,2,-999,5,-999,5,291.2,2
