expocode: 316420160517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: CCE2_121W_34N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.; Send, U.; Ohman, M.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CCE2_121W_34N,34.305,-120.803,05/17/2016,22:17,433.5,2,3.81,407,2,3.7,1015.2,14.7,99.82,13.965,33.483,435.2,408.5,427.7,401.5,26.2,429.3,403,26.3,-999,4,-999,5,-999,5,-999,5
CCE2_121W_34N,34.305,-120.803,05/17/2016,22:47,435.5,2,2.47,408,2,2.36,1014.7,15.4,100.1,-999,-999,436.5,409,-999,-999,-999,-999,-999,-999,8.026,2,-999,5,-999,5,260.2,2
CCE2_121W_34N,34.305,-120.803,05/17/2016,23:17,436.9,2,2.42,408.3,2,2.32,1014.5,15.7,100.35,13.957,33.485,437.9,409.2,430.1,401.9,28.2,431.7,403.4,28.3,8.026,2,-999,5,-999,5,-999,5
CCE2_121W_34N,34.305,-120.803,05/17/2016,23:47,436.5,2,2.44,408,2,2.34,1014.2,16,100.51,13.967,33.483,437.5,409,429.6,401.6,28,431.2,403.1,28.1,8.026,2,-999,5,-999,5,260.2,2
CCE2_121W_34N,34.305,-120.803,05/18/2016,00:17,436.7,2,2.46,407.9,2,2.36,1014.1,16.1,100.38,13.941,33.482,437.8,408.9,429.8,401.5,28.4,431.4,402.9,28.5,8.02,2,-999,5,-999,5,260,2
CCE2_121W_34N,34.305,-120.803,05/18/2016,00:47,436.9,2,2.45,407.9,2,2.36,1014,16.2,100.64,13.926,33.483,438,408.8,430,401.4,28.6,431.6,402.9,28.7,8.024,2,-999,5,-999,5,259.8,2
CCE2_121W_34N,34.305,-120.803,05/18/2016,01:17,438,2,2.42,407.9,2,2.34,1014,16.3,100.55,13.89,33.484,439,408.8,431,401.4,29.6,432.6,402.9,29.7,8.024,2,-999,5,-999,5,259.6,2
CCE2_121W_34N,34.305,-120.803,05/18/2016,01:47,439.1,2,2.43,408.1,2,2.35,1013.9,16.3,100.57,13.7,33.488,440.1,409.1,432.1,401.7,30.5,433.7,403.1,30.6,8.021,2,-999,5,-999,5,259.8,2
CCE2_121W_34N,34.305,-120.803,05/18/2016,03:17,445.1,2,3.23,408.2,2,3.17,1014.2,15.4,100.55,13.714,33.494,446.6,409.5,438.6,402.2,36.4,440.2,403.6,36.6,8.017,2,-999,5,-999,5,259.7,2
CCE2_121W_34N,34.305,-120.803,05/18/2016,06:17,445.1,2,3.33,409.6,2,3.28,1015.7,14.7,100.63,13.565,33.512,446.6,411,439.3,404.3,35,440.9,405.8,35.1,8.019,2,0.554,2,-999,5,262.2,2
