expocode: 316420190511
vessel name: CCE2_121W_34N
PIs:   Sutton A.; Send U.; Ohman M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
CCE2_121W_34N,34.31,-120.815,05/11/2019,03:17,408.2,2,2.28,414.7,2,2.1,1011.7,17.7,100.86,15.583,33.383,409.2,415.5,400.1,406.3,-6.2,401.5,407.8,-6.2,8.019,2,-999,5,-999,4,268.3,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,03:47,409.1,2,2.25,414.9,2,2.07,1011.7,18,101.14,15.653,33.393,410,415.8,400.9,406.5,-5.6,402.3,408,-5.7,8.018,2,-999,5,-999,4,267.6,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,04:17,408.6,2,2.26,414.7,2,2.1,1011.9,18.2,101.33,15.489,33.375,409.5,415.6,400.5,406.4,-5.9,402,407.9,-5.9,8.02,2,-999,5,-999,4,267.7,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,04:47,405.8,2,2.28,415.3,2,2.15,1012,18.2,101.49,15.391,33.371,406.7,416.2,397.8,407.2,-9.3,399.3,408.6,-9.3,8.023,2,-999,5,-999,4,269.2,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,05:17,399.7,2,2.29,415.2,2,2.18,1012.1,18.2,101.59,15.325,33.375,400.7,416.1,392.1,407.2,-15.1,393.5,408.6,-15.2,8.024,2,0.185,2,-999,4,270,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,05:47,399.4,2,2.26,415.3,2,2.09,1012.1,18.2,101.62,15.729,33.38,400.3,416.1,391.5,407,-15.5,393,408.5,-15.5,8.02,2,0.188,2,-999,4,268.3,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,06:17,396.4,2,2.27,415.2,2,2.12,1011.9,18.2,101.66,15.188,33.372,397.3,416.1,388.7,407.2,-18.4,390.1,408.6,-18.5,8.028,2,0.178,2,-999,4,269.5,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,09:17,392.1,2,2.87,416,2,2.77,1012.3,16.5,101.63,15.242,33.37,393.2,417.1,384.9,408.3,-23.4,386.3,409.8,-23.5,8.031,2,0.17,2,-999,4,270,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,12:17,393.8,2,2.84,416.6,2,2.77,1012.9,16.2,101.57,15.261,33.368,394.9,417.7,386.7,409.1,-22.4,388.1,410.6,-22.4,8.033,2,-999,5,-999,4,269.6,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,15:17,389.4,2,2.92,415,2,2.86,1013.8,16,101.46,14.985,33.363,390.6,416.2,382.9,408.1,-25.2,384.3,409.6,-25.3,8.042,2,-999,5,-999,4,270.6,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,18:17,393,2,2.93,414.9,2,2.92,1014.1,16.2,101.4,15.143,33.372,394.1,416.1,386.5,408,-21.6,387.9,409.5,-21.6,8.041,2,-999,5,-999,4,269.8,2
CCE2_121W_34N,34.31,-120.815,05/11/2019,21:17,398.6,2,3.01,414.1,2,2.97,1013.5,16.4,101.35,15.574,33.374,399.8,415.3,391.7,406.8,-15.2,393.1,408.3,-15.2,8.037,2,-999,5,-999,4,268.3,2
CCE2_121W_34N,34.31,-120.815,05/12/2019,00:17,399.5,2,3,414.2,2,2.97,1012.4,16.6,101.31,15.686,33.367,400.7,415.5,392.1,406.5,-14.4,393.5,408,-14.5,8.036,2,-999,5,-999,4,268,2
CCE2_121W_34N,34.31,-120.815,05/12/2019,03:17,390.9,2,2.86,414.8,2,2.82,1012.9,16.4,101.33,15.169,33.368,392,415.9,384,407.4,-23.4,385.3,408.9,-23.5,8.043,2,-999,5,-999,4,272.1,2
CCE2_121W_34N,34.31,-120.815,05/12/2019,06:17,389.4,2,2.78,415.1,2,2.71,1013.8,16,100.43,14.974,33.365,390.5,416.2,382.9,408.1,-25.2,384.3,409.6,-25.3,8.043,2,0.252,2,-999,4,272.6,2
CCE2_121W_34N,34.31,-120.815,05/12/2019,09:17,389,2,2.75,414.9,2,2.67,1013.4,15.8,100.59,14.903,33.366,390,416.1,382.3,407.8,-25.5,383.7,409.3,-25.6,8.044,2,0.261,2,-999,4,272.2,2
CCE2_121W_34N,34.31,-120.815,05/12/2019,12:17,385.6,2,2.74,414.6,2,2.66,1013.7,15.6,100.73,14.894,33.393,386.7,415.8,379.1,407.6,-28.5,380.5,409.1,-28.6,8.048,2,-999,5,-999,4,273.2,2
CCE2_121W_34N,34.31,-120.815,05/12/2019,15:17,385.8,2,2.73,415.2,2,2.65,1014.3,15.6,100.84,14.945,33.394,386.9,416.3,379.6,408.4,-28.9,380.9,409.9,-29,8.048,2,-999,5,-999,4,272.6,2
CCE2_121W_34N,34.31,-120.815,05/12/2019,18:17,384.5,2,2.8,415.8,2,2.72,1015.3,15.6,100.99,14.977,33.409,385.6,416.9,378.7,409.4,-30.8,380,410.9,-30.9,8.053,2,-999,5,-999,4,274.1,2
CCE2_121W_34N,34.31,-120.815,05/12/2019,21:17,379,2,2.84,415.9,2,2.76,1015.5,15.7,101.18,14.911,33.432,380.1,417.1,373.3,409.7,-36.3,374.7,411.1,-36.4,8.058,2,-999,5,-999,4,277.1,2
CCE2_121W_34N,34.31,-120.815,05/13/2019,00:17,377.5,2,2.82,413.9,2,2.73,1014.3,15.7,101.34,14.825,33.445,378.6,415.1,371.4,407.2,-35.8,372.8,408.7,-35.9,8.059,2,-999,5,-999,4,278.4,2
