expocode: 316420160113,,,,,,,,,,,,,,,,,,,,,,,
vessel name: dabob,,,,,,,,,,,,,,,,,,,,,,,
"PIs: Sutton, A.; Newton, J., Mickett, J.",,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
DABOB_122W_48N,47.803,-122.804,1/13/16,23:17,355.7,2,1.47,409.4,2,1.41,1010.1,10.9,99.95,6.346,22.114,356.3,410,350.4,403.2,-52.8,351.8,404.9,-53
DABOB_122W_48N,47.803,-122.804,1/13/16,23:47,369.5,2,1.01,411.1,2,0.95,1010.7,11,100.24,6.289,22.18,369.9,411.5,364,405,-41,365.5,406.6,-41.2
DABOB_122W_48N,47.803,-122.804,1/14/16,0:17,368.1,2,0.91,404.1,2,0.85,1011.2,11,100.43,6.268,22.165,368.4,404.4,362.8,398.3,-35.5,364.2,399.9,-35.6
DABOB_122W_48N,47.803,-122.804,1/14/16,0:47,384,2,0.87,412.1,2,0.81,1011.7,11,100.5,6.254,22.161,384.4,412.4,378.7,406.3,-27.6,380.2,408,-27.8
DABOB_122W_48N,47.803,-122.804,1/14/16,1:17,388.1,2,0.84,412.9,2,0.78,1012.1,10.9,100.48,6.156,22.704,388.4,413.2,382.9,407.3,-24.4,384.4,408.9,-24.5
DABOB_122W_48N,47.803,-122.804,1/14/16,1:47,386.2,2,0.82,414.3,2,0.76,1012.5,10.8,100.5,6.163,22.983,386.5,414.7,381.1,408.9,-27.8,382.7,410.5,-27.9
DABOB_122W_48N,47.803,-122.804,1/14/16,2:17,384.7,2,0.8,416.1,2,0.75,1012.8,10.7,100.52,6.156,22.996,385,416.4,379.7,410.8,-31,381.3,412.4,-31.1
DABOB_122W_48N,47.803,-122.804,1/14/16,2:47,383.2,2,0.79,420.2,2,0.74,1013.1,10.6,100.6,6.178,23.17,383.5,420.5,378.3,414.9,-36.5,379.9,416.6,-36.7
DABOB_122W_48N,47.803,-122.804,1/14/16,3:17,388,2,0.78,418.1,2,0.73,1013.5,10.5,100.55,6.212,23.159,388.3,418.4,383.2,413,-29.8,384.8,414.7,-29.9
DABOB_122W_48N,47.803,-122.804,1/14/16,6:17,398.6,2,1.21,428,2,1.18,1016.1,8.7,100.35,6.229,23.013,399,428.5,394.9,424.1,-29.2,396.5,425.8,-29.3
DABOB_122W_48N,47.803,-122.804,1/14/16,9:17,376.2,2,1.18,419.5,2,1.15,1016.8,8.1,100.33,6.135,22.115,376.6,420,373,415.9,-43,374.5,417.6,-43.1
DABOB_122W_48N,47.803,-122.804,1/14/16,12:17,364,2,1.07,417.2,2,1.05,1017.2,7.5,100.46,6.206,22.306,364.4,417.7,360.9,413.7,-52.8,362.4,415.4,-53
DABOB_122W_48N,47.803,-122.804,1/14/16,15:17,384.6,2,1,419.4,2,0.98,1016.6,6.8,100.31,6.245,22.136,385,419.8,381.1,415.6,-34.5,382.7,417.3,-34.6
DABOB_122W_48N,47.803,-122.804,1/14/16,18:17,366.6,2,1.07,417.4,2,1.05,1015.5,6.2,100.35,6.134,20.296,367,417.8,362.9,413.2,-50.3,364.4,414.9,-50.5
DABOB_122W_48N,47.803,-122.804,1/14/16,21:17,347.2,2,1.13,413.2,2,1.11,1012.4,6.3,100.5,6.683,16.941,347.6,413.7,342.6,407.7,-65.1,344,409.4,-65.4
DABOB_122W_48N,47.803,-122.804,1/15/16,0:17,345.3,2,1.15,413.1,2,1.15,1009.9,7.7,101.02,6.415,21.591,345.7,413.6,339.9,406.7,-66.8,341.3,408.4,-67.1
DABOB_122W_48N,47.803,-122.804,1/15/16,3:17,329,2,0.98,417.9,2,0.98,1009.4,6.9,101.13,6.472,19.362,329.3,418.3,323.7,411.2,-87.5,325,412.8,-87.8
DABOB_122W_48N,47.803,-122.804,1/15/16,6:17,345.5,2,0.93,418.8,2,0.94,1010.3,6.1,101.06,6.136,20.909,345.8,419.2,340.2,412.5,-72.2,341.6,414.1,-72.5
DABOB_122W_48N,47.803,-122.804,1/15/16,9:17,364.6,2,0.86,424,2,0.87,1011.7,5.4,100.97,5.967,21.627,364.9,424.4,359.6,418.2,-58.6,361,419.9,-58.9
DABOB_122W_48N,47.803,-122.804,1/15/16,12:17,357.5,2,0.81,424,2,0.82,1013.4,4.7,100.73,5.816,21.426,357.8,424.4,353.2,418.9,-65.7,354.6,420.6,-66
DABOB_122W_48N,47.803,-122.804,1/15/16,15:17,363.6,2,0.84,425.2,2,0.84,1013.9,4.4,100.38,5.524,21.131,364,425.5,359.5,420.3,-60.8,361,422,-61.1
DABOB_122W_48N,47.803,-122.804,1/15/16,18:17,353.2,2,1.02,417.7,2,1.01,1015.4,4.9,100.57,6.008,21.314,353.6,418.1,349.7,413.5,-63.9,351.1,415.2,-64.1
DABOB_122W_48N,47.803,-122.804,1/15/16,21:17,325.9,2,1.15,417.4,2,1.13,1014.3,5.9,101.22,6.127,21.627,326.3,417.9,322.3,412.8,-90.5,323.6,414.5,-90.9
DABOB_122W_48N,47.803,-122.804,1/16/16,0:17,352.1,2,1.15,416.7,2,1.13,1013.6,6.6,101.48,6.387,22.028,352.5,417.2,347.9,411.8,-63.8,349.4,413.4,-64.1
DABOB_122W_48N,47.803,-122.804,1/16/16,3:17,363.8,2,1.21,414.6,2,1.19,1012.8,7,101.5,6.365,22.305,364.2,415.1,359.2,409.4,-50.2,360.6,411,-50.4
DABOB_122W_48N,47.803,-122.804,1/16/16,6:17,378,2,1.25,413.4,2,1.23,1011,7.3,101.32,6.276,22.111,378.5,413.9,372.6,407.5,-34.9,374.1,409.1,-35
DABOB_122W_48N,47.803,-122.804,1/16/16,9:17,369.6,2,1.24,411.9,2,1.23,1008.9,7.5,101.38,6.557,22.528,370.1,412.5,363.5,405.2,-41.6,365,406.8,-41.8
DABOB_122W_48N,47.803,-122.804,1/16/16,12:17,363.7,2,1.23,411.6,2,1.21,1005.6,7.5,101.41,6.358,22.13,364.2,412.1,356.6,403.5,-46.9,358,405.2,-47.1
DABOB_122W_48N,47.803,-122.804,1/16/16,15:17,377.5,2,1.24,411.8,2,1.22,1003.6,7.4,101.2,6.362,22.142,377.9,412.3,369.3,402.9,-33.6,370.8,404.5,-33.7
DABOB_122W_48N,47.803,-122.804,1/16/16,18:17,365.5,2,1.29,415.4,2,1.27,1005.4,7.4,101.27,6.417,22.189,366,415.9,358.3,407.2,-48.9,359.8,408.8,-49.1
DABOB_122W_48N,47.803,-122.804,1/16/16,21:17,368.5,2,1.43,413.7,2,1.4,1006.1,7.8,101.45,6.693,22.493,369.1,414.2,361.5,405.7,-44.3,362.9,407.4,-44.4
DABOB_122W_48N,47.803,-122.804,1/17/16,0:17,372.5,2,1.47,410.4,2,1.45,1008.2,8.5,101.56,6.909,22.642,373,411,366.1,403.4,-37.3,367.5,405,-37.5
DABOB_122W_48N,47.803,-122.804,1/17/16,3:17,384.1,2,1.44,410.6,2,1.41,1010.7,8.8,101.42,6.904,22.701,384.7,411.2,378.5,404.6,-26.1,380,406.2,-26.2
DABOB_122W_48N,47.803,-122.804,1/17/16,6:17,396.1,2,1.44,411.2,2,1.42,1012.8,8.9,101.18,6.992,22.874,396.7,411.8,391.1,406,-14.9,392.7,407.6,-14.9
DABOB_122W_48N,47.803,-122.804,1/17/16,9:17,385.9,2,1.44,413.2,2,1.42,1012.5,8.8,101.08,6.966,22.826,386.5,413.8,380.9,407.8,-26.9,382.4,409.5,-27
DABOB_122W_48N,47.803,-122.804,1/17/16,12:17,363,2,1.43,414.9,2,1.41,1008.9,8.8,101.08,6.685,22.305,363.6,415.5,357.1,408.1,-51,358.5,409.8,-51.2
DABOB_122W_48N,47.803,-122.804,1/17/16,15:17,356.9,2,1.34,412.4,2,1.32,1004.2,8.4,101.08,6.562,22.02,357.4,412.9,349.4,403.7,-54.3,350.8,405.3,-54.5
DABOB_122W_48N,47.803,-122.804,1/17/16,18:17,372.8,2,1.45,414,2,1.42,1005.1,8.3,101.05,6.727,22.328,373.3,414.6,365.3,405.7,-40.4,366.8,407.3,-40.5
DABOB_122W_48N,47.803,-122.804,1/17/16,21:17,359.5,2,1.54,414.2,2,1.52,1007.1,8.7,101.29,6.948,21.908,360.1,414.8,353,406.6,-53.7,354.4,408.3,-53.9
DABOB_122W_48N,47.803,-122.804,1/18/16,0:17,362.6,2,1.49,412.8,2,1.46,1007.9,8.9,101.42,6.933,22.432,363.2,413.4,356.3,405.6,-49.3,357.7,407.2,-49.5
DABOB_122W_48N,47.803,-122.804,1/18/16,3:17,362.2,2,1.45,413.2,2,1.43,1009.1,8.9,101.45,6.9,22.448,362.7,413.8,356.3,406.4,-50.1,357.7,408,-50.3
DABOB_122W_48N,47.803,-122.804,1/18/16,6:17,368.8,2,1.42,413.2,2,1.41,1010.8,8.8,101.41,6.91,22.536,369.4,413.8,363.4,407.2,-43.7,364.9,408.8,-43.9
DABOB_122W_48N,47.803,-122.804,1/18/16,9:17,374.6,2,1.38,413.3,2,1.37,1012.1,8.5,101.25,6.926,22.527,375.1,413.9,369.5,407.7,-38.2,371,409.4,-38.4
DABOB_122W_48N,47.803,-122.804,1/18/16,12:17,373.4,2,1.4,416,2,1.38,1013.2,8.3,101.1,6.921,22.5,373.9,416.6,368.8,410.9,-42.1,370.2,412.5,-42.3
DABOB_122W_48N,47.803,-122.804,1/18/16,15:17,375,2,1.42,416.2,2,1.4,1014.4,8.3,101,6.952,22.539,375.6,416.8,370.9,411.6,-40.7,372.3,413.2,-40.9
DABOB_122W_48N,47.803,-122.804,1/18/16,18:17,375,2,1.48,414.8,2,1.46,1013.9,8.5,100.94,6.972,22.565,375.6,415.4,370.7,409.9,-39.2,372.2,411.6,-39.4
DABOB_122W_48N,47.803,-122.804,1/18/16,21:17,359.6,2,1.55,412.5,2,1.53,1013.8,8.8,101.2,7.118,22.727,360.2,413.1,355.4,407.6,-52.3,356.8,409.3,-52.5
DABOB_122W_48N,47.803,-122.804,1/19/16,0:17,324,2,1.58,409.9,2,1.55,1011.6,9.2,101.62,7.018,22.425,324.5,410.5,319.5,404.2,-84.7,320.8,405.8,-85
DABOB_122W_48N,47.803,-122.804,1/19/16,3:17,334.5,2,1.48,410.8,2,1.46,1011.6,9.2,101.78,7.112,22.631,335,411.4,329.8,405,-75.2,331.2,406.7,-75.5
DABOB_122W_48N,47.803,-122.804,1/19/16,6:17,345.7,2,1.42,412.8,2,1.41,1012.1,8.9,101.78,6.992,22.26,346.1,413.4,341,407.2,-66.2,342.4,408.9,-66.5
DABOB_122W_48N,47.803,-122.804,1/19/16,9:17,358.1,2,1.39,414.4,2,1.37,1012.1,8.6,101.66,7.017,22.445,358.6,414.9,353.2,408.7,-55.5,354.7,410.4,-55.7
DABOB_122W_48N,47.803,-122.804,1/19/16,12:17,373.4,2,1.36,415.6,2,1.35,1011.9,8.4,101.46,7.123,22.31,373.9,416.2,368.2,409.9,-41.7,369.7,411.5,-41.9
DABOB_122W_48N,47.803,-122.804,1/19/16,15:17,364.3,2,1.32,417.5,2,1.31,1010.5,8.1,101.32,7.038,22.414,364.8,418,358.8,411.1,-52.4,360.2,412.8,-52.6
DABOB_122W_48N,47.803,-122.804,1/19/16,18:17,339.2,2,1.36,417.7,2,1.34,1007.7,7.7,101.44,6.966,22.272,339.7,418.2,333.2,410.2,-77,334.5,411.8,-77.3
DABOB_122W_48N,47.803,-122.804,1/19/16,21:17,306.1,2,1.4,415.9,2,1.39,1003.7,7.9,101.99,6.961,22.031,306.5,416.5,299.4,406.9,-107.5,300.6,408.5,-107.9
DABOB_122W_48N,47.803,-122.804,1/20/16,0:17,349,2,1.36,409.7,2,1.34,1003.8,8,101.88,6.968,21.78,349.4,410.3,341.4,400.8,-59.4,342.8,402.4,-59.7
DABOB_122W_48N,47.803,-122.804,1/20/16,3:17,324.2,2,1.28,413.4,2,1.27,1006.4,7.9,102.13,7.003,22.398,324.6,413.9,318,405.4,-87.4,319.3,407,-87.8
DABOB_122W_48N,47.803,-122.804,1/20/16,6:17,396.6,2,1.22,415.4,2,1.21,1009.4,7.5,101.13,6.834,21.06,397.1,415.9,390.2,408.6,-18.4,391.8,410.3,-18.5
DABOB_122W_48N,47.803,-122.804,1/20/16,9:17,343.1,2,1.13,416.3,2,1.13,1013.9,6.8,101.11,6.96,22.039,343.5,416.7,339,411.3,-72.3,340.4,413,-72.6
DABOB_122W_48N,47.803,-122.804,1/20/16,12:17,334.3,2,1.15,416.2,2,1.14,1017.7,6.4,101.13,6.69,21.682,334.7,416.7,331.6,412.9,-81.3,332.9,414.5,-81.6
DABOB_122W_48N,47.803,-122.804,1/20/16,15:17,318.4,2,1.13,418.8,2,1.12,1020.4,6.5,101.28,6.555,20.899,318.8,419.3,316.7,416.6,-99.8,318,418.3,-100.3
