Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
DABOB_122W_478N,47.803,-122.803,6/10/2011,6:17,252,2,2.1,415.8,2,2.09,1015.2,18.8,103.39,-999,-999,252.6,416.7,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/10/2011,9:17,260.2,2,1.68,402.8,2,1.74,1015.4,16.4,103.39,-999,-999,260.7,403.5,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/10/2011,12:17,261.1,2,1.5,408.3,2,1.54,1015.4,15.1,103.14,-999,-999,261.5,408.9,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/10/2011,15:17,275.1,2,1.37,409.1,2,1.42,1015.8,14.3,102.82,-999,-999,275.5,409.7,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/10/2011,18:17,257.9,2,1.32,401.9,2,1.39,1015.5,13.8,102.79,-999,-999,258.3,402.5,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/10/2011,21:17,261.9,2,1.4,399.6,2,1.46,1015,14,102.91,-999,-999,262.3,400.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/11/2011,0:17,265.8,2,1.41,395,2,1.47,1014.4,14.6,102.97,-999,-999,266.2,395.6,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/11/2011,3:17,261.3,2,1.39,398.2,2,1.44,1013.2,14.5,102.97,-999,-999,261.6,398.8,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/11/2011,6:17,274.7,2,1.31,409.6,2,1.37,1012.5,14.1,102.92,-999,-999,275.1,410.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/11/2011,9:17,258.9,2,1.27,407.5,2,1.33,1011.9,13.8,102.9,-999,-999,259.2,408.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/11/2011,12:17,268.5,2,1.24,420.8,2,1.3,1011.5,13.4,102.71,-999,-999,268.8,421.3,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/11/2011,15:17,267.4,2,1.31,414,2,1.37,1011.5,13.3,102.63,-999,-999,267.7,414.5,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/11/2011,18:17,289.6,2,1.65,406,2,1.7,1010.9,15.3,102.39,-999,-999,290.1,406.7,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/11/2011,21:17,303.4,2,2.42,396.9,2,2.38,1009.9,18.9,102.53,-999,-999,304.1,397.8,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/12/2011,0:17,296.2,2,2.48,396.7,2,2.31,1009,21.7,102.2,-999,-999,297,397.6,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/12/2011,3:17,276.5,2,3.07,395.9,2,2.99,1008.6,22.2,102.64,-999,-999,277.3,397.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/12/2011,6:17,261.4,2,2.22,411.5,2,2.18,1009,18.7,102.85,-999,-999,262,412.4,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/12/2011,9:17,256.3,2,1.51,422.3,2,1.57,1009,15.2,102.92,-999,-999,256.7,423,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,6/12/2011,12:17,268,2,1.22,424.8,2,1.28,1008.8,13,102.73,-999,-999,268.3,425.4,-999,-999,-999,-999,-999,-999
