Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
DABOB_122W_478N,47.803,-122.803,3/11/2014,21:17,500.4,2,2.52,401.7,2,2.58,1034.1,10.1,99.48,-999,-999,501.7,402.7,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/12/2014,0:17,508.5,2,3.01,400.9,2,3.07,1032.8,12.3,99.54,-999,-999,510,402.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/12/2014,3:17,508.2,2,2.84,406.7,2,2.91,1032.5,12.4,99.57,-999,-999,509.7,407.9,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/12/2014,6:17,467.9,2,2.29,413.3,2,2.14,1032,10.1,99.75,-999,-999,469,414.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/12/2014,9:17,473,2,2.03,415.5,2,1.92,1030.8,8.3,99.85,-999,-999,473.9,416.3,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/12/2014,12:17,483.4,2,1.88,416.8,2,1.81,1029.6,7,99.98,-999,-999,484.3,417.6,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/12/2014,15:17,469.3,2,1.77,418.2,2,1.76,1028.5,6.1,99.99,-999,-999,470.1,418.9,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/12/2014,18:17,470,2,1.97,414.3,2,2.03,1027.7,6.7,100.04,-999,-999,471,415.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/12/2014,21:17,493.8,2,2.37,402.5,2,2.45,1024.4,9,100.28,-999,-999,495,403.4,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/13/2014,0:17,505.7,2,3.02,401.6,2,3.09,1022.1,12.2,100.37,-999,-999,507.2,402.9,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/13/2014,3:17,493.5,2,3.12,406,2,3.12,1021.7,12.9,100.23,-999,-999,495,407.3,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/13/2014,6:17,492,2,2.68,415.6,2,2.57,1022.4,11.1,100.26,-999,-999,493.4,416.6,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/13/2014,9:17,479.6,2,2.22,420.5,2,2.04,1022.5,9.2,100.51,-999,-999,480.7,421.4,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/13/2014,12:17,446.3,2,2,420.9,2,1.86,1022.1,7.7,100.57,-999,-999,447.2,421.6,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/13/2014,15:17,442.1,2,1.9,417.8,2,1.83,1021.9,6.7,100.55,-999,-999,442.9,418.6,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/13/2014,18:17,452.9,2,2.06,413.6,2,2.12,1021.9,7.1,100.71,-999,-999,453.8,414.5,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/13/2014,21:17,485.7,2,2.35,401.5,2,2.43,1018.9,8.8,100.81,-999,-999,486.8,402.5,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/14/2014,0:17,473.5,2,2.93,398.9,2,2.96,1017.5,11.7,100.77,-999,-999,474.9,400.1,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/14/2014,3:17,474.5,2,2.93,402.2,2,2.61,1016,12,100.66,-999,-999,475.9,403.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/14/2014,6:17,461.1,2,2.75,402.2,2,2.55,1014.8,11.2,100.39,-999,-999,462.4,403.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/14/2014,9:17,463.6,2,2.62,404.3,2,2.54,1013.1,10.5,100.53,-999,-999,464.8,405.3,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/14/2014,12:17,477,2,2.6,407.3,2,2.55,1011.9,10.5,100.66,-999,-999,478.3,408.3,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/14/2014,15:17,480.3,2,2.6,407.1,2,2.54,1011.7,10.7,100.64,-999,-999,481.6,408.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/14/2014,18:17,485.2,2,2.82,402,2,2.86,1017.2,11.2,100.48,-999,-999,486.5,403.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/14/2014,21:17,474.2,2,3.2,399.8,2,2.86,1018.9,12.7,100.4,-999,-999,475.7,401,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/15/2014,0:17,444,2,3.24,398.4,2,2.93,1022,12.9,100.62,-999,-999,445.5,399.5,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/15/2014,3:17,438.9,2,2.8,402.2,2,2.47,1025.4,12.7,100.57,-999,-999,440.1,403.2,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/15/2014,6:17,447.3,2,2.35,410.9,2,2.13,1027.2,11.3,100.51,-999,-999,448.3,411.8,-999,-999,-999,-999,-999,-999
DABOB_122W_478N,47.803,-122.803,3/15/2014,9:17,453.2,2,2.01,418.2,2,1.93,1026.9,9.8,100.6,-999,-999,454.1,419,-999,-999,-999,-999,-999,-999
