Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
EXPLORATORIUM,37.802,-122.398,7/30/2014,21:47,518.8,2,4.85,400.4,2,4.44,1019.8,19,98.83,19.499,32.102,521.3,402.2,511.5,394.6,116.9,513.2,395.9,117.3
EXPLORATORIUM,37.802,-122.398,7/30/2014,22:17,523.1,2,4.16,403.1,2,3.66,1019.4,19.6,99.28,19.478,32.11,525.3,404.6,515.2,396.8,118.4,517,398.2,118.8
EXPLORATORIUM,37.802,-122.398,7/30/2014,23:17,513.7,2,4.93,397.3,2,4.38,1019.3,19.7,99.06,19.126,32.218,516.3,399.1,506.5,391.6,115,508.3,392.9,115.4
EXPLORATORIUM,37.802,-122.398,7/31/2014,0:17,507.3,2,4.76,399.6,2,4.37,1019,19.9,99.42,18.831,32.327,509.7,401.4,500.1,393.8,106.3,501.9,395.2,106.7
EXPLORATORIUM,37.802,-122.398,7/31/2014,1:17,501,2,4.9,402.5,2,4.45,1018.9,20.1,99.17,18.722,32.401,503.4,404.3,494,396.7,97.3,495.7,398.1,97.6
EXPLORATORIUM,37.802,-122.398,7/31/2014,2:17,492.4,2,4.65,403.3,2,4.35,1019.1,20.2,99.21,18.644,32.403,494.7,405.1,485.6,397.6,87.9,487.3,399,88.3
EXPLORATORIUM,37.802,-122.398,7/31/2014,3:17,486.7,2,4.52,403.6,2,4.31,1019.2,20.2,99.12,18.688,32.399,488.9,405.4,479.9,397.9,82,481.6,399.3,82.3
EXPLORATORIUM,37.802,-122.398,7/31/2014,4:17,481.9,2,4.48,402,2,4.3,1019.8,20.1,99.34,18.904,32.352,484.1,403.8,475.3,396.5,78.9,477,397.9,79.1
EXPLORATORIUM,37.802,-122.398,7/31/2014,5:17,484.9,2,4.51,402.3,2,4.35,1020,19.9,99.35,19.053,32.281,487,404.1,478.2,396.8,81.4,479.9,398.2,81.7
EXPLORATORIUM,37.802,-122.398,7/31/2014,6:17,516.8,2,4.43,398.2,2,4.29,1019.8,19.8,99.39,19.152,32.244,519.1,399.9,509.6,392.5,117,511.3,393.9,117.4
EXPLORATORIUM,37.802,-122.398,7/31/2014,7:17,524.6,2,4.38,398.3,2,4.27,1019.7,19.7,99.45,19.06,32.215,526.9,400,517.2,392.6,124.5,519,394,125
EXPLORATORIUM,37.802,-122.398,7/31/2014,8:17,525.4,2,4.38,396.8,2,4.27,1019.6,19.6,99.54,19.004,32.218,527.7,398.5,518,391.2,126.9,519.8,392.5,127.3
EXPLORATORIUM,37.802,-122.398,7/31/2014,9:17,520,2,4.38,397.1,2,4.26,1019.7,19.4,99.44,18.95,32.234,522.3,398.8,512.8,391.5,121.2,514.6,392.9,121.7
