Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
EXPLORATORIUM,37.802,-122.398,5/3/2014,6:09,825.8,2,2.51,413.6,2,2.28,1017.1,17.8,91.47,-999,-999,827.9,414.5,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,7:08,823.4,2,2.62,410,2,2.39,1017,17.5,91.38,-999,-999,825.6,411,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,8:07,857.3,2,2.49,406.6,2,2.29,1016.9,17.3,91.03,-999,-999,859.5,407.5,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,9:06,838.6,2,2.34,406.2,2,2.16,1016.6,17.1,90.87,-999,-999,840.6,407.1,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,10:05,836.6,2,2.47,406.6,2,2.3,1016.6,16.8,90.71,-999,-999,838.7,407.5,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,11:04,807.8,2,2.52,407,2,2.35,1016.6,16.6,90.88,-999,-999,809.8,408,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,12:03,821.9,2,2.49,404.5,2,2.3,1016.7,16.4,90.82,-999,-999,823.9,405.5,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,13:02,825.3,2,2.41,406,2,2.23,1016.7,16.3,90.9,-999,-999,827.3,406.9,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,14:01,831.2,2,2.4,405.4,2,2.21,1017,16.2,90.89,-999,-999,833.2,406.3,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,15:00,827.4,2,2.49,404.3,2,2.3,1017.1,16,91,-999,-999,829.4,405.3,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,15:59,832,2,2.69,404.8,2,2.44,1017.1,16,91.2,-999,-999,834.2,405.8,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,16:58,800.1,2,2.74,404.7,2,2.46,1017.2,16,91.82,-999,-999,802.3,405.7,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,17:57,796.6,2,2.75,403.5,2,2.42,1017.3,16.2,92.31,-999,-999,798.8,404.5,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,18:56,783.5,2,2.77,403.2,2,2.4,1017.2,16.3,92.87,-999,-999,785.7,404.2,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,19:55,794.7,2,2.82,403.7,2,2.4,1016.9,16.5,93.23,-999,-999,797,404.7,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,20:54,801,2,2.87,402.5,2,2.4,1016.6,16.7,93.35,-999,-999,803.3,403.5,-999,-999,-999,-999,-999,-999
EXPLORATORIUM,37.802,-122.398,5/3/2014,21:53,795.7,2,2.86,404.6,2,1.64,1016.2,16.9,93.49,-999,-999,798,405.3,-999,-999,-999,-999,-999,-999
