expocode: 316420170413
vessel name: GAKOA_149W_60N
"Pis: Cross, J.; Monacci, N."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
GAKOA_149W_60N,59.906,-149.36,4/13/17,3:17,260.1,2,2.2,413.6,2,1.88,1018.4,12.7,106.18,4.791,31.634,260.6,414.3,258.7,411.3,-152.6,259.8,413,-153.2,-999,5
GAKOA_149W_60N,59.906,-149.36,4/13/17,6:17,275.8,2,1.96,414.8,2,1.67,1017.7,12.3,105.72,4.644,31.641,276.3,415.5,274.1,412.2,-138,275.3,413.9,-138.6,-999,5
GAKOA_149W_60N,59.906,-149.36,4/13/17,9:17,279,2,1.89,415.6,2,1.62,1016.5,11.7,105.45,4.673,31.642,279.5,416.3,276.9,412.5,-135.5,278.1,414.2,-136.1,-999,5
GAKOA_149W_60N,59.906,-149.36,4/13/17,12:17,285.5,2,1.76,416.4,2,1.53,1015.6,11,104.97,4.597,31.65,286,417,283.2,412.8,-129.7,284.3,414.5,-130.2,-999,5
GAKOA_149W_60N,59.906,-149.36,4/13/17,15:17,274.4,2,1.72,415.9,2,1.51,1014.1,10.3,104.82,4.646,31.632,274.9,416.6,271.7,411.8,-140.1,272.8,413.5,-140.7,-999,5
GAKOA_149W_60N,59.906,-149.36,4/13/17,18:17,287.9,2,1.69,415.9,2,1.52,1012.5,9.7,104.64,4.584,31.656,288.4,416.5,284.6,411.1,-126.5,285.8,412.8,-127,-999,5
GAKOA_149W_60N,59.906,-149.36,4/13/17,21:17,273.6,2,1.72,414.8,2,1.56,1011.1,9.2,104.78,4.717,31.651,274.1,415.5,270.1,409.5,-139.3,271.2,411.2,-139.9,-999,5
GAKOA_149W_60N,59.906,-149.36,4/14/17,0:17,284.1,2,1.82,415,2,1.64,1010.7,9.2,104.75,4.772,31.667,284.7,415.7,280.4,409.5,-129,281.6,411.1,-129.6,-999,5
GAKOA_149W_60N,59.906,-149.36,4/14/17,3:17,252.9,2,1.93,415,2,1.71,1010.6,9.3,105.51,5.057,31.635,253.3,415.7,249.5,409.4,-159.9,250.5,411.1,-160.6,-999,5
GAKOA_149W_60N,59.906,-149.36,4/14/17,6:17,240.2,2,1.77,416.3,2,1.57,1012.2,9.5,106.01,5.11,31.62,240.7,417,237.4,411.3,-173.9,238.4,413,-174.6,-999,5
GAKOA_149W_60N,59.906,-149.36,4/14/17,9:17,289.7,2,1.77,413.9,2,1.54,1012.7,9.2,105.42,4.713,31.658,290.2,414.5,286.5,409.1,-122.7,287.7,410.8,-123.2,-999,5
GAKOA_149W_60N,59.906,-149.36,4/14/17,12:17,300.1,2,1.68,414.3,2,1.45,1013.4,8.9,104.78,4.751,31.654,300.6,414.9,296.9,409.8,-112.9,298.1,411.5,-113.4,-999,5
GAKOA_149W_60N,59.906,-149.36,4/14/17,15:17,273.5,2,1.58,414.5,2,1.38,1013.9,8.6,104.7,4.718,31.632,273.9,415.1,270.7,410.2,-139.5,271.8,411.9,-140.1,-999,5
GAKOA_149W_60N,59.906,-149.36,4/14/17,18:17,269.7,2,1.81,414.5,2,1.63,1014.3,8.3,104.86,4.782,31.642,270.1,415.1,267.1,410.4,-143.3,268.2,412.1,-143.9,-999,5
GAKOA_149W_60N,59.906,-149.36,4/14/17,21:17,286,2,1.8,410.8,2,1.64,1015,8.3,104.77,4.706,31.661,286.5,411.5,283.4,407.1,-123.7,284.6,408.8,-124.2,-999,5
GAKOA_149W_60N,59.906,-149.36,4/15/17,0:17,289.3,2,2.02,413.1,2,1.8,1015.2,8.5,104.96,5.382,31.662,289.9,413.8,286.8,409.4,-122.6,288,411,-123.1,-999,5
GAKOA_149W_60N,59.906,-149.36,4/15/17,3:17,286.5,2,2.03,412.5,2,1.8,1015,8.9,104.91,5.023,31.644,287,413.3,283.9,408.8,-124.9,285.1,410.5,-125.4,-999,5
