expocode: 316420180402
vessel name: GAKOA_149W_60N
"Pis: Cross, J.; Monacci, N."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
GAKOA_149W_60N,59.911,-149.35,4/2/18,3:17,-999,4,2.01,415.8,2,1.78,1026.3,6.1,99.74,4.539,31.522,-999,416.6,-999,416.8,-999,-999,418.5,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/2/18,6:17,397.4,2,1.55,416.3,2,1.36,1027.6,6.5,99.57,4.504,31.526,398,416.9,398.7,417.6,-18.9,400.4,419.4,-19,-999,5
GAKOA_149W_60N,59.911,-149.35,4/2/18,9:17,398.6,2,1.49,416.6,2,1.31,1027.7,6.2,99.46,4.511,31.534,399.2,417.1,400,417.9,-17.9,401.7,419.7,-18,-999,5
GAKOA_149W_60N,59.911,-149.35,4/2/18,12:17,399.2,2,1.38,417.2,2,1.22,1027.2,5.9,99.48,4.48,31.527,399.7,417.7,400.3,418.3,-18,402,420,-18.1,-999,5
GAKOA_149W_60N,59.911,-149.35,4/2/18,15:17,403.6,2,1.26,417.5,2,1.13,1028,5.5,99.29,4.466,31.562,404.1,418,405,418.9,-13.9,406.7,420.6,-14,-999,5
GAKOA_149W_60N,59.911,-149.35,4/2/18,18:17,403.5,2,1.33,417.5,2,1.18,1027.7,5,99.25,4.422,31.542,404.1,418,404.8,418.8,-14,406.5,420.6,-14,-999,5
GAKOA_149W_60N,59.911,-149.35,4/2/18,21:17,402.1,2,1.42,417,2,1.25,1026.4,4.8,99.27,4.484,31.55,402.7,417.5,402.9,417.7,-14.8,404.6,419.5,-14.9,-999,5
GAKOA_149W_60N,59.911,-149.35,4/3/18,0:17,411.3,2,1.51,416.4,2,1.33,1024.4,5,99.35,4.683,31.468,411.9,416.9,411.3,416.3,-5,413.1,418.1,-5,-999,5
GAKOA_149W_60N,59.911,-149.35,4/3/18,3:17,394.4,2,1.57,415.9,2,1.39,1022.7,5.4,99.45,4.615,31.463,395,416.5,393.8,415.2,-21.5,395.4,417,-21.6,-999,5
GAKOA_149W_60N,59.911,-149.35,4/3/18,6:17,387.9,2,1.31,416.1,2,1.15,1021.5,5.6,99.46,4.501,31.457,388.4,416.6,386.8,414.9,-28,388.4,416.6,-28.1,-999,5
GAKOA_149W_60N,59.911,-149.35,4/3/18,9:17,389.5,2,1.23,416.4,2,1.07,1020.2,5.2,99.48,4.444,31.459,389.9,416.8,387.8,414.6,-26.8,389.5,416.3,-26.9,-999,5
GAKOA_149W_60N,59.911,-149.35,4/3/18,12:17,393.2,2,1.16,417.1,2,1.03,1018,4.8,99.56,4.409,31.462,393.6,417.6,390.6,414.4,-23.7,392.3,416.1,-23.8,-999,5
GAKOA_149W_60N,59.911,-149.35,4/3/18,15:17,-999,4,0.42,416.6,2,0.13,1016.6,4.3,91.73,4.411,31.466,-999,416.6,-999,412.9,-999,-999,414.6,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/3/18,18:17,-999,4,0.37,416.9,2,0.17,1015.1,3.8,90.67,4.437,31.467,-999,416.9,-999,412.6,-999,-999,414.3,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/3/18,21:17,-999,4,0.35,415.8,2,0.21,1013.9,3.7,90.48,4.53,31.469,-999,415.9,-999,411.1,-999,-999,412.8,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/4/18,0:17,-999,4,0.36,415.6,2,0.22,1012.7,4,90.83,4.551,31.475,-999,415.7,-999,410.4,-999,-999,412.1,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/4/18,3:17,-999,4,0.34,415.3,2,0.23,1012.7,3.9,90.93,4.484,31.511,-999,415.4,-999,410.1,-999,-999,411.8,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/4/18,6:17,-999,4,0.27,415.5,2,0.2,1012.7,3.5,90.07,4.463,31.512,-999,415.6,-999,410.2,-999,-999,411.9,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/4/18,9:17,-999,4,0.19,415.6,2,0.2,1012.2,3.1,89.4,4.43,31.526,-999,415.6,-999,410.1,-999,-999,411.8,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/4/18,12:17,-999,4,0.12,415.7,2,0.2,1010.6,2.7,89.04,4.363,31.523,-999,415.8,-999,409.7,-999,-999,411.4,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/4/18,15:17,-999,4,0.07,415.7,2,0.21,1008,2.5,88.93,4.421,31.527,-999,415.8,-999,408.6,-999,-999,410.2,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/4/18,18:17,-999,4,0.02,415.6,2,0.23,1007.2,2.1,88.65,4.387,31.492,-999,415.7,-999,408.2,-999,-999,409.9,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/4/18,21:17,-999,4,0.01,415.8,2,0.28,1008.7,2.1,88.69,4.185,31.516,-999,415.9,-999,409,-999,-999,410.7,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/5/18,0:17,-999,4,0.03,415.1,2,0.31,1010.2,2.3,88.93,4.383,31.536,-999,415.2,-999,408.9,-999,-999,410.6,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/5/18,3:17,-999,4,0.07,414.8,2,0.32,1011.4,2.6,89.24,4.397,31.53,-999,414.9,-999,409.1,-999,-999,410.8,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/5/18,6:17,-999,4,0.09,414.4,2,0.34,1012.4,2.8,89.35,4.402,31.533,-999,414.6,-999,409.1,-999,-999,410.9,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/5/18,9:17,-999,4,0.13,414.8,2,0.36,1013.8,3,89.5,4.396,31.488,-999,415,-999,410.2,-999,-999,411.9,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/5/18,12:17,-999,4,0.15,414.6,2,0.33,1013.9,3.1,89.71,4.198,31.393,-999,414.7,-999,410,-999,-999,411.7,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/5/18,18:17,-999,4,0.15,415,2,0.38,1012.6,3.1,89.69,4.314,31.464,-999,415.1,-999,409.8,-999,-999,411.5,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/5/18,21:17,-999,4,0.19,414.9,2,0.42,1011.4,3.3,90,4.459,31.411,-999,415.1,-999,409.3,-999,-999,411,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/6/18,0:17,-999,4,0.27,414.8,2,0.44,1009.4,3.8,91.16,4.349,31.45,-999,415,-999,408.4,-999,-999,410.1,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/6/18,3:17,-999,4,0.31,414,2,0.45,1007.5,4.3,91.71,4.718,31.443,-999,414.2,-999,406.7,-999,-999,408.4,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/6/18,6:17,-999,4,0.31,414.8,2,0.34,1006.7,4.4,91.7,4.48,31.446,-999,414.9,-999,407.1,-999,-999,408.8,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/6/18,9:17,-999,4,0.25,416,2,0.31,1006.3,4,90.82,4.334,31.45,-999,416.1,-999,408.2,-999,-999,409.9,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/6/18,12:17,-999,4,0.19,416.4,2,0.27,1005.5,3.6,90.04,4.267,31.433,-999,416.5,-999,408.3,-999,-999,410,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/6/18,15:17,-999,4,0.09,417,2,0.26,1004.8,3,89.39,4.209,31.429,-999,417.1,-999,408.6,-999,-999,410.3,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/6/18,18:17,-999,4,0.04,415.6,2,0.29,1005.4,2.6,89.03,4.258,31.428,-999,415.7,-999,407.5,-999,-999,409.2,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/6/18,21:17,-999,4,0.07,415.7,2,0.31,1005.8,2.8,89.39,4.317,31.43,-999,415.8,-999,407.8,-999,-999,409.4,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/7/18,0:17,-999,4,0.14,414.7,2,0.34,1006,3.2,89.75,4.359,31.428,-999,414.9,-999,406.9,-999,-999,408.5,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/7/18,3:17,-999,4,0.19,413.9,2,0.38,1006.1,3.5,90.13,4.397,31.468,-999,414,-999,406.1,-999,-999,407.7,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/7/18,6:17,-999,4,0.21,414.2,2,0.39,1006.8,3.7,90.34,4.379,31.425,-999,414.4,-999,406.7,-999,-999,408.4,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/7/18,9:17,-999,4,0.22,414.8,2,0.39,1007.5,3.8,90.57,4.334,31.473,-999,414.9,-999,407.6,-999,-999,409.2,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/7/18,12:17,-999,4,0.22,414.6,2,0.39,1006.9,3.9,90.58,4.311,31.455,-999,414.8,-999,407.2,-999,-999,408.9,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/7/18,15:17,-999,4,0.24,415.1,2,0.39,1006,3.9,90.86,4.295,31.469,-999,415.3,-999,407.3,-999,-999,409,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/7/18,18:17,-999,4,0.24,414.1,2,0.41,1005.3,4,90.97,4.326,31.473,-999,414.3,-999,406,-999,-999,407.7,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/7/18,21:17,-999,4,0.29,414,2,0.43,1004.2,4.3,91.62,4.406,31.493,-999,414.2,-999,405.5,-999,-999,407.1,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/8/18,0:17,-999,4,0.34,415,2,0.51,1002.3,4.8,92.27,4.677,31.471,-999,415.2,-999,405.6,-999,-999,407.2,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/8/18,3:17,-999,4,0.4,415.1,2,0.46,1001.1,5.5,92.98,4.535,31.465,-999,415.3,-999,405.2,-999,-999,406.9,-999,-999,5
GAKOA_149W_60N,59.911,-149.35,4/8/18,6:17,335,2,1.83,416.3,2,1.63,1001.5,6.1,100.56,4.454,31.473,335.6,417,327.7,407.1,-79.5,329,408.8,-79.8,-999,5
GAKOA_149W_60N,59.911,-149.35,4/8/18,9:17,355.1,2,1.57,417.4,2,1.41,1002.3,6,100.63,4.443,31.478,355.7,418,347.5,408.4,-60.9,348.9,410.1,-61.2,-999,5
GAKOA_149W_60N,59.911,-149.35,4/8/18,12:17,356.4,2,1.52,416.9,2,1.37,1003.1,5.9,100.62,4.492,31.478,357,417.5,349,408.2,-59.2,350.5,409.9,-59.4,-999,5
GAKOA_149W_60N,59.911,-149.35,4/8/18,15:17,347,2,1.36,418.1,2,1.25,1004,5.8,100.69,4.501,31.478,347.5,418.6,340.1,409.7,-69.6,341.5,411.4,-69.9,-999,5
GAKOA_149W_60N,59.911,-149.35,4/8/18,18:17,337.9,2,1.62,413.8,2,1.49,1005.1,5.4,100.93,4.493,31.479,338.4,414.5,331.6,406.1,-74.5,333,407.7,-74.8,-999,5
GAKOA_149W_60N,59.911,-149.35,4/8/18,21:17,318.8,2,1.61,415.8,2,1.49,1006.7,5.5,101.54,4.577,31.476,319.3,416.4,313.3,408.6,-95.3,314.6,410.3,-95.7,-999,5
GAKOA_149W_60N,59.911,-149.35,4/9/18,0:17,312.5,2,1.69,411.4,2,1.61,1007.8,6.1,102.24,4.751,31.482,313.1,412.1,307.5,404.8,-97.2,308.8,406.4,-97.6,-999,5
