"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"GAKOA_149W_60N","59.911","-149.350","03/07/2013","03:17","357.7","2","0.62","403.8","2","0.56","1015.7","6.3","99.98","3.607","31.123","358.0","404.0","354.6","400.2","-45.6","356.1","401.9","-45.8"
"GAKOA_149W_60N","59.911","-149.350","03/07/2013","06:17","364.0","2","0.95","402.1","2","0.94","1014.9","4.9","100.04","3.552","31.055","364.4","402.5","360.7","398.4","-37.7","362.2","400.0","-37.8"
"GAKOA_149W_60N","59.911","-149.350","03/07/2013","09:17","371.7","2","1.01","401.8","2","1.01","1014.1","4.7","100.01","3.607","31.150","372.1","402.2","368.0","397.8","-29.8","369.6","399.5","-29.9"
"GAKOA_149W_60N","59.911","-149.350","03/07/2013","12:17","378.4","2","1.03","402.4","2","1.03","1012.1","4.7","100.01","3.676","31.191","378.8","402.8","373.9","397.6","-23.7","375.5","399.2","-23.8"
"GAKOA_149W_60N","59.911","-149.350","03/07/2013","15:17","387.8","2","1.05","402.6","2","1.04","1009.7","4.8","99.93","3.728","31.219","388.2","403.0","382.2","396.8","-14.6","383.8","398.5","-14.7"
"GAKOA_149W_60N","59.911","-149.350","03/07/2013","18:17","393.9","2","1.01","401.7","2","1.01","1007.4","4.8","99.79","3.829","31.306","394.3","402.1","387.4","395.0","-7.7","389.0","396.7","-7.7"
"GAKOA_149W_60N","59.911","-149.350","03/07/2013","21:17","392.5","2","1.03","401.1","2","1.02","1006.8","4.6","99.75","3.769","31.282","392.9","401.5","385.8","394.2","-8.4","387.4","395.8","-8.4"
"GAKOA_149W_60N","59.911","-149.350","03/08/2013","00:17","391.2","2","0.97","401.9","2","0.98","1005.6","4.4","99.74","3.668","31.243","391.6","402.3","384.0","394.5","-10.5","385.6","396.1","-10.5"
"GAKOA_149W_60N","59.911","-149.350","03/08/2013","03:17","387.9","2","1.06","401.1","2","1.08","1004.6","3.9","99.72","3.697","31.234","388.3","401.5","380.4","393.4","-12.9","382.0","395.0","-13.0"
"GAKOA_149W_60N","59.911","-149.350","03/08/2013","06:17","393.2","2","1.10","401.7","2","1.12","1004.8","3.7","99.67","3.776","31.280","393.7","402.1","385.7","394.0","-8.3","387.3","395.6","-8.3"
"GAKOA_149W_60N","59.911","-149.350","03/08/2013","09:17","394.3","2","1.04","401.4","2","1.05","1005.7","3.8","99.68","3.783","31.277","394.7","401.8","387.1","394.1","-7.0","388.7","395.7","-7.0"
"GAKOA_149W_60N","59.911","-149.350","03/08/2013","12:17","394.7","2","1.04","401.9","2","1.06","1006.1","3.9","99.73","3.751","31.222","395.2","402.3","387.7","394.7","-7.0","389.3","396.4","-7.0"
"GAKOA_149W_60N","59.911","-149.350","03/08/2013","15:17","392.7","2","1.05","401.1","2","1.07","1005.5","3.9","99.75","3.722","31.184","393.1","401.6","385.4","393.7","-8.3","387.0","395.4","-8.3"
"GAKOA_149W_60N","59.911","-149.350","03/08/2013","18:17","393.5","2","1.06","401.2","2","1.08","1005.5","3.9","99.75","3.757","31.238","394.0","401.6","386.3","393.8","-7.5","387.9","395.4","-7.5"
"GAKOA_149W_60N","59.911","-149.350","03/08/2013","21:17","392.7","2","1.07","401.2","2","1.09","1006.8","3.9","99.74","3.741","31.197","393.2","401.6","386.0","394.3","-8.3","387.6","395.9","-8.3"
"GAKOA_149W_60N","59.911","-149.350","03/09/2013","00:17","391.3","2","1.03","401.0","2","1.04","1008.3","4.0","99.78","3.767","31.176","391.7","401.5","385.1","394.7","-9.6","386.7","396.4","-9.7"
