"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"GAKOA_149W_60N","59.913","-149.352","03/11/2015","03:17","385.4","2","0.21","407.2","2","0.17","1019.2","0.4","99.39","5.276","31.108","385.5","407.3","382.9","404.5","-21.6","384.4","406.2","-21.7"
"GAKOA_149W_60N","59.913","-149.352","03/11/2015","06:17","387.7","2","0.23","407.0","2","0.19","1019.7","-0.2","99.34","5.325","31.126","387.8","407.0","385.3","404.4","-19.1","386.9","406.1","-19.2"
"GAKOA_149W_60N","59.913","-149.352","03/11/2015","09:17","390.2","2","0.23","407.1","2","0.20","1018.5","-0.7","99.25","5.389","31.152","390.3","407.2","387.3","404.1","-16.8","388.9","405.8","-16.9"
"GAKOA_149W_60N","59.913","-149.352","03/11/2015","12:17","389.7","2","0.23","406.2","2","0.20","1016.3","-1.0","99.27","5.316","31.158","389.8","406.3","386.0","402.3","-16.3","387.6","404.0","-16.4"
"GAKOA_149W_60N","59.913","-149.352","03/11/2015","15:17","392.6","2","0.22","407.7","2","0.20","1013.8","-1.3","99.25","5.299","31.163","392.6","407.8","387.9","402.8","-14.9","389.5","404.5","-15.0"
"GAKOA_149W_60N","59.913","-149.352","03/11/2015","18:17","395.0","2","0.25","407.5","2","0.22","1012.1","-1.5","99.16","5.355","31.186","395.1","407.5","389.6","401.9","-12.3","391.2","403.5","-12.3"
"GAKOA_149W_60N","59.913","-149.352","03/11/2015","21:17","397.2","2","0.29","407.0","2","0.26","1009.5","-1.5","99.21","5.367","31.199","397.3","407.1","390.8","400.5","-9.7","392.4","402.1","-9.7"
"GAKOA_149W_60N","59.913","-149.352","03/12/2015","00:17","398.2","2","0.33","407.1","2","0.29","1005.7","-1.2","99.23","5.376","31.216","398.3","407.2","390.3","399.0","-8.7","391.9","400.6","-8.7"
"GAKOA_149W_60N","59.913","-149.352","03/12/2015","03:17","397.8","2","0.28","407.5","2","0.24","1002.5","-1.0","99.30","5.305","31.217","397.9","407.6","388.7","398.1","-9.4","390.3","399.8","-9.5"
"GAKOA_149W_60N","59.913","-149.352","03/12/2015","06:17","395.2","2","0.25","407.4","2","0.22","1001.4","-1.1","99.43","5.183","31.202","395.3","407.5","385.7","397.6","-11.9","387.3","399.2","-11.9"
"GAKOA_149W_60N","59.913","-149.352","03/12/2015","09:17","398.3","2","0.23","407.5","2","0.20","1000.6","-1.4","99.35","5.230","31.224","398.4","407.6","388.4","397.4","-8.9","390.0","399.0","-9.0"
"GAKOA_149W_60N","59.913","-149.352","03/12/2015","12:17","402.3","2","0.22","407.3","2","0.16","998.4","-1.6","113.80","5.360","31.259","402.3","407.3","391.4","396.2","-4.9","392.9","397.8","-4.9"
"GAKOA_149W_60N","59.913","-149.352","03/12/2015","15:17","402.2","2","0.23","407.5","2","0.18","998.4","-1.9","106.38","5.295","31.262","402.3","407.5","391.4","396.5","-5.1","392.9","398.1","-5.1"
"GAKOA_149W_60N","59.913","-149.352","03/12/2015","18:17","405.2","2","0.23","407.5","2","0.16","997.6","-2.0","116.07","5.371","31.301","405.3","407.6","393.9","396.1","-2.2","395.5","397.7","-2.2"
"GAKOA_149W_60N","59.913","-149.352","03/12/2015","21:17","403.0","2","0.26","407.3","2","0.21","997.3","-2.3","104.35","5.217","31.291","403.1","407.4","391.7","395.8","-4.2","393.2","397.4","-4.2"
"GAKOA_149W_60N","59.913","-149.352","03/13/2015","00:17","406.7","2","0.26","407.8","2","0.23","997.8","-2.2","100.73","5.430","31.344","406.8","407.9","395.5","396.6","-1.1","397.1","398.2","-1.1"
"GAKOA_149W_60N","59.913","-149.352","03/13/2015","03:17","406.6","2","0.25","407.8","2","0.23","999.5","-2.0","99.25","5.450","31.362","406.7","407.9","396.1","397.2","-1.1","397.7","398.8","-1.1"
"GAKOA_149W_60N","59.913","-149.352","03/13/2015","06:17","404.9","2","0.23","407.9","2","0.21","1000.7","-1.9","99.22","5.416","31.362","404.9","407.9","394.8","397.7","-2.9","396.4","399.3","-2.9"
"GAKOA_149W_60N","59.913","-149.352","03/13/2015","09:17","401.3","2","0.21","408.1","2","0.20","999.2","-2.0","99.17","5.232","31.349","401.4","408.2","390.8","397.4","-6.6","392.4","399.1","-6.7"
"GAKOA_149W_60N","59.913","-149.352","03/13/2015","12:17","404.1","2","0.21","408.6","2","0.19","997.4","-2.1","99.16","5.284","31.359","404.2","408.7","392.8","397.1","-4.4","394.4","398.7","-4.4"
"GAKOA_149W_60N","59.913","-149.352","03/13/2015","15:17","403.5","2","0.20","408.4","2","0.18","997.2","-2.2","99.12","5.215","31.364","403.6","408.5","392.2","396.9","-4.7","393.8","398.5","-4.7"
"GAKOA_149W_60N","59.913","-149.352","03/13/2015","18:17","404.3","2","0.21","408.2","2","0.19","998.7","-2.3","99.14","5.208","31.371","404.4","408.3","393.5","397.3","-3.8","395.1","398.9","-3.8"
"GAKOA_149W_60N","59.913","-149.352","03/13/2015","21:17","403.2","2","0.22","407.7","2","0.20","1000.0","-2.3","99.08","5.176","31.376","403.3","407.8","393.0","397.3","-4.3","394.6","399.0","-4.4"
"GAKOA_149W_60N","59.913","-149.352","03/14/2015","00:17","399.7","2","0.24","407.7","2","0.22","1000.4","-2.3","99.18","5.125","31.371","399.8","407.8","389.8","397.5","-7.7","391.3","399.1","-7.8"
"GAKOA_149W_60N","59.913","-149.352","03/14/2015","03:17","402.2","2","0.23","409.0","2","0.16","1001.2","-2.1","121.39","5.209","31.395","402.3","409.0","392.5","399.0","-6.5","394.1","400.6","-6.6"
"GAKOA_149W_60N","59.913","-149.352","03/14/2015","06:17","401.0","2","0.20","408.2","2","0.14","1002.5","-2.1","116.13","5.190","31.411","401.1","408.2","391.8","398.8","-7.0","393.4","400.4","-7.0"
"GAKOA_149W_60N","59.913","-149.352","03/14/2015","09:17","401.8","2","0.20","407.6","2","0.15","1002.8","-2.2","111.14","5.219","31.432","401.9","407.7","392.7","398.4","-5.7","394.3","400.0","-5.7"
"GAKOA_149W_60N","59.913","-149.352","03/14/2015","12:17","401.0","2","0.20","407.4","2","0.16","1003.5","-2.3","109.88","5.188","31.432","401.1","407.4","392.2","398.4","-6.2","393.8","400.0","-6.2"
"GAKOA_149W_60N","59.913","-149.352","03/14/2015","15:17","399.6","2","0.20","-999.0","4","0.12","1006.1","-2.5","154.37","5.070","31.428","399.7","-999.0","391.9","-999.0","-999.0","393.5","-999.0","-999.0"
