expocode: 316420190305
vessel name: GAKOA_149W_60N
PIs: Cross J.N.; Monacci N.M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
GAKOA_149W_60N,59.923,-149.37,03/05/2019,0:17:00,327.8,2,1.71,410.9,2,1.57,1031.7,12.8,99.99,-999,-999,328.3,411.6,-999,-999,-999,-999,-999,-999,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,3:17:00,324.8,2,1.25,414.3,2,1.22,1031,11.6,100.09,4.92,31.113,325.2,414.8,326.8,416.8,-90,328.2,418.6,-90.4,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,3:47:00,358.6,2,0.84,415.6,2,0.79,1031,12,100.04,5.156,31.244,358.9,415.9,360.6,417.9,-57.3,362.1,419.6,-57.5,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,4:17:00,337.7,2,0.71,416.2,2,0.65,1030.9,12.1,100.09,4.894,31.113,337.9,416.5,339.5,418.5,-79,341,420.3,-79.3,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,4:47:00,356.9,2,0.69,416.3,2,0.63,1030.6,12.1,100.03,4.765,31.073,357.2,416.6,358.8,418.5,-59.7,360.3,420.3,-59.9,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,5:17:00,358.1,2,0.69,416.8,2,0.64,1030.5,12,100.03,4.735,31.086,358.3,417.1,359.9,419,-59,361.5,420.7,-59.3,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,5:47:00,368.3,2,0.72,416.4,2,0.66,1030.3,11.8,99.93,4.742,31.12,368.5,416.7,370.1,418.5,-48.4,371.7,420.3,-48.6,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,6:17:00,351.9,2,0.76,416.8,2,0.7,1030.3,11.6,99.97,4.57,31.066,352.2,417.1,353.7,418.9,-65.2,355.2,420.7,-65.5,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,6:47:00,355.6,2,0.78,416.6,2,0.71,1029.9,11.4,99.93,4.472,31.002,355.9,416.9,357.3,418.6,-61.3,358.8,420.4,-61.5,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,9:17:00,357.5,2,1.27,414.6,2,1.23,1029.6,9.3,99.94,4.826,31.133,358,415.1,359.2,416.6,-57.4,360.7,418.3,-57.6,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,12:17:00,367.7,2,1.27,414.7,2,1.24,1028,8.2,99.83,4.638,31.044,368.1,415.2,368.9,416.1,-47.2,370.5,417.8,-47.4,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,15:17:00,380,2,1.3,414.7,2,1.26,1026.9,7.4,99.72,4.97,31.19,380.5,415.2,380.8,415.6,-34.8,382.4,417.3,-34.9,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,18:17:00,386.9,2,1.25,414.5,2,1.22,1026.3,6.9,99.53,5.104,31.253,387.4,415,387.4,415.1,-27.7,389,416.8,-27.8,-999,5
GAKOA_149W_60N,59.923,-149.37,03/05/2019,21:17:00,385.6,2,1.21,414.5,2,1.18,1025.7,6.5,99.41,5.064,31.241,386.1,415,385.9,414.8,-28.9,387.5,416.5,-29,-999,5
GAKOA_149W_60N,59.923,-149.37,03/06/2019,0:17:00,382.3,2,1.31,414.1,2,1.26,1024.3,6.2,99.45,5.07,31.253,382.8,414.6,382.1,413.9,-31.8,383.7,415.6,-31.9,-999,5
GAKOA_149W_60N,59.923,-149.37,03/06/2019,3:17:00,382.5,2,1.29,414.1,2,1.24,1023,6.1,99.45,5.063,31.252,383,414.6,381.8,413.3,-31.5,383.4,415,-31.6,-999,5
GAKOA_149W_60N,59.923,-149.37,03/06/2019,6:17:00,365.1,2,1.27,414.2,2,1.21,1022,6.1,99.64,4.789,31.063,365.6,414.7,364.2,413.1,-48.9,365.7,414.8,-49.1,-999,5
GAKOA_149W_60N,59.923,-149.37,03/06/2019,9:17:00,354.1,2,1.25,414.6,2,1.2,1021.3,6,99.83,4.585,30.913,354.6,415,353,413.2,-60.2,354.5,414.9,-60.5,-999,5
