expocode: 316420210305
vessel name: GAKOA_149W_60N
PIs: Monacci N.; Sutton A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
GAKOA_149W_60N,59.910,-149.350,03/05/2021,03:17,415.4,2,1.68,422.9,2,1.34,1005.6,11.0,98.69,4.345,31.286,416.1,423.4,407.9,415.1,-7.1,409.6,416.8,-7.2,-999,5
GAKOA_149W_60N,59.910,-149.350,03/05/2021,06:17,419.0,2,1.75,422.3,2,1.58,1004.1,9.4,98.67,4.324,31.259,419.8,423.0,410.9,414.1,-3.1,412.6,415.8,-3.1,-999,5
GAKOA_149W_60N,59.910,-149.350,03/05/2021,09:17,418.6,2,1.77,422.4,2,1.66,1002.1,8.2,98.68,4.290,31.248,419.4,423.1,409.7,413.3,-3.6,411.4,415.0,-3.7,-999,5
GAKOA_149W_60N,59.910,-149.350,03/05/2021,12:17,417.5,2,1.77,420.9,2,1.68,999.6,7.4,98.68,4.265,31.237,418.2,421.6,407.5,410.9,-3.3,409.2,412.5,-3.3,-999,5
GAKOA_149W_60N,59.910,-149.350,03/05/2021,15:17,419.8,2,1.76,422.4,2,1.65,997.9,6.9,98.73,4.258,31.244,420.5,423.1,409.1,411.7,-2.5,410.8,413.3,-2.5,-999,5
GAKOA_149W_60N,59.910,-149.350,03/05/2021,18:17,420.3,2,1.60,422.5,2,1.54,997.3,6.6,98.72,4.291,31.267,421.0,423.1,409.3,411.4,-2.1,411.0,413.1,-2.1,-999,5
GAKOA_149W_60N,59.910,-149.350,03/05/2021,21:17,421.9,2,1.70,422.4,2,1.65,996.5,6.2,98.76,4.310,31.259,422.6,423.1,410.6,411.0,-0.4,412.3,412.7,-0.4,-999,5
GAKOA_149W_60N,59.910,-149.350,03/06/2021,00:17,420.5,2,1.68,422.5,2,1.64,995.6,5.9,98.83,4.333,31.239,421.2,423.2,408.8,410.7,-1.9,410.5,412.4,-1.9,-999,5
GAKOA_149W_60N,59.910,-149.350,03/06/2021,03:17,417.6,2,1.64,422.6,2,1.60,995.6,5.7,98.88,4.282,31.241,418.3,423.3,406.0,410.8,-4.9,407.6,412.5,-4.9,-999,5
GAKOA_149W_60N,59.910,-149.350,03/06/2021,06:17,415.9,2,1.53,425.1,2,1.47,996.3,5.4,98.86,4.143,31.227,416.5,425.8,404.6,413.5,-8.9,406.2,415.2,-9.0,-999,5
