"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"GAKOA_149W_60N","59.856","-149.497","05/19/2011","18:17","219.5","2","1.08","397.2","2","1.04","1008.7","7.1","109.01","6.280","31.192","219.8","397.6","215.9","390.6","-174.7","216.7","392.1","-175.4"
"GAKOA_149W_60N","59.856","-149.497","05/19/2011","21:17","211.5","2","1.10","397.2","2","1.06","1007.9","7.0","108.96","6.278","31.097","211.7","397.6","207.8","390.2","-182.5","208.6","391.8","-183.2"
"GAKOA_149W_60N","59.856","-149.497","05/20/2011","00:17","205.7","2","1.07","396.9","2","1.03","1006.6","6.9","108.99","6.278","31.038","205.9","397.3","201.8","389.5","-187.7","202.6","391.1","-188.4"
"GAKOA_149W_60N","59.856","-149.497","05/20/2011","03:17","198.2","2","1.07","396.8","2","1.03","1006.3","6.8","108.95","6.240","30.861","198.4","397.2","194.4","389.3","-194.8","195.2","390.8","-195.6"
"GAKOA_149W_60N","59.856","-149.497","05/20/2011","06:17","204.2","2","1.10","396.6","2","1.06","1007.9","6.7","108.74","6.252","30.949","204.4","397.0","200.7","389.7","-189.0","201.5","391.3","-189.8"
"GAKOA_149W_60N","59.856","-149.497","05/20/2011","09:17","207.4","2","1.14","398.0","2","1.10","1009.4","6.8","108.59","6.304","30.965","207.6","398.4","204.1","391.6","-187.6","204.9","393.2","-188.3"
"GAKOA_149W_60N","59.856","-149.497","05/20/2011","12:17","219.2","2","1.13","398.1","2","1.09","1009.1","7.0","108.32","6.316","31.117","219.4","398.5","215.6","391.6","-176.0","216.5","393.2","-176.7"
"GAKOA_149W_60N","59.856","-149.497","05/20/2011","15:17","231.9","2","1.13","398.2","2","1.09","1010.9","7.0","107.87","6.249","31.218","232.2","398.7","228.6","392.5","-163.9","229.5","394.1","-164.5"
"GAKOA_149W_60N","59.856","-149.497","05/20/2011","18:17","240.3","2","1.14","397.8","2","1.10","1014.3","7.0","107.32","6.248","31.279","240.6","398.3","237.7","393.4","-155.7","238.6","395.0","-156.4"
"GAKOA_149W_60N","59.856","-149.497","05/20/2011","21:17","238.0","2","1.16","398.1","2","1.12","1016.7","7.1","106.93","6.268","31.296","238.2","398.5","235.9","394.6","-158.7","236.9","396.2","-159.3"
"GAKOA_149W_60N","59.856","-149.497","05/21/2011","00:17","228.9","2","1.17","397.9","2","1.13","1017.5","7.2","106.89","6.273","31.256","229.2","398.3","227.1","394.7","-167.6","228.0","396.3","-168.3"
"GAKOA_149W_60N","59.856","-149.497","05/21/2011","03:17","213.3","2","1.19","397.4","2","1.15","1016.8","7.3","107.39","6.339","31.199","213.5","397.9","211.4","394.0","-182.6","212.3","395.6","-183.3"
"GAKOA_149W_60N","59.856","-149.497","05/21/2011","06:17","211.5","2","1.17","397.3","2","1.13","1016.6","7.4","107.82","6.335","31.184","211.8","397.7","209.7","393.7","-184.1","210.5","395.3","-184.8"
"GAKOA_149W_60N","59.856","-149.497","05/21/2011","09:17","209.8","2","1.12","397.8","2","1.08","1015.2","7.4","106.70","6.335","30.433","210.0","398.2","207.6","393.7","-186.1","208.5","395.3","-186.8"
"GAKOA_149W_60N","59.856","-149.497","05/21/2011","12:17","215.4","2","1.15","398.3","2","1.10","1014.2","7.3","106.25","6.290","30.644","215.7","398.7","213.0","393.8","-180.8","213.9","395.4","-181.5"
"GAKOA_149W_60N","59.856","-149.497","05/21/2011","15:17","222.4","2","1.14","398.8","2","1.10","1013.7","7.2","106.26","6.245","30.948","222.6","399.3","219.8","394.2","-174.4","220.6","395.8","-175.1"
"GAKOA_149W_60N","59.856","-149.497","05/21/2011","18:17","218.3","2","1.19","397.9","2","1.15","1013.9","7.1","106.43","6.310","30.948","218.6","398.4","215.8","393.3","-177.5","216.7","394.9","-178.2"
"GAKOA_149W_60N","59.856","-149.497","05/21/2011","21:17","216.7","2","1.24","397.8","2","1.19","1014.3","7.3","106.86","6.420","30.991","217.0","398.3","214.3","393.4","-179.0","215.2","395.0","-179.8"
"GAKOA_149W_60N","59.856","-149.497","05/22/2011","00:17","220.9","2","1.24","396.3","2","1.19","1014.0","7.8","107.19","6.628","31.059","221.2","396.8","218.4","391.8","-173.4","219.3","393.3","-174.1"
"GAKOA_149W_60N","59.856","-149.497","05/22/2011","03:17","208.6","2","1.23","397.7","2","1.17","1013.7","8.1","107.49","6.563","31.085","208.8","398.2","206.1","393.0","-186.9","206.9","394.6","-187.6"
"GAKOA_149W_60N","59.856","-149.497","05/22/2011","06:17","200.9","2","1.20","397.8","2","1.15","1013.5","8.1","107.58","6.850","30.054","201.1","398.2","198.4","392.9","-194.5","199.2","394.5","-195.3"
"GAKOA_149W_60N","59.856","-149.497","05/22/2011","09:17","202.4","2","1.20","397.8","2","1.15","1013.2","7.8","107.62","6.852","29.873","202.7","398.2","199.9","392.8","-192.9","200.7","394.4","-193.7"
"GAKOA_149W_60N","59.856","-149.497","05/22/2011","12:17","203.5","2","1.19","397.8","2","1.15","1013.0","7.7","107.50","6.849","29.771","203.7","398.2","200.9","392.7","-191.8","201.7","394.3","-192.6"
"GAKOA_149W_60N","59.856","-149.497","05/22/2011","15:17","213.4","2","1.21","397.9","2","1.17","1012.9","7.5","107.04","6.883","29.632","213.6","398.4","210.7","392.8","-182.2","211.5","394.4","-182.9"
"GAKOA_149W_60N","59.856","-149.497","05/22/2011","18:17","204.6","2","1.21","397.2","2","1.17","1013.2","7.5","107.29","6.753","30.241","204.9","397.7","202.1","392.3","-190.2","202.9","393.9","-191.0"
"GAKOA_149W_60N","59.856","-149.497","05/22/2011","21:17","201.3","2","1.22","396.8","2","1.18","1013.6","7.5","107.43","6.780","30.269","201.6","397.3","198.9","392.0","-193.1","199.7","393.6","-193.9"
"GAKOA_149W_60N","59.856","-149.497","05/23/2011","00:17","203.9","2","1.21","397.2","2","1.17","1014.1","7.6","107.84","6.529","30.822","204.1","397.7","201.5","392.7","-191.1","202.3","394.3","-191.9"
"GAKOA_149W_60N","59.856","-149.497","05/23/2011","03:17","200.7","2","1.23","397.2","2","1.19","1015.0","7.7","107.74","6.657","30.456","201.0","397.7","198.6","393.0","-194.4","199.4","394.6","-195.2"
"GAKOA_149W_60N","59.856","-149.497","05/23/2011","06:17","200.3","2","1.24","397.3","2","1.20","1016.5","7.7","107.74","6.726","30.403","200.5","397.8","198.5","393.7","-195.3","199.3","395.3","-196.0"
"GAKOA_149W_60N","59.856","-149.497","05/23/2011","09:17","202.8","2","1.21","397.6","2","1.17","1017.5","7.7","107.51","6.680","30.445","203.0","398.1","201.1","394.4","-193.3","202.0","396.0","-194.0"
"GAKOA_149W_60N","59.856","-149.497","05/23/2011","12:17","205.0","2","1.21","397.5","2","1.17","1017.9","7.7","107.14","6.647","30.310","205.3","398.0","203.5","394.4","-191.0","204.3","396.0","-191.8"
"GAKOA_149W_60N","59.856","-149.497","05/23/2011","15:17","206.5","2","1.26","397.5","2","1.21","1018.2","7.6","106.44","6.686","29.811","206.7","398.0","204.9","394.5","-189.6","205.7","396.1","-190.4"
"GAKOA_149W_60N","59.856","-149.497","05/23/2011","18:17","207.9","2","1.25","397.2","2","1.20","1019.2","7.6","105.76","6.676","29.582","208.2","397.7","206.6","394.6","-188.1","207.4","396.2","-188.8"
"GAKOA_149W_60N","59.856","-149.497","05/23/2011","21:17","205.3","2","1.29","396.6","2","1.24","1019.8","7.7","105.39","6.685","29.691","205.6","397.1","204.1","394.3","-190.2","204.9","395.9","-191.0"
"GAKOA_149W_60N","59.856","-149.497","05/24/2011","00:17","203.0","2","1.37","396.2","2","1.31","1019.9","8.0","105.82","6.736","30.482","203.3","396.7","201.9","393.9","-192.0","202.7","395.5","-192.8"
"GAKOA_149W_60N","59.856","-149.497","05/24/2011","03:17","201.9","2","1.41","396.5","2","1.34","1019.1","8.4","105.58","6.845","30.060","202.2","397.0","200.6","393.9","-193.3","201.4","395.5","-194.0"
"GAKOA_149W_60N","59.856","-149.497","05/24/2011","06:17","200.6","2","1.27","395.9","2","1.22","1019.0","8.9","105.14","7.086","29.895","200.9","396.4","199.2","393.2","-194.0","200.0","394.8","-194.8"
"GAKOA_149W_60N","59.856","-149.497","05/24/2011","09:17","194.0","2","1.20","399.9","2","1.14","1019.0","8.7","104.69","6.865","29.604","194.3","400.4","192.7","397.2","-204.5","193.5","398.8","-205.3"
"GAKOA_149W_60N","59.856","-149.497","05/24/2011","12:17","195.5","2","1.18","398.8","2","1.13","1018.4","8.0","104.70","6.847","29.170","195.7","399.2","194.0","395.8","-201.7","194.8","397.4","-202.6"
"GAKOA_149W_60N","59.856","-149.497","05/24/2011","15:17","196.1","2","1.24","399.0","2","1.20","1018.3","7.4","105.24","6.706","29.734","196.3","399.5","194.6","396.0","-201.4","195.4","397.6","-202.2"
"GAKOA_149W_60N","59.856","-149.497","05/24/2011","18:17","196.8","2","1.36","399.1","2","1.31","1018.0","7.3","105.86","6.671","30.085","197.0","399.6","195.3","396.1","-200.8","196.1","397.7","-201.6"
"GAKOA_149W_60N","59.856","-149.497","05/24/2011","21:17","201.1","2","1.37","397.0","2","1.31","1017.7","8.0","106.18","6.934","30.079","201.4","397.6","199.5","393.9","-194.4","200.3","395.5","-195.1"
"GAKOA_149W_60N","59.856","-149.497","05/25/2011","00:17","209.3","2","1.35","397.0","2","1.27","1016.7","9.1","106.12","7.650","29.746","209.6","397.5","207.4","393.2","-185.8","208.2","394.8","-186.6"
"GAKOA_149W_60N","59.856","-149.497","05/25/2011","03:17","205.8","2","1.38","397.1","2","1.30","1015.5","9.5","106.14","7.309","29.983","206.1","397.6","203.7","393.0","-189.3","204.5","394.5","-190.0"
"GAKOA_149W_60N","59.856","-149.497","05/25/2011","06:17","205.9","2","1.38","397.2","2","1.30","1014.3","9.3","106.14","7.373","29.945","206.2","397.7","203.5","392.6","-189.1","204.3","394.2","-189.9"
"GAKOA_149W_60N","59.856","-149.497","05/25/2011","09:17","207.5","2","1.35","398.2","2","1.28","1013.7","9.0","105.91","7.553","29.504","207.8","398.7","204.9","393.3","-188.3","205.8","394.9","-189.1"
"GAKOA_149W_60N","59.856","-149.497","05/25/2011","12:17","206.9","2","1.36","397.2","2","1.30","1012.6","8.7","105.91","7.504","29.558","207.2","397.8","204.2","391.9","-187.7","205.0","393.5","-188.5"
"GAKOA_149W_60N","59.856","-149.497","05/25/2011","15:17","211.0","2","1.32","397.6","2","1.26","1011.4","8.5","105.49","7.568","29.346","211.3","398.1","208.0","391.7","-183.8","208.8","393.3","-184.5"
"GAKOA_149W_60N","59.856","-149.497","05/25/2011","18:17","209.1","2","1.34","397.2","2","1.29","1010.1","8.3","105.25","7.436","29.393","209.4","397.8","205.8","391.0","-185.2","206.6","392.5","-185.9"
"GAKOA_149W_60N","59.856","-149.497","05/25/2011","21:17","212.0","2","1.51","396.8","2","1.45","1009.2","8.4","105.15","7.491","29.329","212.3","397.4","208.5","390.2","-181.8","209.3","391.8","-182.5"
"GAKOA_149W_60N","59.856","-149.497","05/26/2011","00:17","209.6","2","1.60","395.7","2","1.54","1007.9","8.8","105.43","7.652","29.644","210.0","396.3","205.9","388.6","-182.7","206.7","390.1","-183.4"
"GAKOA_149W_60N","59.856","-149.497","05/26/2011","03:17","208.3","2","1.62","394.6","2","1.55","1006.0","9.6","105.86","7.801","29.604","208.6","395.3","204.2","386.8","-182.6","205.0","388.4","-183.4"
"GAKOA_149W_60N","59.856","-149.497","05/26/2011","06:17","214.3","2","1.55","394.7","2","1.47","1005.5","10.1","105.84","7.775","29.628","214.7","395.3","210.0","386.7","-176.7","210.8","388.2","-177.4"
"GAKOA_149W_60N","59.856","-149.497","05/26/2011","09:17","225.2","2","1.49","-999.0","4","1.41","1005.2","10.1","105.69","7.969","29.522","225.6","-999.0","220.6","-999.0","-999.0","221.5","-999.0","-999.0"
"GAKOA_149W_60N","59.856","-149.497","05/26/2011","12:17","214.3","2","1.47","395.9","2","1.39","1004.0","9.8","105.56","8.056","29.472","214.6","396.5","209.6","387.2","-177.6","210.4","388.7","-178.3"
"GAKOA_149W_60N","59.856","-149.497","05/26/2011","15:17","212.7","2","1.55","402.4","2","1.48","1003.4","9.4","105.49","7.824","29.444","213.1","403.0","208.0","393.4","-185.4","208.8","394.9","-186.1"
"GAKOA_149W_60N","59.856","-149.497","05/26/2011","18:17","213.0","2","1.70","396.6","2","1.64","1003.8","9.3","105.53","7.776","29.466","213.3","397.3","208.3","388.0","-179.7","209.1","389.5","-180.4"
"GAKOA_149W_60N","59.856","-149.497","05/26/2011","21:17","218.8","2","1.76","391.5","2","1.69","1004.0","9.7","105.74","7.932","29.539","219.2","392.2","214.1","383.0","-169.0","214.9","384.5","-169.6"
"GAKOA_149W_60N","59.856","-149.497","05/27/2011","00:17","218.0","2","1.70","393.0","2","1.62","1004.7","10.5","105.75","8.428","29.393","218.4","393.6","213.4","384.5","-171.2","214.2","386.1","-171.8"
"GAKOA_149W_60N","59.856","-149.497","05/27/2011","03:17","211.9","2","1.73","392.7","2","1.64","1005.8","10.9","106.18","8.455","30.010","212.2","393.4","207.6","384.8","-177.2","208.4","386.3","-177.9"
"GAKOA_149W_60N","59.856","-149.497","05/27/2011","06:17","213.3","2","1.62","393.3","2","1.54","1007.4","10.8","106.35","7.887","30.357","213.6","393.9","209.4","386.0","-176.7","210.2","387.6","-177.4"
"GAKOA_149W_60N","59.856","-149.497","05/27/2011","09:17","213.7","2","1.60","394.0","2","1.52","1008.2","10.5","106.03","8.432","30.034","214.1","394.6","209.9","386.9","-177.0","210.7","388.4","-177.7"
"GAKOA_149W_60N","59.856","-149.497","05/27/2011","12:17","213.5","2","1.50","395.2","2","1.44","1008.6","10.2","105.71","8.184","29.517","213.8","395.7","209.7","388.2","-178.5","210.6","389.8","-179.2"
"GAKOA_149W_60N","59.856","-149.497","05/27/2011","15:17","213.1","2","1.60","395.6","2","1.53","1008.1","9.8","106.01","8.122","29.649","213.4","396.2","209.3","388.5","-179.2","210.1","390.0","-179.9"
"GAKOA_149W_60N","59.856","-149.497","05/27/2011","18:17","212.2","2","1.77","395.0","2","1.71","1008.2","9.7","106.22","8.102","29.960","212.6","395.7","208.4","388.1","-179.6","209.3","389.6","-180.3"
"GAKOA_149W_60N","59.856","-149.497","05/27/2011","21:17","213.8","2","1.84","392.5","2","1.78","1009.0","10.3","106.83","8.184","29.988","214.2","393.2","210.2","385.9","-175.7","211.0","387.4","-176.3"
