Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
KODIAK_152W_57N,57.697,-152.315,3/30/13,0:17,382.7,2,0.96,404.9,2,0.92,1005.9,5.4,100.55,3.921,32.226,383.1,405.3,375.7,397.5,-21.8,377.3,399.2,-21.9
KODIAK_152W_57N,57.697,-152.315,3/30/13,3:17,330.6,2,1.35,405,2,1.33,1007,5.3,101.78,3.86,32.178,331,405.5,325,398.2,-73.1,326.4,399.8,-73.4
KODIAK_152W_57N,57.697,-152.315,3/30/13,6:17,393.9,2,1.33,405.2,2,1.35,1009.3,5.4,101.16,3.634,32.24,394.5,405.8,388.3,399.4,-11.1,389.9,401,-11.2
KODIAK_152W_57N,57.697,-152.315,3/30/13,9:17,395.8,2,1.4,406.7,2,1.45,1011.2,5,100.79,3.705,32.204,396.3,407.3,390.8,401.7,-10.9,392.4,403.4,-10.9
KODIAK_152W_57N,57.697,-152.315,3/30/13,12:17,396.7,2,1.46,405.9,2,1.52,1012.1,4.7,100.45,3.671,32.229,397.3,406.5,392.1,401.2,-9.1,393.8,402.9,-9.1
KODIAK_152W_57N,57.697,-152.315,3/30/13,15:17,369.2,2,1.45,405.2,2,1.52,1013.4,4.5,100.4,3.471,31.988,369.7,405.9,365.4,401.1,-35.7,367,402.8,-35.9
KODIAK_152W_57N,57.697,-152.315,3/30/13,18:17,373.7,2,1.88,405.5,2,1.9,1015.3,4.3,100.42,3.615,32.037,374.4,406.2,370.7,402.2,-31.5,372.3,403.9,-31.7
KODIAK_152W_57N,57.697,-152.315,3/30/13,21:17,387.8,2,1.75,405.2,2,1.75,1016.4,4.4,100.35,3.891,32.121,388.4,405.9,385,402.3,-17.3,386.6,404,-17.4
KODIAK_152W_57N,57.697,-152.315,3/31/13,0:17,387.8,2,1.71,406.3,2,1.69,1016.7,4.9,100.31,3.98,32.131,388.5,407,385.1,403.5,-18.3,386.7,405.1,-18.4
KODIAK_152W_57N,57.697,-152.315,3/31/13,3:17,379.4,2,1.53,405,2,1.52,1017.2,5.3,100.43,4.035,32.066,379.9,405.6,376.8,402.3,-25.4,378.4,404,-25.6
KODIAK_152W_57N,57.697,-152.315,3/31/13,6:17,383.6,2,1.41,406.5,2,1.44,1018.4,5.3,100.47,3.921,32.122,384.2,407.1,381.5,404.3,-22.8,383.1,406,-22.9
KODIAK_152W_57N,57.697,-152.315,3/31/13,9:17,385.4,2,1.4,406.5,2,1.45,1018.7,5,100.3,3.897,32.153,385.9,407,383.4,404.4,-21,385,406.1,-21.1
KODIAK_152W_57N,57.697,-152.315,3/31/13,12:17,381.7,2,1.47,407.7,2,1.53,1018.4,4.6,100.27,3.821,32.156,382.3,408.4,379.6,405.5,-25.9,381.2,407.3,-26
