"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"KODIAK_152W_57N","57.694","-152.318","05/13/2014","03:17","150.7","2","1.17","404.8","2","1.01","1028.2","12.1","120.56","7.776","31.880","150.8","405.2","150.9","405.5","-254.5","151.5","407.1","-255.6"
"KODIAK_152W_57N","57.694","-152.318","05/13/2014","06:17","152.3","2","1.89","402.5","2","1.78","1028.1","11.0","120.10","8.371","31.304","152.6","403.2","152.6","403.2","-250.6","153.2","404.8","-251.6"
"KODIAK_152W_57N","57.694","-152.318","05/13/2014","09:17","155.9","2","1.90","406.5","2","1.79","1027.7","10.3","118.39","8.170","31.387","156.2","407.2","156.2","407.1","-251.0","156.8","408.8","-252.0"
"KODIAK_152W_57N","57.694","-152.318","05/13/2014","12:17","153.5","2","1.83","406.3","2","1.73","1027.4","9.6","116.84","8.186","31.028","153.8","407.0","153.7","406.8","-253.1","154.3","408.4","-254.1"
"KODIAK_152W_57N","57.694","-152.318","05/13/2014","15:17","154.9","2","1.86","408.1","2","1.79","1027.3","9.1","115.43","8.134","31.130","155.1","408.9","155.0","408.6","-253.6","155.7","410.3","-254.6"
"KODIAK_152W_57N","57.694","-152.318","05/13/2014","18:17","154.5","2","2.09","405.8","2","1.98","1026.8","8.9","114.70","8.104","30.721","154.8","406.6","154.6","406.1","-251.5","155.2","407.8","-252.5"
"KODIAK_152W_57N","57.694","-152.318","05/13/2014","21:17","154.5","2","1.93","403.2","2","1.81","1027.3","9.4","116.22","8.155","31.503","154.8","403.9","154.7","403.7","-249.0","155.3","405.3","-250.0"
"KODIAK_152W_57N","57.694","-152.318","05/14/2014","00:17","155.5","2","2.00","403.2","2","1.90","1026.2","9.8","115.99","8.963","30.847","155.8","404.0","155.5","403.0","-247.6","156.1","404.6","-248.5"
"KODIAK_152W_57N","57.694","-152.318","05/14/2014","03:17","166.2","2","2.34","402.1","2","2.16","1024.8","10.2","114.55","9.461","30.431","166.6","403.0","166.0","401.4","-235.4","166.6","402.9","-236.3"
"KODIAK_152W_57N","57.694","-152.318","05/14/2014","06:17","161.4","2","2.24","401.6","2","2.07","1024.5","10.6","113.99","9.519","30.383","161.8","402.5","161.1","400.7","-239.7","161.7","402.3","-240.6"
"KODIAK_152W_57N","57.694","-152.318","05/14/2014","09:17","161.6","2","2.26","413.1","2","2.10","1024.4","10.6","113.60","8.539","30.996","161.9","414.0","161.3","412.4","-251.1","162.0","414.1","-252.1"
"KODIAK_152W_57N","57.694","-152.318","05/14/2014","12:17","157.3","2","2.36","404.8","2","2.14","1024.9","10.5","114.48","8.475","30.983","157.7","405.7","157.2","404.4","-247.2","157.8","406.0","-248.1"
"KODIAK_152W_57N","57.694","-152.318","05/14/2014","15:17","157.7","2","2.30","405.2","2","2.08","1025.7","10.6","115.08","8.493","30.771","158.0","406.0","157.6","405.0","-247.4","158.3","406.6","-248.4"
"KODIAK_152W_57N","57.694","-152.318","05/14/2014","18:17","154.8","2","2.18","404.3","2","1.99","1026.6","10.7","116.98","7.572","31.636","155.1","405.1","155.0","404.8","-249.8","155.6","406.4","-250.8"
"KODIAK_152W_57N","57.694","-152.318","05/14/2014","21:17","163.2","2","2.31","403.4","2","2.10","1027.3","11.0","117.84","7.677","31.814","163.6","404.2","163.5","404.1","-240.6","164.2","405.7","-241.6"
"KODIAK_152W_57N","57.694","-152.318","05/15/2014","00:17","175.1","2","2.43","402.9","2","2.20","1027.7","11.5","117.93","7.484","31.897","175.5","403.8","175.6","403.9","-228.4","176.3","405.6","-229.3"
"KODIAK_152W_57N","57.694","-152.318","05/15/2014","03:17","153.7","2","2.47","403.4","2","2.26","1028.5","11.9","118.92","7.988","31.832","154.0","404.3","154.1","404.6","-250.4","154.8","406.2","-251.4"
"KODIAK_152W_57N","57.694","-152.318","05/15/2014","06:17","148.5","2","2.36","402.9","2","2.17","1030.0","11.9","119.97","7.950","31.778","148.9","403.8","149.2","404.7","-255.5","149.8","406.3","-256.5"
"KODIAK_152W_57N","57.694","-152.318","05/15/2014","09:17","152.8","2","2.16","416.9","2","2.02","1030.6","11.3","120.25","8.130","31.644","153.1","417.7","153.5","418.8","-265.3","154.1","420.5","-266.4"
"KODIAK_152W_57N","57.694","-152.318","05/15/2014","12:17","151.2","2","2.00","422.1","2","1.88","1030.9","10.4","118.56","8.377","30.913","151.5","422.9","151.9","424.1","-272.1","152.5","425.8","-273.2"
"KODIAK_152W_57N","57.694","-152.318","05/15/2014","15:17","168.8","2","2.03","421.8","2","1.92","1031.3","9.8","117.14","8.067","31.182","169.1","422.6","169.7","424.0","-254.3","170.4","425.7","-255.4"
