Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
KODIAK_152W_57N,57.697,-152.315,11/14/13,3:17,518.5,2,0.97,404.7,2,0.86,1025.8,9.7,93.7,6.447,31.679,519,405.1,518.4,404.7,113.8,520.6,406.3,114.3
KODIAK_152W_57N,57.697,-152.315,11/14/13,6:17,522,2,1.64,407.2,2,1.58,1024.1,8.4,93.68,6.471,31.679,522.9,407.9,521.5,406.7,114.7,523.6,408.4,115.2
KODIAK_152W_57N,57.697,-152.315,11/14/13,9:17,521.1,2,1.86,402.9,2,1.8,1023.9,8.2,93.62,6.485,31.678,522,403.6,520.5,402.5,118.1,522.6,404.1,118.5
KODIAK_152W_57N,57.697,-152.315,11/14/13,12:17,514.3,2,1.75,401.4,2,1.68,1022.8,8.4,93.72,6.386,31.619,515.2,402.1,513.2,400.5,112.7,515.3,402.2,113.1
KODIAK_152W_57N,57.697,-152.315,11/14/13,15:17,517.5,2,1.87,400.1,2,1.81,1021.4,8.6,93.85,6.29,31.474,518.5,400.8,515.7,398.7,117,517.8,400.3,117.5
KODIAK_152W_57N,57.697,-152.315,11/14/13,18:17,521.1,2,1.8,401,2,1.73,1020.1,8.8,93.79,6.394,31.583,522.1,401.7,518.6,399,119.6,520.7,400.6,120.1
KODIAK_152W_57N,57.697,-152.315,11/14/13,21:17,520.3,2,1.86,400.2,2,1.79,1019.7,8.9,93.69,6.424,31.624,521.3,400.9,517.6,398.1,119.5,519.7,399.7,120
KODIAK_152W_57N,57.697,-152.315,11/15/13,0:17,520.8,2,1.85,400.9,2,1.78,1018.1,9,93.74,6.447,31.627,521.8,401.6,517.3,398.2,119.2,519.4,399.8,119.6
KODIAK_152W_57N,57.697,-152.315,11/15/13,3:17,523,2,1.8,402.1,2,1.73,1018.1,9,93.61,6.507,31.687,524,402.8,519.4,399.3,120.1,521.6,400.9,120.6
KODIAK_152W_57N,57.697,-152.315,11/15/13,6:17,521.7,2,1.76,400.7,2,1.69,1019.2,8.8,93.51,6.507,31.695,522.7,401.4,518.7,398.4,120.3,520.9,400,120.8
KODIAK_152W_57N,57.697,-152.315,11/15/13,9:17,522.3,2,1.74,402.3,2,1.66,1020.3,8.5,93.47,6.509,31.703,523.2,402.9,519.8,400.3,119.5,521.9,402,119.9
KODIAK_152W_57N,57.697,-152.315,11/15/13,12:17,522.3,2,1.74,401.6,2,1.66,1020.4,8.2,93.36,6.499,31.703,523.2,402.3,519.9,399.8,120.1,522,401.4,120.6
KODIAK_152W_57N,57.697,-152.315,11/15/13,15:17,522.6,2,1.71,402.3,2,1.63,1020.3,8,93.34,6.496,31.706,523.5,403,520.1,400.4,119.7,522.2,402,120.2
KODIAK_152W_57N,57.697,-152.315,11/15/13,18:17,523.3,2,1.7,404,2,1.62,1019.5,7.8,93.34,6.457,31.687,524.2,404.6,520.4,401.7,118.7,522.6,403.3,119.2
KODIAK_152W_57N,57.697,-152.315,11/15/13,21:17,521.4,2,1.71,403.4,2,1.64,1018.4,7.7,93.49,6.435,31.672,522.3,404.1,518,400.8,117.3,520.1,402.4,117.7
KODIAK_152W_57N,57.697,-152.315,11/16/13,0:17,519.1,2,1.71,403.4,2,1.65,1017.1,7.7,93.83,6.44,31.644,520,404,515,400.2,114.9,517.1,401.8,115.3
KODIAK_152W_57N,57.697,-152.315,11/16/13,3:17,513.5,2,1.71,403.5,2,1.65,1016.3,7.7,94.27,6.216,31.356,514.4,404.1,509.1,400,109.1,511.2,401.6,109.6
KODIAK_152W_57N,57.697,-152.315,11/16/13,6:17,515.3,2,1.76,402.4,2,1.69,1016.3,7.7,94.57,6.178,31.427,516.2,403.1,510.9,399,111.9,513,400.6,112.4
