expocode: 316420130424
vessel name: LAPUSH_125W_48N
PIs:  Sutton, A.; Newton, J.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 % O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,PH_SW,QF_PH,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/24/2013,00:17,196.2,2,0.73,402.1,2,0.63,1025.7,12.2,112.17,10.135,30.915,196.3,402.4,195.6,400.9,-205.3,196.4,402.5,-206.1,8.293,2,-999,5,0.780,2,339.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/24/2013,03:17,240.5,2,0.34,402.1,2,0.25,1026.1,11.0,112.51,9.579,31.203,240.5,402.2,239.9,401.1,-161.2,240.8,402.7,-161.9,8.283,2,-999,5,0.878,2,340.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/24/2013,06:17,264.7,2,0.31,403.7,2,0.23,1026.9,10.6,111.69,9.385,31.258,264.8,403.8,264.3,403.1,-138.8,265.3,404.6,-139.3,8.213,2,-999,4,0.773,2,316.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/24/2013,09:17,247.9,2,0.29,405.1,2,0.21,1027.5,10.5,111.24,9.420,31.228,247.9,405.2,247.6,404.7,-157.1,248.6,406.3,-157.7,8.228,2,-999,4,0.820,2,317.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/24/2013,12:17,261.0,2,0.26,407.2,2,0.19,1028.0,10.4,110.50,9.290,31.252,261.1,407.3,260.9,407.0,-146.1,261.9,408.6,-146.7,8.216,2,-999,5,0.796,2,309.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/24/2013,15:17,248.0,2,0.31,415.6,2,0.22,1027.9,10.3,110.48,9.338,31.212,248.1,415.7,247.9,415.4,-167.5,248.9,417.0,-168.2,8.220,2,-999,5,0.829,2,319.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/24/2013,18:17,219.9,2,0.32,412.9,2,0.21,1027.1,11.0,111.23,9.951,31.177,220.0,413.0,219.5,412.1,-192.6,220.4,413.7,-193.3,8.249,2,-999,5,0.769,2,336.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/24/2013,21:17,203.6,2,0.34,409.6,2,0.24,1025.4,11.4,112.47,10.720,30.993,203.6,409.7,202.8,407.9,-205.1,203.5,409.5,-205.9,-999,4,-999,5,0.774,2,349.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/25/2013,00:17,187.2,2,0.38,404.2,2,0.28,1023.3,11.7,114.26,10.671,30.981,187.3,404.3,186.1,401.8,-215.7,186.8,403.3,-216.5,8.271,2,-999,5,0.849,2,373.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.964,-124.949,04/25/2013,03:17,180.0,2,0.34,399.8,2,0.25,1021.6,11.7,115.75,10.238,31.060,180.0,399.9,178.6,396.8,-218.2,179.3,398.4,-219.0,8.310,2,-999,5,0.887,2,-999,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
