Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW,QF_pH
LAPUSH_125W_48N,47.966,-124.95,7/17/2010,0:17,388.1,2,2.19,386.7,2,2.08,1021.8,16.2,103.22,-999,-999,388.9,387.5,-999,-999,-999,-999,-999,-999,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/17/2010,3:17,360.9,2,2.2,384.4,2,2.12,1021.7,15.5,103.85,-999,-999,361.7,385.2,-999,-999,-999,-999,-999,-999,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/17/2010,6:17,405.4,2,2.1,384.4,2,2.02,1022.1,14.7,103.73,-999,-999,406.3,385.2,-999,-999,-999,-999,-999,-999,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/17/2010,9:17,382.5,2,2.02,384.6,2,1.95,1022.2,14.1,103.65,-999,-999,383.3,385.4,-999,-999,-999,-999,-999,-999,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/17/2010,12:17,424.1,2,1.99,384.7,2,1.92,1021.9,13.7,103.28,-999,-999,424.9,385.4,-999,-999,-999,-999,-999,-999,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/17/2010,15:17,387.1,2,2.01,384.6,2,1.93,1022.6,13.5,103.31,-999,-999,387.9,385.4,-999,-999,-999,-999,-999,-999,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/17/2010,18:17,400.5,2,2.15,385,2,2.05,1023,13.7,103.37,-999,-999,401.4,385.7,-999,-999,-999,-999,-999,-999,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/17/2010,21:17,378.9,2,2.43,384.1,2,2.28,1022.8,14.8,103.62,12.706,31.511,379.8,385,376.6,381.7,-5.1,378,383.1,-5.2,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/18/2010,0:17,346.8,2,2.52,384.9,2,2.37,1022.1,15.8,104.55,13.181,31.529,347.6,385.8,344.3,382.1,-37.8,345.6,383.5,-38,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/18/2010,3:17,332.9,2,2.22,385.5,2,2.12,1021.4,15.7,105.47,13.04,31.533,333.6,386.3,330.2,382.4,-52.2,331.4,383.8,-52.4,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/18/2010,6:17,363.2,2,2.18,384.4,2,2.07,1022.1,14.6,105.56,12.71,31.496,364,385.2,360.6,381.6,-21,362,383,-21.1,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/18/2010,9:17,384.8,2,2.1,381.7,2,2.01,1021.8,14,105.15,12.482,31.525,385.6,382.4,382,378.9,3.2,383.5,380.3,3.2,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/18/2010,12:17,389.1,2,2.05,382.8,2,1.97,1021.6,13.7,104.72,12.413,31.512,389.9,383.5,386.2,379.9,6.3,387.6,381.3,6.3,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/18/2010,15:17,360.2,2,2.05,382.8,2,1.96,1022,13.5,105.02,12.572,31.49,360.9,383.6,357.6,380,-22.4,358.9,381.5,-22.5,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/18/2010,18:17,348.8,2,2.14,382.8,2,2.04,1022.7,13.6,105.38,12.571,31.574,349.5,383.6,346.6,380.4,-33.8,347.9,381.8,-33.9,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/18/2010,21:17,372.7,2,2.34,384,2,2.2,1022.9,14.3,105.38,12.765,31.486,373.6,384.9,370.4,381.6,-11.2,371.8,383,-11.2,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/19/2010,0:17,330.2,2,2.3,383.4,2,2.18,1022.5,15,106.06,12.807,31.559,331,384.3,328,380.8,-52.8,329.3,382.3,-53,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/19/2010,3:17,272.9,2,2.22,380.8,2,2.12,1022.4,14.6,106.17,13.496,31.914,273.5,381.7,270.9,378,-107.1,271.9,379.4,-107.5,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/19/2010,6:17,277.3,2,2.14,381.2,2,2.05,1023,14.1,106.2,13.343,31.913,277.9,382,275.4,378.6,-103.2,276.4,380,-103.6,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/19/2010,9:17,293.5,2,2.11,381.4,2,2.03,1023.2,13.8,105.63,13.484,31.929,294.1,382.2,291.5,378.8,-87.3,292.6,380.2,-87.6,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/19/2010,12:17,295,2,2.06,381.9,2,1.99,1023.4,13.6,105.15,13.395,31.934,295.7,382.6,293.1,379.3,-86.2,294.2,380.8,-86.5,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/19/2010,15:17,298.4,2,2.06,381.8,2,1.98,1023.9,13.4,104.58,13.39,31.919,299,382.6,296.6,379.5,-82.9,297.7,380.9,-83.2,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/19/2010,18:17,288.9,2,2.15,381.3,2,2.05,1024.5,13.4,104.51,13.24,31.926,289.5,382.1,287.4,379.3,-92,288.4,380.7,-92.3,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/19/2010,21:17,289.3,2,2.31,381.5,2,2.2,1023.9,14,104.6,13.35,31.926,290,382.4,287.7,379.3,-91.6,288.7,380.7,-92,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/20/2010,0:17,288,2,2.31,381.2,2,2.18,1022.6,14.6,104.57,13.344,31.925,288.7,382,286,378.5,-92.4,287.1,379.9,-92.8,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/20/2010,3:17,282.7,2,2.23,381.5,2,2.13,1021.8,14.5,104.93,13.1,31.928,283.3,382.3,280.5,378.5,-98,281.6,379.9,-98.4,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/20/2010,6:17,277,2,2.08,382.5,2,1.99,1021.8,14,105.31,12.744,31.946,277.5,383.2,274.9,379.6,-104.7,275.9,381,-105.1,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/20/2010,9:17,301.1,2,2.08,381.1,2,2,1021.1,13.5,105,12.919,31.941,301.8,381.9,298.6,377.9,-79.3,299.7,379.3,-79.6,-999,5
LAPUSH_125W_48N,47.966,-124.95,7/20/2010,12:17,299.1,2,2.05,381,2,1.96,1020.1,13.3,104.71,13.023,31.933,299.7,381.7,296.2,377.4,-81.1,297.3,378.8,-81.4,-999,5
