expocode: 316420200706
vessel name: LAPUSH_125W_48N
PIs:  Sutton_A.; Newton_J.; Manalang_D.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
LAPUSH_125W_48N,47.967,-124.96,07/06/2020,23:17,289.7,2,2.9,398.1,2,2.73,1019.2,15.5,102.16,14.192,31.481,290.6,399.2,286.7,393.9,-107.2,287.7,395.3,-107.6,-999,5,-999,5,1.057,2,306.5,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,00:17,296.4,2,2.11,403.4,2,1.86,1018.7,16.8,105.37,14.769,31.459,297,404.1,292.7,398.3,-105.6,293.7,399.7,-106,8.145,2,-999,5,1.066,2,306.2,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,00:47,294.3,2,2.14,403.6,2,1.93,1018.6,17.1,106.58,14.866,31.465,294.9,404.3,290.6,398.4,-107.9,291.6,399.9,-108.2,-999,5,-999,5,1.076,2,305.1,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,01:17,284.2,2,2.17,403.7,2,1.96,1018.6,17.4,107.41,14.982,31.491,284.8,404.5,280.5,398.5,-118,281.6,400,-118.4,-999,5,-999,5,1.102,2,307.1,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,01:47,278.1,2,2.09,404,2,1.83,1018.5,17.5,108.15,15.061,31.503,278.7,404.7,274.5,398.6,-124.1,275.5,400.1,-124.6,-999,5,-999,5,1.156,2,309.3,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,02:17,275.3,2,2.09,404.1,2,1.82,1018.2,17.7,109,15.095,31.512,275.9,404.8,271.7,398.6,-127,272.7,400.1,-127.4,-999,5,-999,5,1.218,2,314.5,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,02:47,266.5,2,2.09,404.1,2,1.8,1018.3,17.8,110.03,14.937,31.519,267.1,404.8,263.1,398.7,-135.6,264,400.2,-136.1,-999,5,-999,5,1.246,2,323.8,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,03:17,260.1,2,2.07,404.3,2,1.8,1018.2,17.8,111.02,14.899,31.523,260.7,405,256.7,398.9,-142.2,257.7,400.3,-142.7,8.19,2,-999,5,1.242,2,331.3,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,06:17,282.7,2,2.68,402.5,2,2.5,1018.2,16.2,110.59,15.13,31.508,283.4,403.5,279.1,397.3,-118.2,280.1,398.7,-118.7,8.156,2,1.789,2,1.087,2,308.7,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,09:17,273.2,2,2.64,402.8,2,2.48,1017.8,15.8,110.53,14.571,31.539,273.9,403.8,269.7,397.6,-127.9,270.7,399.1,-128.4,8.169,2,1.745,2,1.121,2,317.6,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,12:17,255,2,2.64,402.7,2,2.49,1017.9,15.5,111.11,14.294,31.484,255.7,403.7,251.9,397.7,-145.9,252.8,399.2,-146.4,8.198,2,-999,5,1.217,2,331.7,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,15:17,260.3,2,2.97,402.8,2,3.01,1019,15.5,111.41,14.106,31.494,261.1,404,257.5,398.5,-141,258.5,400,-141.5,8.189,2,-999,5,1.225,2,329.7,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,18:17,256.5,2,2.9,402.7,2,2.79,1019.8,15.9,111.49,14.904,31.457,257.2,403.8,253.8,398.3,-144.6,254.7,399.8,-145.1,8.196,2,-999,5,1.179,2,323.3,2
LAPUSH_125W_48N,47.967,-124.96,07/07/2020,21:17,249.4,2,3.06,402.5,2,2.94,1020.4,16.2,112.13,15.343,31.461,250.1,403.7,246.8,398.2,-151.5,247.7,399.7,-152,8.208,2,-999,5,1.189,2,334.3,2
LAPUSH_125W_48N,47.967,-124.96,07/08/2020,00:17,264.4,2,3.05,402.5,2,2.9,1020.8,16.7,112.22,15.22,31.497,265.2,403.6,261.8,398.4,-136.6,262.8,399.9,-137.1,8.191,2,-999,5,1.194,2,325.2,2
LAPUSH_125W_48N,47.967,-124.96,07/08/2020,03:17,271.5,2,2.96,404,2,2.82,1020.5,16.7,112.04,14.769,31.487,272.3,405.1,268.8,400,-131.2,269.8,401.4,-131.7,8.181,2,-999,5,1.198,2,324.6,2
LAPUSH_125W_48N,47.967,-124.96,07/08/2020,06:17,251.1,2,2.87,407.8,2,2.72,1021.1,16.4,112.19,15.264,31.467,251.8,408.9,248.6,403.7,-155.1,249.5,405.2,-155.7,8.205,2,1.523,2,1.244,2,329.3,2
LAPUSH_125W_48N,47.967,-124.96,07/08/2020,09:17,260.7,2,2.81,407.7,2,2.68,1020.6,16.1,112.24,14.921,31.53,261.5,408.8,258.1,403.6,-145.5,259,405,-146,8.194,2,1.295,2,1.158,2,324.9,2
LAPUSH_125W_48N,47.967,-124.96,07/08/2020,12:17,260.9,2,2.65,408.5,2,2.51,1020.5,15.9,112.03,14.77,31.492,261.6,409.5,258.3,404.3,-146,259.2,405.8,-146.5,8.191,2,-999,5,1.181,2,325.7,2
LAPUSH_125W_48N,47.967,-124.96,07/08/2020,15:17,266.7,2,3,408,2,2.93,1020.8,15.8,111.53,14.679,31.458,267.5,409.2,264.2,404.1,-139.9,265.2,405.6,-140.4,8.182,2,-999,5,1.181,2,317.2,2
LAPUSH_125W_48N,47.967,-124.96,07/08/2020,18:17,267.4,2,2.97,407.6,2,2.94,1020.9,16.3,111.24,14.222,31.465,268.2,408.8,265,403.9,-138.9,266,405.4,-139.4,8.183,2,-999,5,1.218,2,320.7,2
LAPUSH_125W_48N,47.967,-124.96,07/08/2020,21:17,284.6,2,3.12,407.6,2,3.08,1020.5,16.4,110.59,15.16,31.703,285.5,408.9,281.8,403.5,-121.8,282.8,405,-122.2,8.148,2,-999,5,0.988,2,304.6,2
