expocode: 316420210617
vessel name: LAPUSH_125W_48N
PIs:  Sutton_A.; Manalang_D.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
LAPUSH_125W_48N,47.968,-124.955,06/17/2021,18:47,224,2,1.75,413.3,2,1.62,1023.4,15,103.75,15.548,26.467,224.4,414,221.9,409.5,-187.6,222.8,411,-188.3,-999,5,-999,5,0.733,2,309.8,2
LAPUSH_125W_48N,47.968,-124.955,06/17/2021,19:17,225.8,2,1.69,414.3,2,1.58,1023.4,15.8,104.45,15.658,26.515,226.2,414.9,223.8,410.4,-186.7,224.6,411.9,-187.3,-999,5,-999,5,0.813,2,309.8,2
LAPUSH_125W_48N,47.968,-124.955,06/17/2021,19:47,226.4,2,1.78,414.6,2,1.64,1023.4,16,105.01,15.677,26.635,226.8,415.2,224.4,410.7,-186.4,225.2,412.2,-187,-999,5,-999,5,0.707,2,309.1,2
LAPUSH_125W_48N,47.968,-124.955,06/17/2021,20:17,226.9,2,1.77,414.1,2,1.68,1023.4,15.9,105.41,15.867,26.606,227.3,414.8,224.8,410.2,-185.4,225.6,411.7,-186.1,-999,5,-999,5,0.749,2,309.1,2
LAPUSH_125W_48N,47.968,-124.955,06/17/2021,20:47,226.8,2,1.78,414.3,2,1.68,1023,16.5,105.88,16.013,26.484,227.2,415,224.6,410.2,-185.6,225.4,411.6,-186.3,-999,5,-999,5,0.714,2,310.8,2
LAPUSH_125W_48N,47.968,-124.955,06/17/2021,21:17,225.7,2,1.77,415.1,2,1.62,1022.9,16.7,106.28,16.095,26.384,226.1,415.8,223.4,410.9,-187.4,224.2,412.4,-188.1,-999,5,-999,5,0.79,2,311.8,2
LAPUSH_125W_48N,47.968,-124.955,06/18/2021,00:17,226.6,2,2.88,416.2,2,2.76,1022,15.4,106.59,16.244,26.626,227.3,417.4,224.3,412,-187.7,225.1,413.5,-188.3,8.221,2,-999,5,0.772,2,315.1,2
LAPUSH_125W_48N,47.968,-124.955,06/18/2021,03:17,251.5,2,2.77,413.6,2,2.72,1021,15.3,106.36,15.831,28.301,252.2,414.7,248.8,409.2,-160.4,249.7,410.7,-160.9,8.192,2,-999,5,0.7,2,305.4,2
LAPUSH_125W_48N,47.968,-124.955,06/18/2021,06:17,274.5,2,2.51,411.5,2,2.44,1021.3,14.1,106.61,13.328,31.991,275.2,412.5,272.3,408.2,-135.8,273.3,409.7,-136.4,8.155,2,0.589,2,0.521,2,329.5,2
LAPUSH_125W_48N,47.968,-124.955,06/18/2021,09:17,276.4,2,2.45,412.1,2,2.4,1021.2,11.1,106.23,13.676,32.11,277,413.1,274,408.5,-134.6,275,410.1,-135.1,8.167,2,0.409,2,0.687,2,313.1,2
LAPUSH_125W_48N,47.968,-124.955,06/18/2021,12:17,297,2,2.38,414,2,2.34,1020.7,12.6,105.54,13.628,32.034,297.7,415,294.3,410.3,-116,295.4,411.8,-116.4,8.142,2,-999,5,0.457,2,306.6,2
LAPUSH_125W_48N,47.968,-124.955,06/18/2021,15:17,290.3,2,2.5,414.4,2,2.39,1021.5,13.5,105.5,13.463,32.054,291.1,415.4,288,411.1,-123.1,289.1,412.6,-123.5,8.149,2,-999,5,0.469,2,308.6,2
LAPUSH_125W_48N,47.968,-124.955,06/18/2021,18:17,245,2,2.42,414.1,2,2.3,1021.9,13.7,105.91,13.171,32.153,245.5,415,243.1,410.9,-167.8,244,412.5,-168.4,8.208,2,-999,5,0.503,2,329.4,2
LAPUSH_125W_48N,47.968,-124.955,06/18/2021,21:17,264.9,2,2.45,413.8,2,2.35,1021.9,13.5,104.45,13.317,32.17,265.6,414.8,262.9,410.6,-147.7,263.9,412.2,-148.3,8.188,2,-999,5,0.447,2,316.3,2
LAPUSH_125W_48N,47.968,-124.955,06/19/2021,00:17,269.6,2,2.58,413.7,2,2.42,1020.9,14,104.22,14.51,31.076,270.3,414.8,267,409.7,-142.7,268,411.2,-143.2,8.171,2,-999,5,0.567,2,305.8,2
