expocode: 316420150523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: LAPUSH_125W_48N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIs:  Sutton, A.; Newton, J.; Mickett, J.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
LAPUSH_125W_48N,47.967,-124.947,05/23/2015,21:17,224.7,2,1.29,402.3,2,1.26,1023.1,14.6,110.49,11.477,31.309,225,402.8,223.3,399.9,-176.5,224.2,401.4,-177.2,-999,5,-999,5,0.4,2,379.6,2
LAPUSH_125W_48N,47.967,-124.947,05/23/2015,21:47,211.4,2,1.34,402.5,2,1.29,1023.1,14.7,111.35,11.571,31.315,211.7,403,210.1,400.1,-190,210.9,401.6,-190.7,-999,5,-999,5,0.464,2,383.7,2
LAPUSH_125W_48N,47.967,-124.947,05/23/2015,22:17,207.3,2,1.33,402.5,2,1.28,1022.8,14.8,112.18,11.604,31.315,207.5,403.1,206,400,-194,206.8,401.5,-194.8,-999,5,-999,5,0.507,2,398.1,2
LAPUSH_125W_48N,47.967,-124.947,05/23/2015,22:47,221.4,2,1.36,402.8,2,1.3,1022.7,15,112.35,11.641,31.31,221.7,403.3,220,400.2,-180.2,220.8,401.7,-180.9,-999,5,-999,5,0.399,2,382.3,2
LAPUSH_125W_48N,47.967,-124.947,05/24/2015,00:17,194.2,2,1.84,402.6,2,1.8,1022.5,14.4,113.22,11.638,31.307,194.6,403.3,193,400.1,-207.1,193.8,401.6,-207.9,-999,5,-999,5,0.514,2,401,2
LAPUSH_125W_48N,47.967,-124.947,05/24/2015,03:17,201.2,2,1.77,402.1,2,1.76,1022.2,13.7,113.33,11.377,31.274,201.5,402.8,199.9,399.6,-199.7,200.7,401.1,-200.4,-999,5,-999,5,0.428,2,397.2,2
LAPUSH_125W_48N,47.967,-124.947,05/24/2015,06:17,210.7,2,1.72,402,2,1.72,1022.7,13.2,113.33,11.22,31.279,211,402.7,209.5,399.7,-190.2,210.3,401.2,-190.9,-999,5,1.626,2,0.419,2,389.7,2
LAPUSH_125W_48N,47.967,-124.947,05/24/2015,09:17,215.3,2,1.67,402.7,2,1.66,1022.4,12.9,113.18,11.185,31.269,215.6,403.4,214,400.3,-186.4,214.8,401.9,-187.1,-999,5,2.072,2,0.477,2,385,2
LAPUSH_125W_48N,47.967,-124.947,05/24/2015,12:17,255.3,2,1.65,402.9,2,1.63,1021.8,12.6,112.59,10.71,31.405,255.7,403.5,253.7,400.4,-146.7,254.7,401.9,-147.2,8.145,2,-999,5,0.749,2,378,2
LAPUSH_125W_48N,47.967,-124.947,05/24/2015,15:17,264.9,2,1.64,402.4,2,1.62,1021.8,12.4,111.77,10.589,31.438,265.4,403.1,263.3,399.9,-136.6,264.3,401.5,-137.1,8.176,2,-999,5,0.694,2,360,2
LAPUSH_125W_48N,47.967,-124.947,05/24/2015,18:17,248.4,2,1.72,402.2,2,1.69,1021.2,12.2,111.62,10.791,31.364,248.9,402.9,246.7,399.5,-152.7,247.7,401,-153.3,8.226,2,-999,5,0.649,2,375.3,2
LAPUSH_125W_48N,47.967,-124.947,05/24/2015,21:17,253.9,2,1.84,402.1,2,1.8,1019.9,12.6,111.32,11.334,31.319,254.3,402.8,251.7,398.7,-146.9,252.7,400.2,-147.5,8.211,2,-999,5,0.472,2,365.4,2
LAPUSH_125W_48N,47.967,-124.947,05/25/2015,00:17,221.6,2,1.84,402.5,2,1.8,1018.3,12.9,111.66,11.646,31.337,222,403.2,219.3,398.4,-179.1,220.1,399.9,-179.7,8.245,2,-999,5,0.555,2,382.1,2
LAPUSH_125W_48N,47.967,-124.947,05/25/2015,03:17,216.9,2,1.78,402.2,2,1.76,1017.3,12.8,111.85,11.654,31.296,217.3,402.9,214.5,397.6,-183.2,215.3,399.2,-183.9,8.242,2,-999,5,0.523,2,380.8,2
LAPUSH_125W_48N,47.967,-124.947,05/25/2015,06:17,227.9,2,1.73,400.1,2,1.71,1017.3,12.6,111.45,11.379,31.294,228.3,400.8,225.4,395.7,-170.3,226.3,397.2,-171,8.246,2,2.4,2,0.517,2,363.8,2
LAPUSH_125W_48N,47.967,-124.947,05/25/2015,09:17,224.8,2,1.73,401.3,2,1.71,1016.4,12.4,111.35,11.341,31.249,225.2,402,222.1,396.5,-174.4,222.9,398,-175.1,8.201,2,2.073,2,0.513,2,371.4,2
LAPUSH_125W_48N,47.967,-124.947,05/25/2015,12:17,235.8,2,1.71,403.2,2,1.69,1015.9,12.3,111.07,11.217,31.259,236.2,403.9,232.9,398.2,-165.3,233.8,399.7,-166,8.186,2,-999,5,0.538,2,364.3,2
LAPUSH_125W_48N,47.967,-124.947,05/25/2015,15:17,232.5,2,1.74,402.8,2,1.71,1015.7,12.2,110.71,11.308,31.268,232.9,403.5,229.5,397.8,-168.2,230.4,399.3,-168.9,8.182,2,-999,5,0.539,2,359,2
LAPUSH_125W_48N,47.967,-124.947,05/25/2015,18:17,235.8,2,1.79,401.5,2,1.77,1016.1,12.3,109.51,11.757,31.414,236.2,402.3,232.8,396.5,-163.7,233.7,398,-164.3,8.191,2,-999,5,0.409,2,322.1,2
LAPUSH_125W_48N,47.967,-124.947,05/25/2015,21:17,225.8,2,1.91,401.8,2,1.86,1016.9,12.5,109.54,11.582,31.293,226.2,402.5,223.2,397.1,-173.9,224.1,398.6,-174.6,8.206,2,-999,5,0.487,2,356.9,2
LAPUSH_125W_48N,47.967,-124.947,05/26/2015,00:17,228.4,2,1.96,401.4,2,1.88,1016.5,13,109.09,11.993,31.394,228.9,402.2,225.6,396.5,-170.9,226.5,398,-171.5,8.208,2,-999,5,0.434,2,340.4,2
LAPUSH_125W_48N,47.967,-124.947,05/26/2015,03:17,220.3,2,1.88,401.6,2,1.81,1016.4,13,108.74,12.232,31.44,220.8,402.3,217.6,396.5,-179,218.4,398,-179.6,8.221,2,-999,5,0.394,2,338.8,2
LAPUSH_125W_48N,47.967,-124.947,05/26/2015,06:17,227.6,2,1.84,401.5,2,1.78,1016.9,12.9,109.05,11.647,31.407,228.1,402.3,225,396.8,-171.9,225.8,398.4,-172.5,8.204,2,0.865,2,0.395,2,361.8,2
LAPUSH_125W_48N,47.967,-124.947,05/26/2015,09:17,235,2,1.81,400.8,2,1.74,1017.2,12.7,109.47,11.443,31.401,235.4,401.5,232.3,396.3,-164,233.2,397.8,-164.6,8.197,2,0.962,2,0.397,2,370.5,2
LAPUSH_125W_48N,47.967,-124.947,05/26/2015,12:17,222.6,2,1.81,401,2,1.75,1017.4,12.5,109.53,11.752,31.405,223,401.7,220.1,396.5,-176.4,220.9,398,-177.1,8.209,2,-999,5,0.406,2,358.7,2
