expocode: 316420131004
vessel name: LAPUSH_125W_48N
PIs:  Sutton, A.; Mickett, J.; Newton, J.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/04/2013,03:17,347.2,2,1.61,398.4,2,1.57,1031.1,14.4,100.12,13.488,31.773,347.7,399.1,347.3,398.6,-51.3,348.6,400.1,-51.5,-999,5,-999,5,0.124,2,238.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/04/2013,06:17,350.8,2,1.65,396.3,2,1.60,1031.5,13.9,100.08,13.515,31.852,351.3,396.9,351.1,396.6,-45.5,352.4,398.1,-45.7,-999,5,1.313,2,0.124,2,237.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/04/2013,09:17,353.7,2,1.59,402.5,2,1.56,1031.8,13.6,99.91,13.443,31.916,354.3,403.2,354.1,403.0,-48.9,355.5,404.5,-49.1,-999,5,1.250,2,0.136,2,236.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/04/2013,12:17,359.0,2,1.54,403.1,2,1.50,1031.6,13.3,99.61,13.479,31.937,359.6,403.7,359.4,403.5,-44.1,360.7,405.0,-44.3,-999,5,-999,5,0.148,2,231.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/04/2013,15:17,359.2,2,1.57,403.9,2,1.52,1031.6,13.1,99.43,13.383,31.930,359.8,404.5,359.6,404.3,-44.7,361.0,405.8,-44.9,-999,5,-999,5,0.144,2,233.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/04/2013,18:17,354.9,2,1.70,396.6,2,1.64,1031.8,13.1,99.43,13.410,31.949,355.5,397.2,355.4,397.1,-41.7,356.7,398.5,-41.8,-999,5,-999,5,0.108,2,235.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/04/2013,21:17,350.4,2,1.80,397.4,2,1.74,1030.8,13.5,99.59,13.534,31.966,351.0,398.1,350.5,397.5,-47.0,351.8,399.0,-47.1,-999,5,-999,5,0.140,2,238.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/05/2013,00:17,344.8,2,1.95,396.2,2,1.90,1029.5,14.0,99.85,13.698,31.987,345.5,397.0,344.5,395.8,-51.3,345.8,397.3,-51.5,8.093,2,-999,5,0.160,2,239.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/05/2013,03:17,351.2,2,1.76,401.8,2,1.72,1028.6,14.2,99.88,13.603,31.950,351.8,402.5,350.5,401.0,-50.5,351.9,402.5,-50.7,8.091,2,-999,5,0.112,2,236.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPUSH_125W_48N,47.963,-124.954,10/05/2013,06:17,352.6,2,1.79,399.7,2,1.74,1028.0,14.1,99.85,13.558,31.965,353.3,400.4,351.8,398.7,-47.0,353.1,400.2,-47.1,8.096,2,1.515,2,0.164,2,235.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
