expocode: 316420181018
vessel name: LAPUSH_125W_48N
PIs:  Sutton_A.; Newton_J.; Manalang_D.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,00:47,316,2,2.72,425.9,2,2.54,1015.5,15.6,101.26,12.77,32.266,316.9,427,311.9,420.3,-108.4,313,421.9,-108.8,-999,5,-999,5,1.057,2,320.7,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,01:17,319.8,2,1.69,427.8,2,1.5,1015.4,16.1,102.3,12.561,32.279,320.3,428.5,315.3,421.8,-106.5,316.5,423.3,-106.9,-999,5,-999,5,1.011,2,319.9,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,01:47,325.6,2,1.39,426.7,2,1.22,1015.6,16.2,102.89,12.449,32.291,326,427.2,321,420.7,-99.7,322.2,422.3,-100,-999,5,-999,5,1.003,2,314.7,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,02:17,357.6,2,1.35,426.5,2,1.19,1015.7,16.2,102.82,12.499,32.331,358.1,427,352.6,420.5,-67.9,353.9,422.1,-68.2,-999,5,-999,5,0.972,2,303.5,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,02:47,361.9,2,1.38,426.6,2,1.21,1015.7,16.1,102.67,12.327,32.345,362.4,427.1,356.9,420.6,-63.7,358.3,422.2,-63.9,-999,5,-999,5,0.958,2,294,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,03:17,359.7,2,1.36,426.5,2,1.21,1015.8,16,102.51,12.354,32.342,360.2,427,354.8,420.6,-65.8,356.1,422.1,-66,-999,5,-999,5,0.963,2,290.7,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,03:47,346.7,2,1.37,427.6,2,1.22,1016.3,15.9,102.65,12.317,32.33,347.1,428.1,342.1,421.9,-79.8,343.4,423.5,-80.1,-999,5,-999,5,0.968,2,291.9,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,04:17,345.5,2,1.34,427.9,2,1.22,1016.4,15.8,102.85,12.47,32.315,346,428.5,341,422.2,-81.3,342.2,423.8,-81.6,-999,5,-999,5,0.967,2,296,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,06:17,352.1,2,1.58,425.7,2,1.49,1016.3,14.3,102.63,12.802,32.338,352.7,426.3,347.4,419.9,-72.5,348.7,421.5,-72.8,-999,5,1.321,2,0.969,2,286.8,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,09:17,345.6,2,1.59,421.1,2,1.51,1016.8,13.3,102.45,12.654,32.345,346.2,421.7,341.2,415.7,-74.4,342.5,417.2,-74.7,-999,5,1.591,2,0.977,2,288.1,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,12:17,350.3,2,1.65,421,2,1.57,1017.4,12.8,102.18,12.455,32.351,350.8,421.7,346.1,415.9,-69.9,347.4,417.5,-70.1,-999,5,-999,5,0.98,2,285.4,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,15:17,340.9,2,1.71,413.1,2,1.63,1017.6,12.7,102.1,12.572,32.352,341.5,413.8,336.9,408.2,-71.3,338.2,409.8,-71.6,-999,5,-999,5,0.988,2,287.1,2
LAPUSH_125W_48N,47.964,-124.958,10/18/2018,18:17,351.4,2,2.07,410.7,2,1.94,1019.3,13,101.95,12.441,32.355,352.1,411.5,348,406.6,-58.6,349.3,408.1,-58.8,-999,5,-999,5,0.969,2,286.3,2
