"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"M2_164W_57N","56.869","-164.061","05/06/2013","06:17","201.5","2","0.77","404.3","2","0.76","1027.2","2.9","111.74","-0.579","31.490","201.7","404.6","202.4","406.1","-203.7","203.3","407.9","-204.6"
"M2_164W_57N","56.869","-164.061","05/06/2013","09:17","203.1","2","1.07","404.8","2","1.11","1027.8","1.9","111.64","-0.577","31.481","203.3","405.3","204.2","406.9","-202.8","205.1","408.8","-203.7"
"M2_164W_57N","56.869","-164.061","05/06/2013","12:17","201.5","2","1.77","405.1","2","1.88","1026.9","1.3","111.81","-0.596","31.501","201.9","405.9","202.5","407.3","-204.7","203.4","409.1","-205.6"
"M2_164W_57N","56.869","-164.061","05/06/2013","15:17","217.6","2","7.23","403.6","2","7.70","1026.6","0.9","111.22","-0.621","31.509","219.2","406.7","219.8","407.9","-188.1","220.8","409.8","-189.0"
"M2_164W_57N","56.869","-164.061","05/06/2013","18:17","233.3","2","2.00","404.2","2","2.03","1026.6","0.8","110.57","-0.729","31.469","233.8","405.0","234.5","406.2","-171.8","235.6","408.1","-172.5"
"M2_164W_57N","56.869","-164.061","05/06/2013","21:17","235.8","2","1.10","403.7","2","1.26","1026.6","1.1","110.16","-0.702","31.476","236.0","404.2","236.8","405.4","-168.6","237.8","407.2","-169.4"
"M2_164W_57N","56.869","-164.061","05/07/2013","00:17","203.1","2","0.71","403.3","2","0.76","1026.1","1.6","110.78","-0.304","31.501","203.2","403.6","203.7","404.5","-200.9","204.6","406.4","-201.8"
"M2_164W_57N","56.869","-164.061","05/07/2013","03:17","187.6","2","0.78","403.0","2","0.80","1025.3","2.1","111.61","-0.267","31.513","187.8","403.3","188.1","404.0","-215.9","188.9","405.8","-216.9"
"M2_164W_57N","56.869","-164.061","05/07/2013","06:17","218.4","2","0.92","403.5","2","0.97","1025.4","2.2","111.39","-0.512","31.495","218.6","403.9","219.0","404.6","-185.6","220.0","406.4","-186.4"
"M2_164W_57N","56.869","-164.061","05/07/2013","09:17","231.7","2","1.16","403.0","2","1.23","1025.8","1.7","110.73","-0.685","31.481","232.0","403.5","232.5","404.4","-171.9","233.5","406.2","-172.7"
"M2_164W_57N","56.869","-164.061","05/07/2013","12:17","240.0","2","1.36","402.3","2","1.53","1025.4","1.4","110.01","-0.736","31.480","240.3","402.9","240.8","403.7","-162.9","241.9","405.5","-163.7"
"M2_164W_57N","56.869","-164.061","05/07/2013","15:17","210.3","2","1.96","402.8","2","2.11","1025.4","1.1","110.12","-0.589","31.506","210.7","403.7","211.1","404.4","-193.3","212.0","406.2","-194.2"
"M2_164W_57N","56.869","-164.061","05/07/2013","18:17","246.7","2","2.32","403.4","2","2.75","1026.0","0.9","109.63","-0.725","31.492","247.3","404.5","247.9","405.5","-157.6","249.0","407.3","-158.3"
"M2_164W_57N","56.869","-164.061","05/07/2013","21:17","256.8","2","1.17","402.7","2","1.34","1026.9","1.0","108.91","-0.805","31.470","257.1","403.2","258.0","404.6","-146.6","259.2","406.4","-147.2"
"M2_164W_57N","56.869","-164.061","05/08/2013","00:17","234.8","2","0.89","402.9","2","1.01","1026.7","1.3","108.96","-0.693","31.479","235.0","403.3","235.7","404.5","-168.8","236.8","406.3","-169.6"
"M2_164W_57N","56.869","-164.061","05/08/2013","03:17","231.4","2","0.93","403.5","2","1.03","1026.6","1.5","108.97","-0.683","31.497","231.6","403.9","232.3","405.1","-172.8","233.4","406.9","-173.5"
"M2_164W_57N","56.869","-164.061","05/08/2013","06:17","234.1","2","1.21","404.1","2","1.35","1026.9","1.4","108.91","-0.691","31.503","234.4","404.6","235.2","405.9","-170.7","236.3","407.8","-171.5"
"M2_164W_57N","56.869","-164.061","05/08/2013","09:17","260.1","2","1.96","404.7","2","2.28","1027.6","1.1","108.46","-0.787","31.467","260.6","405.7","261.6","407.3","-145.7","262.8","409.2","-146.3"
"M2_164W_57N","56.869","-164.061","05/08/2013","12:17","268.5","2","8.92","404.4","2","9.78","1027.0","0.8","107.93","-0.810","31.466","270.9","408.4","271.9","409.8","-137.9","273.1","411.7","-138.6"
"M2_164W_57N","56.869","-164.061","05/08/2013","15:17","240.5","3","-5.87","403.9","3","-8.49","1026.6","0.6","107.91","-0.735","31.491","239.1","400.5","239.8","401.7","-161.9","240.9","403.5","-162.6"
"M2_164W_57N","56.869","-164.061","05/08/2013","18:17","236.1","2","-2.30","404.6","2","-3.49","1026.3","0.5","107.92","-0.710","31.502","235.5","403.2","236.2","404.3","-168.2","237.2","406.2","-168.9"
"M2_164W_57N","56.869","-164.061","05/08/2013","21:17","266.9","2","0.80","403.2","2","0.94","1026.1","0.8","107.69","-0.765","31.466","267.1","403.6","267.8","404.6","-136.8","269.0","406.4","-137.4"
"M2_164W_57N","56.869","-164.061","05/09/2013","00:17","239.4","2","0.80","403.3","2","0.88","1025.0","1.4","108.20","-0.607","31.478","239.6","403.6","239.9","404.2","-164.3","241.0","406.0","-165.0"
"M2_164W_57N","56.869","-164.061","05/09/2013","03:17","239.3","2","0.84","403.3","2","0.91","1024.3","1.7","108.33","-0.651","31.479","239.5","403.6","239.7","404.0","-164.2","240.8","405.8","-165.0"
"M2_164W_57N","56.869","-164.061","05/09/2013","06:17","235.1","2","0.95","403.4","2","1.02","1024.2","1.8","108.58","-0.637","31.489","235.4","403.8","235.5","404.1","-168.5","236.6","405.9","-169.3"
"M2_164W_57N","56.869","-164.061","05/09/2013","09:17","266.2","2","1.06","404.1","2","1.16","1024.4","1.6","108.17","-0.732","31.466","266.5","404.5","266.7","404.9","-138.1","267.9","406.7","-138.8"
