expocode: 316420150501,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: M2,,,,,,,,,,,,,,,,,,,,,,,,,
"Pis: Cross, J.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
M2_164W_57N,56.867,-164.046,5/1/15,6:47:00,389.1,2,0.65,408.3,2,0.59,1014.6,8.6,100.95,3.814,31.907,389.3,408.6,385.2,404.3,-19.1,386.8,406,-19.1,-999,5
M2_164W_57N,56.867,-164.046,5/1/15,7:17:00,386.7,2,0.56,408.3,2,0.5,1015,8.6,101.09,3.779,31.899,386.9,408.5,382.9,404.3,-21.4,384.5,406,-21.5,-999,5
M2_164W_57N,56.867,-164.046,5/1/15,7:47:00,385.7,2,0.56,408.4,2,0.49,1015.2,8.6,101.19,3.79,31.898,385.9,408.6,382,404.6,-22.5,383.7,406.3,-22.6,-999,5
M2_164W_57N,56.867,-164.046,5/1/15,8:17:00,386.3,2,0.55,408.4,2,0.49,1015.2,8.5,101.28,3.822,31.86,386.5,408.6,382.7,404.5,-21.9,384.3,406.2,-22,-999,5
M2_164W_57N,56.867,-164.046,5/1/15,9:17:00,388.1,2,0.62,408.8,2,0.57,1015.6,7.9,101.32,3.773,31.893,388.4,409.1,384.7,405.1,-20.5,386.3,406.8,-20.6,-999,5
M2_164W_57N,56.867,-164.046,5/1/15,12:17:00,387.3,2,0.77,408.5,2,0.73,1016.2,6.4,101.3,3.837,31.904,387.6,408.7,384.1,405,-20.9,385.7,406.7,-21,-999,5
M2_164W_57N,56.867,-164.046,5/1/15,15:17:00,386.5,2,0.79,408.2,2,0.74,1016.6,5.8,101.31,3.761,31.896,386.9,408.5,383.5,405,-21.5,385.2,406.7,-21.6,-999,5
M2_164W_57N,56.867,-164.046,5/1/15,18:17:00,386.2,2,0.83,408.7,2,0.78,1017.5,5.6,101.33,3.742,31.894,386.5,409,383.5,405.9,-22.4,385.1,407.6,-22.5,-999,5
M2_164W_57N,56.867,-164.046,5/1/15,21:17:00,374.9,2,0.93,408.5,2,0.87,1018.3,6.7,101.61,4.121,31.884,375.2,408.9,372.5,406,-33.4,374.1,407.7,-33.6,-999,5
M2_164W_57N,56.867,-164.046,5/2/15,0:17:00,388.9,2,1.03,408.6,2,0.97,1018.8,7.5,101.6,4,31.918,389.3,409,386.8,406.3,-19.5,388.4,408,-19.6,-999,5
M2_164W_57N,56.867,-164.046,5/2/15,3:17:00,397.4,2,1.14,408.3,2,1.08,1018.5,8.5,101.84,4.417,31.918,397.8,408.7,395,405.8,-10.8,396.7,407.5,-10.8,-999,5
M2_164W_57N,56.867,-164.046,5/2/15,6:17:00,386.4,2,0.99,408.4,2,0.93,1019.3,8.7,101.78,4.351,31.92,386.8,408.7,384.4,406.2,-21.8,386,407.9,-21.9,-999,5
M2_164W_57N,56.867,-164.046,5/2/15,9:17:00,378,2,0.89,408.7,2,0.84,1020.1,7.4,101.97,4.572,31.882,378.3,409.1,376.2,406.8,-30.6,377.8,408.5,-30.7,-999,5
M2_164W_57N,56.867,-164.046,5/2/15,12:17:00,372.6,2,0.84,408.9,2,0.79,1020.2,6.4,102.23,4.367,31.883,373,409.2,371,407,-36,372.5,408.7,-36.2,-999,5
M2_164W_57N,56.867,-164.046,5/2/15,15:17:00,386.5,2,0.8,408.9,2,0.75,1020.7,5.9,102,4.155,31.908,386.8,409.2,385,407.2,-22.2,386.6,408.9,-22.3,-999,5
M2_164W_57N,56.867,-164.046,5/2/15,18:17:00,371.1,2,0.84,408.6,2,0.78,1021.7,5.7,102.09,4.227,31.888,371.4,409,370,407.4,-37.4,371.5,409.1,-37.5,-999,5
M2_164W_57N,56.867,-164.046,5/2/15,21:17:00,371.6,2,0.93,408.8,2,0.87,1022.7,6,102.34,4.436,31.882,372,409.1,370.9,407.9,-37,372.4,409.6,-37.2,-999,5
M2_164W_57N,56.867,-164.046,5/3/15,0:17:00,386.7,2,1.01,408.5,2,0.95,1023.2,7.2,102.39,4.651,31.918,387.1,408.9,386.1,407.8,-21.8,387.7,409.5,-21.9,-999,5
M2_164W_57N,56.867,-164.046,5/3/15,3:17:00,383.9,2,1.06,408.3,2,1,1023.2,8.5,102.43,4.817,31.918,384.3,408.7,383.3,407.6,-24.3,384.9,409.3,-24.4,-999,5
M2_164W_57N,56.867,-164.046,5/3/15,6:17:00,384.2,2,1.01,408.4,2,0.93,1024,8,102.3,4.7,31.912,384.5,408.8,383.8,408,-24.2,385.4,409.7,-24.3,-999,5
M2_164W_57N,56.867,-164.046,5/3/15,9:17:00,376.8,2,0.83,408.6,2,0.78,1024.4,6.9,102.44,4.605,31.907,377.1,408.9,376.6,408.3,-31.8,378.2,410.1,-31.9,-999,5
M2_164W_57N,56.867,-164.046,5/3/15,12:17:00,369.1,2,0.78,408.3,2,0.73,1024.1,6,102.53,4.496,31.895,369.4,408.6,368.8,407.9,-39.1,370.4,409.6,-39.2,-999,5
M2_164W_57N,56.867,-164.046,5/3/15,15:17:00,378.1,2,0.75,408.1,2,0.7,1023.6,5.4,102.44,4.367,31.92,378.4,408.4,377.6,407.6,-30,379.2,409.3,-30.1,-999,5
M2_164W_57N,56.867,-164.046,5/3/15,18:17:00,374.6,2,0.86,408.2,2,0.8,1023.4,5.3,102.49,4.305,31.919,374.9,408.5,374.1,407.6,-33.5,375.7,409.3,-33.6,-999,5
M2_164W_57N,56.867,-164.046,5/3/15,21:17:00,376.8,2,0.86,408.4,2,0.79,1022.7,5.8,102.47,4.346,31.917,377.1,408.7,376.1,407.5,-31.5,377.6,409.2,-31.6,-999,5
M2_164W_57N,56.867,-164.046,5/4/15,0:17:00,373.5,2,0.85,408.3,2,0.79,1021.4,6.4,102.48,4.207,31.91,373.9,408.6,372.3,406.9,-34.6,373.9,408.6,-34.7,-999,5
M2_164W_57N,56.867,-164.046,5/4/15,3:17:00,377.3,2,0.86,408.2,2,0.79,1019.6,6.7,102.39,4.302,31.911,377.6,408.5,375.4,406.1,-30.7,376.9,407.8,-30.8,-999,5
