expocode: 316420180502
vessel name: M2_164W_57N
"Pis: Cross, J.; Monacci, N."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
M2_164W_57N,56.864,-164.065,5/2/18,1:17,416.8,2,1.02,419,2,0.95,1013.9,6.8,100.07,3.631,32.025,417.2,419.4,412.5,414.7,-2.2,414.3,416.5,-2.2,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,1:47,415.3,2,0.84,419,2,0.75,1013.6,7.2,100.21,3.673,32.024,415.6,419.3,410.9,414.5,-3.6,412.6,416.2,-3.6,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,2:17,413.3,2,0.77,418.8,2,0.67,1013.5,7.6,100.36,3.759,32.033,413.6,419,408.8,414.2,-5.3,410.5,415.9,-5.4,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,2:47,417.5,2,0.76,418.5,2,0.66,1013.3,7.9,100.4,3.673,32.021,417.8,418.8,412.9,413.9,-1,414.6,415.6,-1,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,3:17,417.9,2,0.7,417.9,2,0.61,1013.1,8.1,100.4,3.528,32.002,418.2,418.1,413.2,413.1,0.1,415,414.9,0.1,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,6:17,412,2,1.35,417.7,2,1.29,1012.4,6.9,100.49,3.842,32.049,412.6,418.2,407.4,412.9,-5.6,409.1,414.6,-5.6,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,9:17,416.9,2,1.37,418.1,2,1.33,1011.2,6.3,100.36,3.91,32.071,417.5,418.6,411.6,412.7,-1.1,413.4,414.5,-1.1,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,12:17,420.3,2,1.4,418,2,1.35,1009.4,5.9,100.34,3.893,32.072,420.9,418.5,414.3,412,2.3,416,413.7,2.3,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,15:17,419.6,2,1.39,417.8,2,1.35,1006.5,5.6,100.34,3.855,32.069,420.2,418.4,412.4,410.6,1.8,414.1,412.3,1.8,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,18:17,420.6,2,1.41,417.9,2,1.37,1003.9,5.5,100.39,3.831,32.068,421.2,418.4,412.3,409.6,2.7,414,411.3,2.7,-999,5
M2_164W_57N,56.864,-164.065,5/2/18,21:17,421.7,2,1.44,418,2,1.39,1001,5.5,100.42,3.823,32.066,422.3,418.6,412.2,408.5,3.6,413.9,410.2,3.6,-999,5
M2_164W_57N,56.864,-164.065,5/3/18,0:17,419.7,2,1.46,418.5,2,1.4,997.6,5.6,100.57,3.86,32.059,420.3,419.1,408.8,407.6,1.2,410.5,409.3,1.2,-999,5
M2_164W_57N,56.864,-164.065,5/3/18,3:17,415.2,2,1.39,418.2,2,1.33,993.9,5.6,100.76,3.829,32.036,415.7,418.8,402.9,405.9,-2.9,404.6,407.5,-2.9,-999,5
M2_164W_57N,56.864,-164.065,5/3/18,6:17,412.5,2,1.34,418.3,2,1.29,991.8,5.3,100.89,3.863,32.027,413.1,418.9,399.5,405.1,-5.6,401.1,406.7,-5.6,-999,5
M2_164W_57N,56.864,-164.065,5/3/18,9:17,421.3,2,1.32,418.5,2,1.27,990.9,5,100.88,3.866,32.036,421.9,419,407.6,404.9,2.8,409.3,406.5,2.8,-999,5
M2_164W_57N,56.864,-164.065,5/3/18,12:17,428.6,2,1.3,418.9,2,1.25,990.5,4.8,100.79,3.824,32.046,429.1,419.4,414.5,405.1,9.4,416.2,406.7,9.4,-999,5
M2_164W_57N,56.864,-164.065,5/3/18,15:17,429.4,2,1.32,418.5,2,1.28,989.6,4.7,100.77,3.813,32.052,430,419,414.9,404.3,10.6,416.6,406,10.6,-999,5
M2_164W_57N,56.864,-164.065,5/3/18,18:17,428.8,2,1.37,418.6,2,1.32,988.6,4.7,100.77,3.794,32.056,429.4,419.2,413.9,404.1,9.8,415.6,405.7,9.9,-999,5
M2_164W_57N,56.864,-164.065,5/3/18,21:17,415.4,3,1.41,405.7,3,1.35,987.3,4.9,100.85,3.85,32.056,416,406.2,400.4,391,9.4,402.1,392.6,9.4,-999,5
M2_164W_57N,56.864,-164.065,5/4/18,0:17,430,2,1.6,419.1,2,1.51,985.5,5.3,101.02,4.042,32.055,430.7,419.8,413.8,403.3,10.5,415.5,405,10.6,-999,5
M2_164W_57N,56.864,-164.065,5/4/18,3:17,431.3,2,1.69,419,2,1.58,983,6.3,101.23,4.285,32.052,432.1,419.7,414,402.1,11.9,415.7,403.7,11.9,-999,5
M2_164W_57N,56.864,-164.065,5/4/18,6:17,428.9,2,1.48,418.9,2,1.41,980.7,6.7,101.24,4.433,32.048,429.6,419.5,410.6,401,9.7,412.3,402.6,9.7,-999,5
M2_164W_57N,56.864,-164.065,5/4/18,9:17,429.2,2,1.41,419.4,2,1.35,979.1,6,101.31,4.24,32.057,429.8,420,410.2,400.8,9.4,411.9,402.5,9.4,-999,5
M2_164W_57N,56.864,-164.065,5/4/18,12:17,433.9,2,1.32,419.2,2,1.27,977.7,5.4,101.29,4.071,32.054,434.4,419.7,414.1,400.1,14,415.7,401.7,14.1,-999,5
M2_164W_57N,56.864,-164.065,5/4/18,15:17,432.7,2,1.35,418.4,2,1.3,977.1,4.9,101.29,3.993,32.054,433.2,418.9,412.7,399.1,13.7,414.4,400.7,13.7,-999,5
M2_164W_57N,56.864,-164.065,5/4/18,18:17,428,2,1.33,419.3,2,1.28,977.9,4.7,101.36,3.958,32.056,428.5,419.9,408.6,400.3,8.3,410.2,401.9,8.3,-999,5
M2_164W_57N,56.864,-164.065,5/4/18,21:17,426.4,2,1.38,419.8,2,1.32,979.1,4.7,101.38,3.956,32.057,426.9,420.3,407.6,401.3,6.3,409.2,402.9,6.3,-999,5
M2_164W_57N,56.864,-164.065,5/5/18,0:17,424.3,2,1.31,418.9,2,1.27,981.2,4.7,101.38,3.912,32.058,424.9,419.5,406.5,401.3,5.2,408.1,402.9,5.2,-999,5
M2_164W_57N,56.864,-164.065,5/5/18,3:17,422.4,2,1.25,418.8,2,1.2,983.7,4.5,101.03,3.774,32.05,423,419.3,405.7,402.2,3.5,407.3,403.8,3.5,-999,5
M2_164W_57N,56.864,-164.065,5/5/18,6:17,425.5,2,1.24,418.7,2,1.2,986.1,4.3,100.77,3.576,32.018,426,419.2,409.7,403.1,6.6,411.3,404.7,6.6,-999,5
M2_164W_57N,56.864,-164.065,5/5/18,9:17,423.3,2,1.24,418.7,2,1.19,989.5,4.2,100.49,3.752,32.056,423.8,419.2,408.9,404.5,4.4,410.6,406.2,4.4,-999,5
M2_164W_57N,56.864,-164.065,5/5/18,12:17,429.3,2,1.19,418,2,1.15,992.1,4,100.33,3.734,32.064,429.8,418.4,415.8,404.8,11,417.5,406.5,11,-999,5
M2_164W_57N,56.864,-164.065,5/5/18,15:17,430.4,2,1.16,418.6,2,1.12,993.9,3.8,100.23,3.721,32.064,430.9,419.1,417.6,406.1,11.5,419.3,407.8,11.5,-999,5
M2_164W_57N,56.864,-164.065,5/5/18,18:17,427.7,2,1.15,418.3,2,1.09,996.5,3.5,100.13,3.725,32.064,428.2,418.8,416,406.9,9.1,417.8,408.6,9.1,-999,5
M2_164W_57N,56.864,-164.065,5/5/18,21:17,428.1,2,1.22,419.3,2,1.16,998.6,3.6,100.08,3.742,32.065,428.7,419.8,417.4,408.8,8.6,419.1,410.5,8.7,-999,5
