expocode: 316420160827
vessel name: NH10_124W_44N
PIs: Sutton
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW (Total Scale),QF_pH
NH10_124W_44N,44.646,-124.3,8/27/2016,1:16,357.8,2,0.9,397.8,2,1.23,1012.6,16.7,101.05,10.227,32.926,358.2,398.3,352.3,391.7,-39.4,353.6,393.2,-39.6,8.086,2
NH10_124W_44N,44.646,-124.3,8/27/2016,1:46,360.1,2,0.73,397.5,2,1,1012.8,16.2,101.2,10.083,32.921,360.3,397.9,354.5,391.4,-36.9,355.9,393,-37.1,8.088,2
NH10_124W_44N,44.646,-124.3,8/27/2016,2:16,371.7,2,0.76,397.4,2,0.99,1012.8,15.8,100.91,9.902,32.937,372,397.8,366.1,391.4,-25.4,367.5,393,-25.5,8.082,2
NH10_124W_44N,44.646,-124.3,8/27/2016,2:46,383,2,0.8,397.4,2,1,1012.9,15.3,100.52,9.746,32.99,383.3,397.8,377.2,391.5,-14.3,378.7,393.1,-14.3,8.066,2
NH10_124W_44N,44.646,-124.3,8/27/2016,3:16,381.1,2,0.85,397.6,2,1.03,1013.4,14.9,100.31,9.729,33.03,381.5,398,375.6,391.9,-16.3,377.1,393.5,-16.4,8.069,2
NH10_124W_44N,44.646,-124.3,8/27/2016,3:46,380.6,2,0.9,397.6,2,1.06,1013.6,14.5,100.2,9.737,33.095,380.9,398,375.2,392,-16.8,376.6,393.5,-16.9,8.069,2
NH10_124W_44N,44.646,-124.3,8/27/2016,4:16,382,2,0.92,397.6,2,1.08,1013.9,14.3,100.1,9.76,33.162,382.3,398,376.6,392.1,-15.5,378.1,393.6,-15.5,8.072,2
NH10_124W_44N,44.646,-124.3,8/27/2016,4:46,384,2,0.93,397.6,2,1.08,1014.1,14,100.04,9.762,33.207,384.3,398,378.7,392.2,-13.5,380.1,393.7,-13.6,8.069,2
NH10_124W_44N,44.646,-124.3,8/27/2016,6:16,378.3,2,1.46,396,2,1.64,1014.3,12.7,100.15,9.781,33.167,378.9,396.7,373.4,391,-17.6,374.8,392.5,-17.6,8.074,2
NH10_124W_44N,44.646,-124.3,8/27/2016,9:16,342.6,2,1.6,394.7,2,1.79,1014.7,11.7,100.53,10.06,32.932,343.2,395.4,338.3,389.7,-51.4,339.6,391.2,-51.6,8.11,2
