Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,     pH_SW (Total Scale),QF_pH
NH10,44.648,-124.298,10/12/2014,23:17,350.8,2,2.54,405.5,2,2.27,1020.5,18.7,100.32,-999,-999,351.7,406.4,-999,-999,-999,-999,-999,-999,-999,5
NH10,44.648,-124.298,10/12/2014,23:47,346.4,2,2.31,402.2,2,2.08,1020.1,19.2,100.75,-999,-999,347.2,403.1,-999,-999,-999,-999,-999,-999,-999,5
NH10,44.648,-124.298,10/13/2014,0:17,351.2,2,2.26,404.7,2,2.03,1019.8,19.6,100.98,16.7,31.928,352,405.5,346.5,399.2,-52.7,347.7,400.6,-52.9,-999,5
NH10,44.648,-124.298,10/13/2014,0:47,343.7,2,2.27,402,2,2.06,1019.4,19.9,101.25,16.7,31.928,344.5,402.9,339,396.5,-57.5,340.2,397.9,-57.7,-999,5
NH10,44.648,-124.298,10/13/2014,1:17,351.2,2,2.25,405.3,2,2.04,1019,20,101.47,16.7,31.928,352,406.1,346.3,399.6,-53.3,347.5,401,-53.4,-999,5
NH10,44.648,-124.298,10/13/2014,1:47,346.2,2,2.23,404.8,2,2,1018.8,20,101.6,-999,-999,347,405.6,-999,-999,-999,-999,-999,-999,-999,5
NH10,44.648,-124.298,10/13/2014,2:17,344.1,2,2.23,403.9,2,2.01,1018.6,19.8,101.69,-999,-999,344.9,404.7,-999,-999,-999,-999,-999,-999,-999,5
NH10,44.648,-124.298,10/13/2014,3:17,338.1,2,2.95,402.8,2,2.72,1018.6,18.7,101.83,16.434,31.923,339.1,403.9,333.5,397.3,-63.8,334.7,398.7,-64,-999,5
NH10,44.648,-124.298,10/13/2014,6:17,347.2,2,3.29,411.3,2,3.08,1016.3,17.2,101.85,16.349,31.923,348.4,412.6,341.9,405,-63,343.1,406.4,-63.3,-999,5
NH10,44.648,-124.298,10/13/2014,9:17,338.6,2,3.2,409.3,2,2.99,1014.1,16.6,101.9,15.953,31.967,339.7,410.5,332.8,402.2,-69.4,334,403.7,-69.7,-999,5
NH10,44.648,-124.298,10/13/2014,12:17,341.1,2,3.11,417.4,2,2.91,1011.4,16.4,102.06,15.957,31.967,342.1,418.6,334.3,409,-74.7,335.5,410.5,-75,-999,5
NH10,44.648,-124.298,10/13/2014,15:17,339.6,2,3.28,410,2,3,1011.4,16.1,102.08,15.927,31.975,340.7,411.2,332.9,401.8,-68.9,334.1,403.2,-69.1,-999,5
NH10,44.648,-124.298,10/13/2014,18:17,406.1,2,3.38,415,2,3.1,1011,16.6,100.1,15.699,31.99,407.5,416.2,398.1,406.7,-8.5,399.5,408.1,-8.6,-999,5
NH10,44.648,-124.298,10/13/2014,21:17,394.1,2,3.4,403.9,2,3.02,1009.8,16.7,99.98,15.729,32.014,395.4,405.1,385.9,395.3,-9.5,387.2,396.8,-9.5,-999,5
NH10,44.648,-124.298,10/14/2014,0:17,384.6,2,3.23,398.2,2,2.82,1008.4,16.6,99.97,15.63,32.016,385.8,399.4,376,389.2,-13.2,377.3,390.6,-13.2,-999,5
NH10,44.648,-124.298,10/14/2014,3:17,387.4,2,3.39,399,2,2.95,1007.9,16.7,99.97,15.761,31.945,388.7,400.1,378.6,389.7,-11.1,379.9,391.1,-11.2,-999,5
NH10,44.648,-124.298,10/14/2014,6:17,361.4,2,3.23,398.9,2,2.83,1010.6,16.6,99.97,15.649,31.919,362.5,400.1,354.1,390.7,-36.7,355.3,392.1,-36.8,-999,5
NH10,44.648,-124.298,10/14/2014,9:17,355.3,2,3.07,400.8,2,2.69,1010.5,16.4,99.87,15.48,31.913,356.4,401.9,348.1,392.5,-44.5,349.3,393.9,-44.6,-999,5
NH10,44.648,-124.298,10/14/2014,12:17,394.9,2,3.29,405.1,2,2.93,1009.9,16.3,99.98,15.639,31.926,396.2,406.3,386.7,396.5,-9.8,388.1,397.9,-9.9,-999,5
NH10,44.648,-124.298,10/14/2014,15:17,392.8,2,3.34,403.8,2,2.99,1009.9,16.5,99.98,15.648,31.948,394.1,405,384.6,395.2,-10.6,386,396.6,-10.6,-999,5
NH10,44.648,-124.298,10/14/2014,18:17,390.3,2,3.41,409,2,3.08,1007.8,16.4,100.04,15.356,32.017,391.7,410.2,381.6,399.7,-18.1,383,401.1,-18.1,-999,5
NH10,44.648,-124.298,10/14/2014,21:17,342.5,2,3.37,407,2,3.04,1005.1,16.2,100.55,15.207,31.999,343.7,408.2,334,396.7,-62.7,335.2,398.1,-63,-999,5
NH10,44.648,-124.298,10/14/2014,23:17,348.8,2,3.16,405.6,2,2.86,1003.1,16.3,100.85,-999,-999,349.9,406.8,-999,-999,-999,-999,-999,-999,-999,5
NH10,44.648,-124.298,10/14/2014,23:47,347.7,2,2.13,404.7,2,1.82,1002.7,16.8,101.11,-999,-999,348.4,405.4,-999,-999,-999,-999,-999,-999,-999,5
