expocode: 316420151004
vessel name: NH10_124W_44N
PIs: Sutton A.; Hales B.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
NH10_124W_44N,44.642,-124.300,10/04/2015,00:47,-999,4,2.64,401.8,2,2.63,1012.8,16.0,100.17,12.067,32.907,-999,402.9,-999,395.7,-999,-999,397.2,-999,-999,4
NH10_124W_44N,44.642,-124.300,10/04/2015,01:17,316.4,2,1.92,404.0,2,1.85,1013.1,16.1,101.45,12.093,32.898,317.0,404.7,311.4,397.6,-86.2,312.6,399.1,-86.5,-999,4
NH10_124W_44N,44.642,-124.300,10/04/2015,01:47,316.9,2,1.83,404.6,2,1.74,1013.3,16.0,102.61,12.101,32.897,317.5,405.3,312.0,398.2,-86.2,313.2,399.7,-86.6,-999,4
NH10_124W_44N,44.642,-124.300,10/04/2015,02:17,317.5,2,1.84,404.0,2,1.72,1013.2,16.0,103.20,12.118,32.887,318.1,404.6,312.6,397.6,-85.0,313.7,399.1,-85.3,-999,4
NH10_124W_44N,44.642,-124.300,10/04/2015,02:47,321.7,2,1.86,402.4,2,1.71,1013.0,15.9,103.36,12.570,32.692,322.3,403.1,316.5,395.9,-79.3,317.7,397.3,-79.6,-999,4
NH10_124W_44N,44.642,-124.300,10/04/2015,03:17,381.4,2,1.91,401.9,2,1.69,1012.9,15.9,100.20,12.753,32.639,382.1,402.6,375.1,395.2,-20.1,376.5,396.7,-20.2,-999,4
NH10_124W_44N,44.642,-124.300,10/04/2015,03:47,387.4,2,1.93,401.6,2,1.70,1012.9,15.9,99.95,12.856,32.601,388.2,402.3,381.0,394.9,-13.9,382.4,396.4,-14.0,-999,4
NH10_124W_44N,44.642,-124.300,10/04/2015,04:17,385.2,2,1.94,401.7,2,1.70,1012.9,15.9,99.88,12.821,32.611,386.0,402.3,378.9,395.0,-16.1,380.3,396.4,-16.1,-999,4
NH10_124W_44N,44.642,-124.300,10/04/2015,06:17,383.0,2,2.59,400.2,2,2.37,1012.5,14.7,100.00,12.579,32.679,384.0,401.2,376.8,393.7,-16.9,378.2,395.2,-16.9,-999,4
NH10_124W_44N,44.642,-124.300,10/04/2015,09:17,-999,4,2.56,403.4,2,2.36,1012.2,13.9,99.98,12.476,32.677,-999,404.4,-999,396.8,-999,-999,398.3,-999,-999,4
