expocode: 316420070608
vessel name: Papa_145W_50N
PIs: Sabine C.; Cronin M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH SW,pH QF
PAPA_145W_50N,50.120,-144.832,06/08/2007,00:34,369.5,2,2.32,385.5,2,2.35,1009.4,9.4,100.34,7.041,32.499,370.4,386.4,363.9,379.7,-15.7,365.4,381.2,-15.8,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,01:04,370.4,2,1.90,386.3,2,1.92,1009.1,10.0,100.59,7.058,32.508,371.1,387.0,364.5,380.2,-15.7,366.0,381.6,-15.7,8.086,2
PAPA_145W_50N,50.120,-144.832,06/08/2007,01:34,370.6,2,1.80,386.5,2,1.83,1008.9,10.3,100.73,7.054,32.508,371.2,387.2,364.6,380.3,-15.7,366.0,381.8,-15.8,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,02:04,370.8,2,1.83,386.7,2,1.86,1008.8,10.6,100.83,7.073,32.516,371.5,387.4,364.8,380.4,-15.6,366.2,381.9,-15.7,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,02:34,371.0,2,1.85,386.9,2,1.87,1008.7,10.7,100.98,7.066,32.516,371.7,387.6,364.9,380.6,-15.7,366.4,382.1,-15.7,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,03:04,371.1,2,1.86,387.2,2,1.89,1008.6,10.9,101.03,7.085,32.525,371.8,388.0,365.0,380.9,-15.9,366.5,382.4,-16.0,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,03:34,370.9,2,1.74,387.4,2,1.76,1008.6,11.0,101.12,7.081,32.525,371.6,388.1,364.8,381.0,-16.2,366.3,382.5,-16.3,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,04:04,371.0,2,1.75,387.4,2,1.77,1008.4,11.1,101.17,7.068,32.532,371.7,388.1,364.8,380.9,-16.1,366.3,382.5,-16.2,8.084,2
PAPA_145W_50N,50.120,-144.832,06/08/2007,04:34,371.6,2,1.75,387.5,2,1.78,1008.2,11.1,101.22,7.080,32.532,372.2,388.2,365.3,380.9,-15.6,366.7,382.5,-15.8,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,05:04,371.2,2,1.76,387.6,2,1.79,1008.1,11.2,101.17,7.063,32.539,371.9,388.3,364.9,381.0,-16.1,366.4,382.5,-16.2,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,05:35,371.5,2,1.77,387.6,2,1.79,1008.2,11.3,101.27,7.067,32.539,372.1,388.3,365.2,381.0,-15.8,366.6,382.6,-16.0,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,06:04,371.9,2,1.77,387.7,2,1.80,1008.3,11.3,101.27,7.061,32.544,372.5,388.4,365.6,381.2,-15.6,367.1,382.7,-15.7,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,06:34,371.7,2,1.78,387.7,2,1.80,1008.3,11.3,101.27,7.056,32.544,372.4,388.4,365.5,381.2,-15.7,367.0,382.7,-15.8,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,07:04,371.8,2,1.78,387.7,2,1.80,1008.3,11.3,101.32,7.053,32.548,372.4,388.4,365.5,381.2,-15.7,367.0,382.7,-15.8,8.085,2
PAPA_145W_50N,50.120,-144.832,06/08/2007,07:34,372.2,2,1.78,387.7,2,1.81,1008.2,11.4,101.32,7.053,32.548,372.8,388.4,365.9,381.1,-15.2,367.3,382.7,-15.4,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,08:04,371.9,2,1.78,387.5,2,1.81,1008.2,11.4,101.27,7.051,32.551,372.6,388.2,365.6,381.0,-15.4,367.1,382.5,-15.4,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,08:34,372.3,2,1.78,387.5,2,1.81,1008.1,11.4,101.27,7.048,32.551,372.9,388.2,365.9,380.9,-15.0,367.4,382.4,-15.1,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,09:04,372.4,2,1.78,387.4,2,1.81,1007.9,11.4,101.27,7.044,32.552,373.0,388.1,366.0,380.8,-14.8,367.4,382.3,-14.9,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,09:34,372.8,2,1.79,387.6,2,1.81,1007.4,11.4,101.27,7.046,32.552,373.4,388.3,366.2,380.8,-14.6,367.6,382.3,-14.7,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,10:04,373.0,2,1.79,387.7,2,1.81,1007.2,11.4,101.22,7.042,32.554,373.6,388.4,366.3,380.8,-14.5,367.7,382.3,-14.6,8.084,2
PAPA_145W_50N,50.120,-144.832,06/08/2007,10:34,373.0,2,1.79,387.6,2,1.82,1006.9,11.4,101.27,7.039,32.554,373.7,388.3,366.2,380.6,-14.3,367.7,382.1,-14.4,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,11:04,373.0,2,1.79,387.5,2,1.82,1006.8,11.4,101.27,7.038,32.556,373.6,388.2,366.2,380.5,-14.3,367.6,382.0,-14.4,-999,5
PAPA_145W_50N,50.120,-144.832,06/08/2007,12:16,372.8,2,2.10,386.9,2,2.14,1006.6,10.6,101.27,7.034,32.558,373.5,387.7,366.0,379.9,-13.9,367.4,381.4,-14.0,8.085,2
PAPA_145W_50N,50.120,-144.832,06/08/2007,15:16,372.4,2,2.24,386.3,2,2.28,1005.6,9.7,101.22,7.042,32.561,373.3,387.2,365.4,379.0,-13.6,366.8,380.5,-13.7,8.083,2
PAPA_145W_50N,50.120,-144.832,06/08/2007,18:16,373.0,2,2.33,386.3,2,2.36,1003.9,9.4,101.28,7.082,32.563,373.9,387.2,365.3,378.4,-13.0,366.8,379.8,-13.0,8.083,2
PAPA_145W_50N,50.120,-144.832,06/08/2007,21:16,374.0,2,2.44,386.3,2,2.48,1000.8,9.2,101.28,7.127,32.565,374.9,387.2,365.2,377.2,-12.0,366.6,378.7,-12.0,8.083,2
PAPA_145W_50N,50.120,-144.832,06/09/2007,00:16,374.9,2,2.32,386.5,2,2.48,997.6,9.2,101.39,7.091,32.568,375.7,387.4,364.8,376.2,-11.4,366.2,377.6,-11.4,8.084,2
PAPA_145W_50N,50.120,-144.832,06/09/2007,03:16,375.8,2,2.32,386.3,2,2.36,993.2,9.1,101.44,7.096,32.556,376.6,387.2,364.1,374.3,-10.2,365.5,375.8,-10.3,8.084,2
PAPA_145W_50N,50.120,-144.832,06/09/2007,06:16,377.2,2,2.32,386.2,2,2.36,990.7,9.1,101.41,7.084,32.561,378.0,387.1,364.5,373.3,-8.8,365.9,374.7,-8.8,8.083,2
PAPA_145W_50N,50.120,-144.832,06/09/2007,09:16,377.6,2,2.31,386.4,2,2.34,991.1,9.0,101.41,7.069,32.565,378.5,387.3,365.1,373.6,-8.5,366.5,375.1,-8.5,8.082,2
PAPA_145W_50N,50.120,-144.832,06/09/2007,12:16,376.6,2,2.29,386.7,2,2.33,993.5,8.9,101.41,7.069,32.563,377.4,387.6,365.0,374.8,-9.8,366.4,376.3,-9.9,8.083,2
