expocode: 316420080611
vessel name: Papa_145W_50N
PIs: Sutton A.;Emerson S. Cronin M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH SW,pH QF
PAPA_145W_50N,50.130,-144.840,06/11/2008,16:34,376.1,2,2.71,387.0,2,2.76,1025.1,9.1,100.34,6.860,32.600,377.1,388.0,376.3,387.2,-10.9,377.9,388.8,-10.9,8.066,2
PAPA_145W_50N,50.130,-144.840,06/11/2008,17:04,376.3,2,1.84,387.7,2,1.87,1025.4,9.7,100.53,6.860,32.600,377.0,388.4,376.3,387.7,-11.4,377.9,389.3,-11.4,8.066,2
PAPA_145W_50N,50.130,-144.840,06/11/2008,17:34,376.6,2,1.75,388.2,2,1.78,1025.5,10.1,100.78,6.860,32.600,377.2,388.9,376.6,388.2,-11.7,378.1,389.9,-11.7,8.066,2
PAPA_145W_50N,50.130,-144.840,06/11/2008,18:04,376.5,2,1.77,388.4,2,1.80,1025.6,10.3,100.87,6.860,32.600,377.2,389.1,376.6,388.5,-11.9,378.2,390.1,-11.9,8.066,2
PAPA_145W_50N,50.130,-144.840,06/11/2008,18:34,376.4,2,1.79,388.3,2,1.82,1025.7,10.5,100.97,6.860,32.600,377.1,389.0,376.5,388.4,-11.9,378.1,390.0,-11.9,-999,5
PAPA_145W_50N,50.130,-144.840,06/11/2008,19:04,376.2,2,1.81,388.4,2,1.83,1026.0,10.6,101.11,6.860,32.600,376.9,389.1,376.4,388.6,-12.2,378.0,390.3,-12.2,8.068,2
PAPA_145W_50N,50.130,-144.840,06/11/2008,19:34,376.2,2,1.82,388.4,2,1.85,1025.8,10.8,101.16,6.860,32.600,376.9,389.1,376.4,388.6,-12.2,377.9,390.2,-12.2,8.068,2
PAPA_145W_50N,50.130,-144.840,06/11/2008,20:04,376.3,2,1.83,388.5,2,1.86,1025.9,10.9,101.21,6.860,32.600,377.0,389.2,376.5,388.7,-12.2,378.1,390.3,-12.2,8.068,2
PAPA_145W_50N,50.130,-144.840,06/11/2008,21:17,375.4,2,2.39,387.5,2,2.44,1025.8,10.2,101.30,6.860,32.600,376.3,388.5,375.8,388.0,-12.2,377.3,389.6,-12.2,8.068,2
PAPA_145W_50N,50.130,-144.840,06/12/2008,00:17,375.3,2,2.57,387.2,2,2.74,1025.2,9.7,101.36,6.900,32.596,376.2,388.2,375.4,387.4,-12.0,377.0,389.0,-12.0,8.065,2
PAPA_145W_50N,50.130,-144.840,06/12/2008,03:17,374.4,2,2.44,386.9,2,2.48,1024.9,9.6,101.36,6.900,32.596,375.3,387.9,374.4,387.0,-12.6,376.0,388.6,-12.6,8.066,2
PAPA_145W_50N,50.130,-144.840,06/12/2008,06:17,372.4,2,2.42,387.0,2,2.34,1025.9,9.6,101.26,6.900,32.596,373.3,387.9,372.8,387.4,-14.6,374.4,389.0,-14.6,8.069,2
PAPA_145W_50N,50.130,-144.840,06/12/2008,09:17,373.4,2,2.40,388.3,2,2.44,1026.8,9.4,101.26,6.900,32.596,374.3,389.3,374.1,389.1,-15.0,375.7,390.8,-15.1,8.070,2
PAPA_145W_50N,50.130,-144.840,06/12/2008,12:17,373.7,2,2.37,388.3,2,2.41,1027.9,9.2,101.21,6.900,32.596,374.6,389.2,374.8,389.4,-14.6,376.4,391.1,-14.7,8.067,2
PAPA_145W_50N,50.130,-144.840,06/12/2008,15:17,373.2,2,2.34,388.2,2,2.38,1029.0,9.0,101.11,6.900,32.596,374.0,389.1,374.6,389.8,-15.1,376.2,391.4,-15.2,8.067,2
PAPA_145W_50N,50.130,-144.840,06/12/2008,18:17,371.8,2,2.43,388.2,2,2.47,1030.9,8.8,101.16,6.900,32.596,372.7,389.2,374.0,390.6,-16.6,375.6,392.2,-16.6,8.055,2
PAPA_145W_50N,50.130,-144.840,06/12/2008,21:17,371.2,2,2.53,387.8,2,2.58,1032.0,8.8,101.21,6.900,32.596,372.1,388.8,373.8,390.6,-16.8,375.4,392.2,-16.8,8.045,2
PAPA_145W_50N,50.130,-144.840,06/13/2008,00:17,370.6,2,2.42,387.4,2,2.47,1032.2,8.8,101.21,7.080,32.611,371.5,388.3,373.3,390.1,-16.9,374.8,391.8,-17.0,8.042,2
PAPA_145W_50N,50.130,-144.840,06/13/2008,03:17,370.9,2,2.32,387.5,2,2.24,1032.5,8.9,101.11,7.080,32.611,371.7,388.3,373.6,390.3,-16.7,375.1,391.9,-16.8,8.039,2
PAPA_145W_50N,50.130,-144.840,06/13/2008,06:17,370.9,2,2.43,387.4,2,2.36,1033.0,8.9,101.16,7.080,32.611,371.8,388.4,373.8,390.5,-16.7,375.4,392.2,-16.8,8.040,2
