expocode: 316420090613,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: Papa_145W_50N_Jun2009_Mar2010,,,,,,,,,,,,,,,,,,,,,,,,,
"PIs: Sutton, A.; Emerson, S. ",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH SW,pH QF
Papa,50.13,-144.83,6/13/09,19:58,382.1,2,4.81,388.7,2,5.04,1011.3,13,-999,-999,-999,383.9,390.6,-999,-999,-999,-999,-999,-999,-999,5
Papa,50.13,-144.83,6/13/09,20:28,382.3,2,4.75,387.7,2,4.82,1011.3,13.3,-999,9.543,32.623,384.1,389.6,377.5,382.8,-5.3,378.9,384.4,-5.4,-999,5
Papa,50.13,-144.83,6/13/09,20:58,384.9,2,4.8,389.1,2,4.87,1011.2,13.5,-999,9.603,32.56,386.7,391,380,384.2,-4.2,381.4,385.7,-4.2,-999,5
Papa,50.13,-144.83,6/14/09,0:17,386.2,2,5.28,387.9,2,5.52,1011,12.6,101.03,9.765,32.561,388.3,390,381.4,383.1,-1.7,382.9,384.6,-1.7,-999,5
Papa,50.13,-144.83,6/14/09,3:17,388,2,5.15,388,2,5.38,1010.4,12.6,101.12,9.905,32.559,390,390.1,382.8,382.9,-0.1,384.3,384.4,-0.1,-999,5
Papa,50.13,-144.83,6/14/09,6:17,383.9,2,5,387.9,2,5.09,1011.2,12.6,101.26,9.752,32.565,385.8,389.9,379,383.1,-4.1,380.5,384.6,-4,-999,5
Papa,50.13,-144.83,6/14/09,9:17,384.4,2,5.1,388.1,2,5.19,1011.6,12.5,101.31,9.795,32.567,386.3,390.1,379.7,383.4,-3.8,381.1,384.9,-3.7,-999,5
Papa,50.13,-144.83,6/14/09,12:17,384.4,2,5.2,387.6,2,5.29,1012,12.3,101.35,9.821,32.567,386.4,389.7,379.9,383.1,-3.2,381.4,384.6,-3.3,-999,5
Papa,50.13,-144.83,6/14/09,15:17,385.3,2,5.15,388.4,2,5.24,1012.7,12.2,101.35,9.808,32.563,387.3,390.5,381.1,384.2,-3.1,382.5,385.7,-3.2,-999,5
Papa,50.13,-144.83,6/14/09,18:17,383.5,2,4.97,388.5,2,5.2,1013.5,12.1,101.35,9.814,32.567,385.4,390.6,379.5,384.6,-5,381,386.1,-5.1,-999,5
Papa,50.13,-144.83,6/14/09,21:17,381.6,2,5.23,388,2,5.32,1014.5,12,101.4,9.759,32.567,383.6,390,378.1,384.5,-6.4,379.6,385.9,-6.3,-999,5
Papa,50.13,-144.83,6/15/09,0:17,381.2,2,5.08,388.5,2,5.02,1015,12,101.39,9.676,32.565,383.1,390.4,377.8,385.1,-7.2,379.3,386.5,-7.2,-999,5
Papa,50.13,-144.83,6/15/09,3:17,380.4,2,5.22,388.6,2,5.02,1015.2,12,101.39,9.764,32.567,382.4,390.5,377.2,385.2,-8,378.7,386.7,-8,-999,5
Papa,50.13,-144.83,6/15/09,6:17,379.2,2,4.79,388.7,2,4.58,1015.3,12,101.49,9.734,32.57,381,390.5,375.9,385.2,-9.3,377.3,386.7,-9.4,-999,5
Papa,50.13,-144.83,6/15/09,9:17,380.1,2,4.73,388.6,2,4.53,1015,11.8,101.44,9.74,32.569,381.9,390.4,376.7,385,-8.3,378.1,386.5,-8.4,-999,5
Papa,50.13,-144.83,6/15/09,12:17,380.8,2,4.97,388.7,2,4.77,1013.7,11.6,101.4,9.709,32.569,382.7,390.5,377,384.7,-7.7,378.4,386.1,-7.7,-999,5
Papa,50.13,-144.83,6/15/09,15:17,382.3,2,4.92,388.5,2,4.73,1012.7,11.4,101.45,9.698,32.567,384.2,390.3,378.1,384.1,-6,379.5,385.5,-6,-999,5
Papa,50.13,-144.83,6/15/09,18:17,383.8,2,5.05,388.2,2,5,1011.1,11.4,101.5,9.706,32.566,385.8,390.2,379,383.3,-4.3,380.5,384.8,-4.3,-999,5
Papa,50.13,-144.83,6/15/09,21:17,383.4,2,5.33,388.1,2,5.28,1009.3,11.4,101.5,9.766,32.566,385.5,390.2,378,382.6,-4.6,379.5,384.1,-4.6,-999,5
Papa,50.13,-144.83,6/16/09,0:17,383.4,2,5.21,388,2,5.16,1007.5,11.4,101.55,9.754,32.564,385.4,390,377.2,381.7,-4.5,378.7,383.2,-4.5,-999,5
Papa,50.13,-144.83,6/16/09,3:17,383.3,2,5.09,387.9,2,5.18,1004.9,11.4,101.6,9.677,32.56,385.2,389.9,376.1,380.7,-4.6,377.5,382.1,-4.6,-999,5
Papa,50.13,-144.83,6/16/09,6:17,383.8,2,5.09,387.6,2,5.18,1003.2,11.4,101.65,9.682,32.558,385.8,389.6,376,379.7,-3.7,377.5,381.2,-3.7,-999,5
Papa,50.13,-144.83,6/16/09,9:17,384.6,2,5.23,387.8,2,5.32,1002.3,11.4,101.65,9.698,32.557,386.6,389.9,376.5,379.7,-3.2,377.9,381.1,-3.2,-999,5
Papa,50.13,-144.83,6/16/09,12:17,384.3,2,5.1,386.8,2,5.18,1002.2,11.4,101.65,9.725,32.561,386.3,388.9,376.1,378.6,-2.5,377.6,380.1,-2.5,-999,5
Papa,50.13,-144.83,6/16/09,15:17,382.9,2,5.08,386.9,2,5.16,1004.2,11.3,101.6,9.65,32.561,384.8,388.9,375.5,379.5,-4,376.9,380.9,-4,-999,5
Papa,50.13,-144.83,6/16/09,18:17,383,2,5.33,387.1,2,5.42,1005.9,11.3,101.65,9.671,32.558,385.1,389.2,376.4,380.4,-4.1,377.8,381.8,-4,-999,5
Papa,50.13,-144.83,6/16/09,21:17,383,2,5.19,387.5,2,5.14,1007.6,11.3,101.6,9.779,32.558,385,389.5,376.9,381.3,-4.4,378.3,382.8,-4.4,-999,5
Papa,50.13,-144.83,6/17/09,0:17,384.3,2,5.21,388,2,5.16,1009.2,11.4,101.55,9.911,32.556,386.3,390,378.7,382.3,-3.6,380.2,383.8,-3.6,-999,5
Papa,50.13,-144.83,6/17/09,3:17,382.1,2,4.97,388.4,2,4.91,1010.3,11.5,101.54,9.856,32.559,384,390.3,376.9,383.1,-6.1,378.4,384.6,-6.2,-999,5
Papa,50.13,-144.83,6/17/09,6:17,380.6,2,4.94,388.3,2,4.88,1011.8,11.5,101.49,9.818,32.56,382.5,390.2,376,383.5,-7.5,377.5,385.1,-7.6,-999,5
Papa,50.13,-144.83,6/17/09,9:17,381,2,5.02,388.2,2,4.97,1013,11.3,101.49,9.813,32.561,382.9,390.2,376.8,384,-7.2,378.3,385.5,-7.2,-999,5
Papa,50.13,-144.83,6/17/09,12:17,381.2,2,4.97,388.1,2,4.78,1013.1,11.1,101.35,9.79,32.559,383.1,389.9,377.1,383.8,-6.7,378.6,385.3,-6.7,-999,5
Papa,50.13,-144.83,6/17/09,15:17,381.4,2,5.07,388.4,2,4.89,1013.4,11,101.35,9.793,32.559,383.3,390.3,377.4,384.3,-6.9,378.9,385.8,-6.9,-999,5
Papa,50.13,-144.83,6/17/09,18:17,381.4,2,5.34,387.8,2,5.3,1013.3,11,101.45,9.837,32.56,383.4,389.8,377.5,383.8,-6.3,378.9,385.2,-6.3,-999,5
Papa,50.13,-144.83,6/17/09,21:17,383,2,5.26,388,2,5.21,1012.7,11.2,101.36,9.953,32.561,385,390,378.7,383.7,-5,380.2,385.2,-4.9,-999,5
Papa,50.13,-144.83,6/18/09,0:17,384.2,2,5.32,387.9,2,5.28,1011.6,11.4,101.45,10.148,32.567,386.2,390,379.5,383.2,-3.7,380.9,384.7,-3.7,-999,5
Papa,50.13,-144.83,6/18/09,3:17,384.1,2,5.37,387.9,2,5.47,1010.2,11.5,101.45,10.115,32.567,386.2,390,379,382.7,-3.8,380.4,384.2,-3.7,-999,5
Papa,50.13,-144.83,6/18/09,6:17,385.1,2,5.12,387.6,2,5.06,1009.7,11.6,101.45,10.087,32.564,387.1,389.6,379.6,382.1,-2.5,381.1,383.6,-2.5,-999,5
Papa,50.13,-144.83,6/18/09,9:17,384.2,2,5.24,387.2,2,5.19,1009.9,11.5,101.45,10.055,32.564,386.2,389.2,378.8,381.8,-2.9,380.3,383.3,-3,-999,5
Papa,50.13,-144.83,6/18/09,12:17,383.7,2,4.95,387.7,2,4.89,1010.1,11.5,101.41,10.005,32.566,385.6,389.6,378.3,382.3,-4,379.8,383.8,-3.9,-999,5
Papa,50.13,-144.83,6/18/09,15:17,382.5,2,5.18,387.7,2,5.13,1010.1,11.3,101.41,9.899,32.566,384.5,389.7,377.3,382.4,-5.1,378.8,383.9,-5.1,-999,5
Papa,50.13,-144.83,6/18/09,18:17,381.6,2,5.29,387,2,5.1,1010.4,11.2,101.36,9.881,32.566,383.6,389,376.6,381.8,-5.3,378,383.3,-5.3,-999,5
Papa,50.13,-144.83,6/18/09,21:17,382.6,2,5.41,387,2,5.23,1011.4,11.2,101.36,9.926,32.56,384.7,389,378,382.2,-4.2,379.4,383.7,-4.2,-999,5
Papa,50.13,-144.83,6/19/09,0:17,381.8,2,5.29,386.5,2,5.1,1012.2,11.3,101.31,9.913,32.561,383.8,388.5,377.4,382,-4.6,378.9,383.5,-4.6,-999,5
Papa,50.13,-144.83,6/19/09,3:17,380.9,2,5.16,386.7,2,5.11,1012.6,11.3,101.31,9.905,32.566,382.8,388.7,376.6,382.4,-5.8,378,383.9,-5.8,-999,5
Papa,50.13,-144.83,6/19/09,6:17,380.2,2,5.14,386.3,2,4.95,1013.7,11.2,101.26,9.844,32.566,382.1,388.3,376.4,382.4,-6,377.8,383.9,-6.1,-999,5
Papa,50.13,-144.83,6/19/09,9:17,378.7,2,4.97,386.9,2,4.78,1014.8,11.1,101.21,9.751,32.566,380.6,388.8,375.2,383.4,-8.1,376.7,384.8,-8.1,-999,5
Papa,50.13,-144.83,6/19/09,12:17,376.5,2,4.92,386.2,2,4.87,1016.3,11,101.16,9.652,32.567,378.3,388,373.6,383.2,-9.6,375,384.7,-9.6,-999,5
Papa,50.13,-144.83,6/19/09,15:17,375.3,2,4.88,386.2,2,4.69,1017.1,10.9,101.12,9.567,32.567,377.2,388.1,372.8,383.6,-10.8,374.3,385.1,-10.8,-999,5
Papa,50.13,-144.83,6/19/09,18:17,374,2,5.11,386.4,2,4.93,1017.9,10.8,101.16,9.525,32.568,375.9,388.3,371.9,384.2,-12.3,373.3,385.6,-12.3,-999,5
Papa,50.13,-144.83,6/19/09,21:17,373,2,4.69,386.3,2,4.63,1018.2,10.7,101.16,9.509,32.567,374.7,388.1,370.8,384,-13.2,372.2,385.5,-13.3,-999,5
Papa,50.13,-144.83,6/20/09,0:17,372.8,2,4.93,387.5,2,5.01,1018.7,10.6,101.12,9.522,32.567,374.7,389.5,370.9,385.6,-14.6,372.4,387.1,-14.7,-999,5
Papa,50.13,-144.83,6/20/09,3:17,372.9,2,5.08,387.2,2,5.03,1017.3,10.7,101.16,9.537,32.566,374.8,389.1,370.5,384.7,-14.2,372,386.2,-14.2,-999,5
Papa,50.13,-144.83,6/20/09,6:17,373,2,5.09,387.3,2,5.05,1017.6,10.7,101.21,9.531,32.567,374.9,389.2,370.8,384.9,-14.2,372.2,386.4,-14.2,-999,5
Papa,50.13,-144.83,6/20/09,9:17,373.3,2,4.97,387.3,2,5.06,1018.1,10.8,101.21,9.53,32.565,375.2,389.3,371.2,385.2,-13.9,372.7,386.7,-14,-999,5
Papa,50.13,-144.83,6/20/09,12:17,373.5,2,5.11,387.2,2,5.2,1018,10.8,101.16,9.525,32.566,375.4,389.2,371.4,385,-13.7,372.8,386.5,-13.7,-999,5
Papa,50.13,-144.83,6/20/09,15:17,374.1,2,5.11,387.4,2,5.2,1018.3,10.8,101.07,9.518,32.567,376,389.4,372.1,385.4,-13.3,373.5,386.9,-13.3,-999,5
Papa,50.13,-144.83,6/20/09,18:17,373.6,2,5.11,386.5,2,5.07,1019.7,10.8,101.12,9.533,32.568,375.5,388.4,372.1,384.9,-12.8,373.6,386.4,-12.8,-999,5
Papa,50.13,-144.83,6/20/09,21:17,373.3,2,5.25,386.3,2,5.07,1020.7,10.9,101.07,9.598,32.565,375.3,388.2,372.2,385.1,-12.9,373.7,386.6,-12.8,-999,5
Papa,50.13,-144.83,6/21/09,0:17,373.7,2,5.29,386.1,2,4.98,1021.2,11,101.07,9.732,32.562,375.7,388.1,372.8,385.1,-12.2,374.3,386.6,-12.4,-999,5
Papa,50.13,-144.83,6/21/09,3:17,373,2,4.93,386.5,2,4.74,1021.3,11.1,101.02,9.682,32.567,374.9,388.3,372,385.3,-13.3,373.5,386.9,-13.4,-999,5
Papa,50.13,-144.83,6/21/09,6:17,373.3,2,4.93,386.3,2,4.74,1021.4,11.1,101.02,9.663,32.57,375.1,388.2,372.3,385.3,-12.9,373.8,386.8,-13.1,-999,5
Papa,50.13,-144.83,6/21/09,9:17,373.5,2,5.03,386.6,2,4.84,1021.1,11,101.02,9.645,32.568,375.4,388.5,372.5,385.5,-13,373.9,387,-13,-999,5
Papa,50.13,-144.83,6/21/09,12:17,373.5,2,4.87,386.1,2,4.82,1020.2,10.9,101.02,9.66,32.565,375.3,388,372.1,384.7,-12.6,373.5,386.2,-12.6,-999,5
Papa,50.13,-144.83,6/21/09,15:17,374.3,2,5.12,386.9,2,5.07,1018.6,10.8,101.07,9.631,32.566,376.2,388.8,372.4,384.9,-12.5,373.8,386.3,-12.5,-999,5
