"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"PAPA_145W_50N","50.134","-144.820","06/17/2013","21:47","378.2","2","2.01","398.3","2","2.17","1022.0","10.0","100.16","9.146","32.519","379.0","399.2","376.5","396.6","-20.1","378.0","398.2","-20.2"
"PAPA_145W_50N","50.134","-144.820","06/17/2013","22:17","377.8","2","1.61","398.2","2","1.71","1022.0","10.6","100.41","9.153","32.520","378.4","398.9","375.9","396.2","-20.3","377.4","397.8","-20.4"
"PAPA_145W_50N","50.134","-144.820","06/17/2013","22:47","377.7","2","1.62","398.4","2","1.68","1021.9","11.0","100.54","9.164","32.520","378.3","399.1","375.8","396.4","-20.6","377.3","398.0","-20.7"
"PAPA_145W_50N","50.134","-144.820","06/17/2013","23:17","379.4","2","1.62","398.6","2","1.65","1021.8","11.3","100.67","9.166","32.520","380.0","399.3","377.5","396.6","-19.1","379.0","398.2","-19.2"
"PAPA_145W_50N","50.134","-144.820","06/17/2013","23:47","378.4","2","1.64","398.7","2","1.68","1021.8","11.4","100.75","9.179","32.518","379.1","399.4","376.5","396.7","-20.2","378.0","398.3","-20.3"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","00:17","378.2","2","1.67","398.6","2","1.69","1021.5","11.6","100.84","9.171","32.519","378.8","399.3","376.1","396.5","-20.3","377.6","398.0","-20.4"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","00:47","378.2","2","1.68","398.7","2","1.70","1021.4","11.7","100.92","9.179","32.520","378.8","399.4","376.1","396.5","-20.4","377.6","398.1","-20.5"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","01:17","378.0","2","1.70","398.6","2","1.72","1021.0","11.8","100.96","9.186","32.520","378.6","399.3","375.8","396.3","-20.5","377.3","397.9","-20.6"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","03:17","378.0","2","2.13","398.6","2","2.19","1020.2","10.9","101.01","9.170","32.521","378.8","399.4","375.7","396.1","-20.5","377.1","397.7","-20.6"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","06:17","377.6","2","2.08","398.8","2","2.13","1020.6","10.5","100.96","9.144","32.521","378.4","399.6","375.4","396.5","-21.1","376.8","398.0","-21.2"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","09:17","377.7","2","2.07","398.9","2","2.12","1020.1","10.2","101.00","9.135","32.520","378.5","399.7","375.3","396.3","-21.0","376.8","397.9","-21.1"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","12:17","378.1","2","2.06","398.8","2","2.11","1018.9","10.0","100.96","9.131","32.519","378.9","399.7","375.2","395.9","-20.6","376.7","397.4","-20.7"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","15:17","378.3","2","2.05","399.1","2","2.09","1018.2","9.8","100.97","9.133","32.519","379.1","399.9","375.2","395.8","-20.6","376.7","397.4","-20.6"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","18:17","378.2","2","2.17","398.6","2","2.23","1017.5","9.7","101.08","9.163","32.518","379.0","399.5","374.9","395.1","-20.3","376.3","396.7","-20.3"
"PAPA_145W_50N","50.134","-144.820","06/18/2013","21:17","378.6","2","2.28","397.6","2","2.35","1017.3","9.7","101.13","9.247","32.519","379.5","398.5","375.3","394.1","-18.8","376.7","395.6","-18.9"
"PAPA_145W_50N","50.134","-144.820","06/19/2013","00:17","379.8","2","2.33","397.5","2","2.40","1016.5","10.0","101.13","9.346","32.518","380.7","398.5","376.1","393.7","-17.6","377.5","395.2","-17.7"
"PAPA_145W_50N","50.134","-144.820","06/19/2013","03:17","380.4","2","2.26","398.3","2","2.29","1015.7","10.2","101.12","9.367","32.518","381.3","399.2","376.4","394.1","-17.7","377.9","395.6","-17.8"
"PAPA_145W_50N","50.134","-144.820","06/19/2013","06:17","380.6","2","2.16","398.0","2","2.17","1015.3","10.3","101.21","9.355","32.518","381.4","398.8","376.4","393.5","-17.2","377.8","395.1","-17.3"
"PAPA_145W_50N","50.134","-144.820","06/19/2013","09:17","379.9","2","2.21","397.6","2","2.21","1015.4","10.1","101.21","9.344","32.519","380.8","398.4","375.8","393.2","-17.4","377.3","394.7","-17.5"
"PAPA_145W_50N","50.134","-144.820","06/19/2013","12:17","380.6","2","2.25","396.9","2","2.26","1015.0","10.0","101.20","9.308","32.518","381.5","397.8","376.3","392.5","-16.1","377.8","394.0","-16.2"
"PAPA_145W_50N","50.134","-144.820","06/19/2013","15:17","379.1","2","2.31","396.9","2","2.32","1015.3","10.0","101.25","9.222","32.516","379.9","397.9","375.0","392.7","-17.7","376.4","394.2","-17.8"
"PAPA_145W_50N","50.134","-144.820","06/19/2013","18:17","380.6","2","2.57","396.6","2","2.62","1015.8","10.1","101.34","9.308","32.517","381.6","397.7","376.7","392.6","-15.9","378.2","394.1","-16.0"
"PAPA_145W_50N","50.134","-144.820","06/19/2013","21:17","386.8","2","2.70","396.5","2","2.76","1016.6","10.4","101.42","9.567","32.515","387.9","397.6","383.2","392.8","-9.6","384.7","394.3","-9.7"
"PAPA_145W_50N","50.134","-144.820","06/20/2013","00:17","387.1","2","2.62","397.0","2","2.67","1017.6","10.9","101.51","9.812","32.507","388.2","398.0","383.8","393.6","-9.8","385.3","395.1","-9.8"
"PAPA_145W_50N","50.134","-144.820","06/20/2013","03:17","388.4","2","2.53","397.3","2","2.56","1017.9","11.2","101.67","9.826","32.515","389.4","398.3","385.1","393.9","-8.8","386.6","395.4","-8.8"
"PAPA_145W_50N","50.134","-144.820","06/20/2013","06:17","389.0","2","2.43","396.8","2","2.45","1018.7","11.2","101.68","9.878","32.513","390.0","397.8","386.0","393.7","-7.8","387.5","395.3","-7.8"
"PAPA_145W_50N","50.134","-144.820","06/20/2013","09:17","383.0","2","2.40","397.1","2","2.41","1018.5","11.1","101.57","9.601","32.512","383.9","398.1","379.9","394.0","-14.1","381.4","395.5","-14.1"
"PAPA_145W_50N","50.134","-144.820","06/20/2013","12:17","383.1","2","2.35","397.4","2","2.37","1018.0","10.9","101.65","9.654","32.502","384.0","398.4","379.9","394.1","-14.2","381.4","395.6","-14.3"
"PAPA_145W_50N","50.134","-144.820","06/20/2013","15:17","379.9","2","2.38","397.4","2","2.41","1018.1","10.8","101.61","9.491","32.505","380.8","398.3","376.7","394.1","-17.4","378.2","395.7","-17.5"
"PAPA_145W_50N","50.134","-144.820","06/20/2013","18:17","378.4","2","2.46","397.3","2","2.49","1018.2","10.7","101.52","9.408","32.505","379.3","398.3","375.4","394.1","-18.7","376.9","395.7","-18.8"
"PAPA_145W_50N","50.134","-144.820","06/20/2013","21:17","380.9","2","2.70","396.5","2","2.75","1018.4","10.7","101.68","9.525","32.503","382.0","397.6","378.0","393.5","-15.4","379.5","395.0","-15.5"
"PAPA_145W_50N","50.134","-144.820","06/21/2013","00:17","385.9","2","2.75","396.5","2","2.80","1018.8","11.0","101.74","9.711","32.496","387.0","397.6","383.1","393.6","-10.5","384.6","395.1","-10.5"
"PAPA_145W_50N","50.134","-144.820","06/21/2013","03:17","384.1","2","2.50","397.2","2","2.54","1018.8","11.3","101.70","9.729","32.513","385.1","398.2","381.2","394.2","-12.9","382.7","395.7","-13.0"
"PAPA_145W_50N","50.134","-144.820","06/21/2013","06:17","381.4","2","2.42","397.3","2","2.46","1019.3","11.3","101.68","9.581","32.515","382.3","398.3","378.7","394.5","-15.8","380.2","396.1","-15.9"
"PAPA_145W_50N","50.134","-144.820","06/21/2013","09:17","378.3","2","2.39","397.5","2","2.42","1019.6","11.2","101.65","9.558","32.507","379.2","398.4","375.7","394.8","-19.1","377.2","396.3","-19.2"
"PAPA_145W_50N","50.134","-144.820","06/21/2013","12:17","378.4","2","2.42","397.5","2","2.44","1019.4","11.0","101.62","9.579","32.503","379.4","398.5","375.8","394.8","-19.0","377.3","396.3","-19.0"
"PAPA_145W_50N","50.134","-144.820","06/21/2013","15:17","379.9","2","2.45","397.5","2","2.48","1019.9","10.9","101.61","9.580","32.507","380.9","398.5","377.5","394.9","-17.4","379.0","396.5","-17.5"
"PAPA_145W_50N","50.134","-144.820","06/21/2013","18:17","383.4","2","2.66","396.9","2","2.71","1020.1","10.9","101.56","9.657","32.518","384.4","398.0","381.1","394.5","-13.5","382.6","396.1","-13.5"
"PAPA_145W_50N","50.134","-144.820","06/21/2013","21:17","384.5","2","2.66","396.8","2","2.70","1019.8","11.1","101.69","9.904","32.521","385.5","397.8","382.0","394.2","-12.2","383.5","395.7","-12.3"
"PAPA_145W_50N","50.134","-144.820","06/22/2013","00:17","392.1","2","3.00","396.4","2","2.99","1019.6","11.5","101.75","9.971","32.514","393.3","397.6","389.6","393.8","-4.2","391.1","395.3","-4.2"
"PAPA_145W_50N","50.134","-144.820","06/22/2013","03:17","397.9","2","2.76","396.6","2","2.74","1019.0","12.0","101.93","10.751","32.494","399.0","397.7","394.7","393.4","1.3","396.2","394.9","1.3"
"PAPA_145W_50N","50.134","-144.820","06/22/2013","06:17","392.7","2","2.57","397.0","2","2.51","1018.8","12.1","101.95","10.535","32.497","393.7","398.0","389.5","393.7","-4.2","391.0","395.2","-4.2"
"PAPA_145W_50N","50.134","-144.820","06/22/2013","09:17","395.5","2","2.57","396.8","2","2.52","1018.0","12.0","101.93","10.276","32.509","396.6","397.8","392.1","393.4","-1.3","393.6","394.9","-1.3"
"PAPA_145W_50N","50.134","-144.820","06/22/2013","12:17","394.1","2","2.56","396.8","2","2.49","1017.2","11.7","101.88","10.336","32.513","395.1","397.8","390.3","393.0","-2.7","391.8","394.5","-2.7"
"PAPA_145W_50N","50.134","-144.820","06/22/2013","15:17","393.3","2","2.58","397.2","2","2.50","1016.4","11.6","101.82","10.285","32.514","394.3","398.2","389.3","393.1","-3.8","390.8","394.6","-3.8"
"PAPA_145W_50N","50.134","-144.820","06/22/2013","18:17","393.7","2","2.51","397.4","2","2.49","1015.8","11.5","101.80","10.146","32.521","394.7","398.3","389.4","393.0","-3.6","390.9","394.6","-3.7"
"PAPA_145W_50N","50.134","-144.820","06/22/2013","21:17","390.3","2","2.65","397.5","2","2.58","1013.8","11.5","101.84","10.049","32.518","391.4","398.5","385.4","392.4","-7.0","386.9","393.9","-7.0"
"PAPA_145W_50N","50.134","-144.820","06/23/2013","00:17","390.8","2","2.61","397.3","2","2.56","1011.4","11.5","101.90","10.120","32.518","391.8","398.3","384.9","391.3","-6.4","386.4","392.8","-6.4"
"PAPA_145W_50N","50.134","-144.820","06/23/2013","03:17","389.4","2","2.52","397.7","2","2.50","1008.0","11.5","101.92","9.969","32.499","390.4","398.7","382.2","390.4","-8.2","383.7","391.9","-8.2"
"PAPA_145W_50N","50.134","-144.820","06/23/2013","06:17","386.7","2","2.56","397.7","2","2.56","1004.9","11.3","101.94","9.639","32.494","387.7","398.7","378.5","389.3","-10.8","380.0","390.8","-10.8"
"PAPA_145W_50N","50.134","-144.820","06/23/2013","09:17","384.7","2","2.61","397.3","2","2.63","1002.2","11.3","101.99","9.386","32.505","385.7","398.3","375.6","387.9","-12.3","377.1","389.4","-12.4"
"PAPA_145W_50N","50.134","-144.820","06/23/2013","12:17","387.6","2","2.56","396.5","2","2.58","1000.6","11.3","101.99","9.418","32.506","388.6","397.5","377.9","386.5","-8.6","379.3","388.0","-8.7"
"PAPA_145W_50N","50.134","-144.820","06/23/2013","15:17","389.4","2","2.57","396.9","2","2.59","1000.1","11.2","102.00","9.489","32.500","390.4","397.9","379.3","386.7","-7.4","380.8","388.2","-7.4"
"PAPA_145W_50N","50.134","-144.820","06/23/2013","18:17","387.3","2","2.64","396.5","2","2.69","999.9","11.2","102.00","9.434","32.504","388.3","397.6","377.3","386.3","-9.0","378.7","387.8","-9.1"
"PAPA_145W_50N","50.134","-144.820","06/23/2013","21:17","388.2","2","2.75","396.1","2","2.83","999.5","11.2","102.06","9.515","32.507","389.3","397.2","378.0","385.8","-7.7","379.5","387.2","-7.7"
"PAPA_145W_50N","50.134","-144.820","06/24/2013","00:17","389.2","2","2.61","396.3","2","2.66","999.0","11.4","102.08","9.647","32.505","390.2","397.3","378.8","385.7","-6.9","380.2","387.1","-6.9"
"PAPA_145W_50N","50.134","-144.820","06/24/2013","03:17","388.7","2","2.56","396.3","2","2.58","998.1","11.4","102.23","9.713","32.504","389.7","397.4","377.9","385.3","-7.4","379.3","386.8","-7.5"
"PAPA_145W_50N","50.134","-144.820","06/24/2013","06:17","389.4","2","2.45","396.6","2","2.47","996.9","11.3","102.16","9.713","32.503","390.3","397.6","378.0","385.1","-7.0","379.5","386.6","-7.1"
