expocode: 316420140618,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: Papa_145W_50N_Jun2014_Jun2015,,,,,,,,,,,,,,,,,,,,,,,,,
"PIs: Sutton,A.; Emerson,S.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
PAPA_145W_50N,50.053,-144.883,6/18/14,23:17,372.6,2,3.84,398,2,3.76,1019.4,12.6,100.17,-999,-999,374,399.5,-999,-999,-999,-999,-999,-999,-999,-999
PAPA_145W_50N,50.053,-144.883,6/18/14,23:47,373.5,2,2.37,398.8,2,2.22,1019.2,13.2,100.38,10.582,32.384,374.4,399.7,370.5,395.6,-25.1,371.9,397.1,-25.2,-999,-999
PAPA_145W_50N,50.053,-144.883,6/19/14,0:17,374.2,2,2.26,399.1,2,2.05,1019.1,13.6,100.6,10.606,32.384,375,399.9,371.1,395.7,-24.6,372.6,397.3,-24.7,-999,-999
PAPA_145W_50N,50.053,-144.883,6/19/14,0:47,374.9,2,2.24,399.2,2,2.03,1019.3,13.8,100.78,10.643,32.383,375.7,400.1,371.9,395.9,-24.1,373.3,397.5,-24.2,-999,-999
PAPA_145W_50N,50.053,-144.883,6/19/14,1:17,374.6,2,2.26,399.3,2,1.98,1019.3,14,100.83,10.643,32.383,375.4,400.1,371.6,396,-24.4,373,397.5,-24.5,-999,-999
PAPA_145W_50N,50.053,-144.883,6/19/14,1:47,374.2,2,2.29,399.3,2,2.05,1019.5,14.2,100.93,10.67,32.382,375,400.1,371.2,396,-24.8,372.7,397.6,-24.9,-999,-999
PAPA_145W_50N,50.053,-144.883,6/19/14,2:17,373.4,2,2.23,399.3,2,1.98,1019.4,14.3,101.01,10.708,32.383,374.3,400.1,370.4,396.1,-25.6,371.9,397.6,-25.7,-999,-999
PAPA_145W_50N,50.053,-144.883,6/19/14,2:47,369.7,2,2.35,399.4,2,2.07,1019.4,14.4,101.08,10.879,32.378,370.5,400.2,366.7,396.1,-29.4,368.1,397.6,-29.5,-999,-999
PAPA_145W_50N,50.053,-144.883,6/19/14,3:17,368.9,2,2.27,399.7,2,2,1019.4,14.5,101.09,10.888,32.377,369.7,400.5,365.9,396.3,-30.5,367.3,397.9,-30.6,-999,-999
PAPA_145W_50N,50.053,-144.883,6/19/14,6:17,369.4,2,3.58,398.5,2,3.34,1020,13.3,101.1,10.699,32.384,370.7,399.8,367.2,396,-28.8,368.6,397.5,-28.9,-999,-999
