expocode: 316420150616
vessel name: Papa_145W_50N
PIs: Sutton A.;Cronin M.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
PAPA_145W_50N,50.131,-144.834,06/16/2015,01:47,393.1,2,1.99,397.6,2,1.94,1019.8,12.2,100.67,10.338,32.550,393.9,398.3,390.1,394.5,-4.4,391.7,396.1,-4.4,-999,5
PAPA_145W_50N,50.131,-144.834,06/16/2015,02:17,393.4,2,1.34,397.5,2,1.28,1019.8,12.8,100.91,10.333,32.550,393.9,398.0,390.1,394.2,-4.1,391.7,395.8,-4.1,-999,5
PAPA_145W_50N,50.131,-144.834,06/16/2015,02:47,394.7,2,1.25,397.9,2,1.17,1019.8,13.2,101.19,10.347,32.550,395.2,398.3,391.4,394.5,-3.1,392.9,396.1,-3.1,-999,5
PAPA_145W_50N,50.131,-144.834,06/16/2015,03:17,393.9,2,1.24,397.8,2,1.14,1019.7,13.4,101.39,10.355,32.551,394.3,398.2,390.6,394.4,-3.9,392.1,395.9,-3.9,8.061,2
PAPA_145W_50N,50.131,-144.834,06/16/2015,03:47,393.4,2,1.24,398.0,2,1.13,1019.6,13.6,101.50,10.352,32.552,393.8,398.5,390.0,394.6,-4.6,391.5,396.1,-4.6,-999,5
PAPA_145W_50N,50.131,-144.834,06/16/2015,04:17,393.2,2,1.23,398.2,2,1.12,1019.9,13.7,101.62,10.369,32.549,393.7,398.7,390.0,394.9,-4.9,391.5,396.4,-4.9,-999,5
PAPA_145W_50N,50.131,-144.834,06/16/2015,04:47,392.5,2,1.22,398.4,2,1.11,1019.8,13.8,101.60,10.370,32.549,393.0,398.9,389.2,395.0,-5.8,390.7,396.6,-5.8,-999,5
PAPA_145W_50N,50.131,-144.834,06/16/2015,05:17,392.8,2,1.22,398.4,2,1.11,1020.0,13.9,101.78,10.367,32.552,393.2,398.8,389.6,395.1,-5.6,391.1,396.6,-5.6,-999,5
PAPA_145W_50N,50.131,-144.834,06/16/2015,06:17,-999,4,1.66,-999,4,1.57,1019.5,13.4,101.81,10.380,32.551,-999,-999,-999,-999,-999,-999,-999,-999,8.059,2
PAPA_145W_50N,50.131,-144.834,06/16/2015,09:17,393.6,2,1.99,398.5,2,1.90,1019.8,12.4,101.77,10.357,32.560,394.4,399.2,390.6,395.4,-4.8,392.1,396.9,-4.8,8.060,2
PAPA_145W_50N,50.131,-144.834,06/16/2015,12:17,392.9,2,1.97,398.6,2,1.89,1019.0,12.0,101.70,10.318,32.565,393.6,399.3,389.6,395.2,-5.6,391.1,396.8,-5.7,8.060,2
PAPA_145W_50N,50.131,-144.834,06/16/2015,15:17,393.9,2,1.97,398.6,2,1.89,1018.8,11.8,101.66,10.282,32.560,394.7,399.3,390.6,395.1,-4.6,392.1,396.7,-4.6,8.060,2
PAPA_145W_50N,50.131,-144.834,06/16/2015,18:17,393.3,2,2.03,399.1,2,1.95,1019.2,11.7,101.65,10.320,32.556,394.1,399.8,390.1,395.8,-5.7,391.6,397.3,-5.7,8.059,2
PAPA_145W_50N,50.131,-144.834,06/16/2015,21:17,392.3,2,2.05,399.0,2,1.95,1019.7,11.7,101.63,10.383,32.565,393.1,399.8,389.4,396.0,-6.6,390.9,397.5,-6.6,8.061,2
PAPA_145W_50N,50.131,-144.834,06/17/2015,00:17,388.4,2,2.07,399.2,2,1.97,1019.6,11.9,101.58,10.408,32.579,389.2,400.0,385.4,396.1,-10.7,386.9,397.6,-10.7,8.066,2
