"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/29/2013","03:18","409.7","2","0.78","401.8","2","0.70","1022.0","6.4","102.00","5.346","31.553","410.0","402.1","408.3","400.4","7.9","410.0","402.1","8.0"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/29/2013","06:18","399.8","2","0.87","405.2","2","0.80","1022.6","5.5","102.30","5.136","31.590","400.2","405.5","398.8","404.1","-5.3","400.5","405.8","-5.3"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/29/2013","09:18","391.3","2","0.98","402.7","2","0.92","1023.1","4.6","102.55","5.078","31.642","391.6","403.0","390.5","401.9","-11.4","392.1","403.5","-11.4"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/29/2013","12:18","402.3","2","0.96","404.5","2","0.90","1023.9","4.1","102.30","4.895","31.628","402.7","404.9","401.8","404.0","-2.2","403.5","405.7","-2.2"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/29/2013","15:18","425.4","2","1.01","403.5","2","0.97","1025.0","3.5","101.70","4.749","31.645","425.8","403.8","425.5","403.5","22.0","427.2","405.2","22.1"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/29/2013","18:18","519.3","2","1.09","402.9","2","1.06","1025.9","3.2","100.34","4.719","31.721","519.9","403.3","519.9","403.3","116.6","522.1","405.0","117.1"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/29/2013","21:18","440.1","2","0.94","402.2","2","0.92","1025.9","3.7","100.74","5.149","31.589","440.5","402.6","440.4","402.5","37.9","442.2","404.1","38.1"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/30/2013","00:18","441.2","2","0.92","401.6","2","0.90","1025.7","4.6","100.89","5.354","31.576","441.6","402.0","441.3","401.8","39.6","443.2","403.4","39.7"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/30/2013","03:18","437.2","2","1.00","402.4","2","0.97","1025.9","5.1","100.98","5.323","31.595","437.6","402.8","437.5","402.7","34.8","439.3","404.3","35.0"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/30/2013","06:18","467.6","2","1.11","401.8","2","1.06","1026.1","5.2","100.40","5.038","31.573","468.1","402.2","468.1","402.3","65.9","470.1","403.9","66.1"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/30/2013","09:18","514.1","2","1.15","401.4","2","1.09","1025.3","5.1","99.50","4.848","31.661","514.7","401.9","514.4","401.6","112.8","516.5","403.3","113.3"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/30/2013","12:18","534.0","2","1.14","401.2","2","1.10","1023.9","5.1","98.71","4.807","31.562","534.6","401.6","533.6","400.8","132.7","535.8","402.5","133.3"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/30/2013","15:18","547.3","2","1.14","402.6","2","1.09","1024.7","5.2","98.00","4.791","31.655","547.9","403.1","547.3","402.6","144.7","549.6","404.3","145.3"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/30/2013","18:18","547.1","2","1.16","401.4","2","1.12","1025.8","5.3","97.65","4.760","31.749","547.7","401.9","547.7","401.8","145.8","550.0","403.5","146.5"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/30/2013","21:18","479.9","2","1.18","401.0","2","1.14","1026.6","5.5","98.40","5.119","31.013","480.5","401.5","480.7","401.7","79.0","482.7","403.3","79.4"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/31/2013","00:18","492.5","2","1.19","401.4","2","1.16","1026.7","5.7","98.69","4.931","31.018","493.1","401.8","493.4","402.1","91.3","495.5","403.8","91.7"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/31/2013","03:18","487.8","2","1.19","405.2","2","1.13","1027.1","5.9","98.86","4.935","31.429","488.4","405.7","488.9","406.1","82.8","491.0","407.8","83.1"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/31/2013","06:18","499.4","2","1.15","407.8","2","1.10","1027.4","6.0","98.85","4.955","31.485","499.9","408.2","500.6","408.8","91.9","502.7","410.5","92.3"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/31/2013","09:18","496.8","2","1.17","407.4","2","1.12","1026.9","5.8","98.85","5.133","30.990","497.3","407.8","497.7","408.2","89.6","499.8","409.9","89.9"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/31/2013","12:18","514.7","2","1.17","408.7","2","1.12","1026.1","5.7","98.50","4.914","31.659","515.3","409.2","515.4","409.2","106.2","517.5","410.9","106.6"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/31/2013","15:18","508.5","2","1.17","404.3","2","1.12","1025.5","5.6","98.36","4.913","31.545","509.1","404.8","508.9","404.6","104.3","511.0","406.3","104.7"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/31/2013","18:18","503.7","2","1.25","402.5","2","1.20","1024.6","5.6","98.38","4.948","31.644","504.4","403.0","503.7","402.5","101.2","505.8","404.2","101.6"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","03/31/2013","21:18","479.6","2","1.24","401.5","2","1.19","1023.2","5.8","98.85","5.163","30.433","480.2","401.9","478.8","400.8","78.0","480.8","402.4","78.3"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","04/01/2013","00:18","499.9","2","1.25","401.0","2","1.21","1020.7","6.1","98.83","5.216","31.157","500.5","401.5","497.8","399.3","98.5","499.9","401.0","98.9"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","04/01/2013","03:18","455.0","2","1.20","401.0","2","1.14","1018.9","6.4","99.50","5.250","31.209","455.5","401.5","452.3","398.6","53.7","454.1","400.3","53.9"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","04/01/2013","06:18","467.7","2","1.20","405.3","2","1.14","1017.3","6.3","99.76","5.297","30.941","468.3","405.8","464.2","402.3","61.9","466.1","403.9","62.2"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","04/01/2013","09:18","465.1","2","1.20","404.7","2","1.15","1016.0","6.0","100.01","5.153","31.386","465.6","405.2","461.0","401.1","59.9","462.9","402.8","60.1"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","04/01/2013","12:18","505.2","2","1.20","406.7","2","1.15","1014.4","5.7","99.44","5.057","31.594","505.8","407.2","500.0","402.5","97.5","502.1","404.2","97.9"
"SOUTHEAST_AK_56N_134W","56.264","-134.669","04/01/2013","15:18","504.8","2","1.19","408.3","2","1.14","1013.1","5.6","99.25","5.063","31.586","505.4","408.7","499.0","403.6","95.4","501.1","405.2","95.8"
