"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"TWANOH_123W_47N","47.371","-123.008","08/09/2011","21:17","309.7","2","4.77","377.8","2","3.70","1019.0","23.4","102.55","-999.000","-999.000","311.2","379.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/09/2011","21:47","306.0","2","4.36","376.0","2","2.94","1018.7","24.1","102.73","-999.000","-999.000","307.4","377.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/09/2011","22:17","316.8","2","4.15","375.2","2","3.00","1018.4","24.5","102.77","-999.000","-999.000","318.1","376.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/09/2011","22:47","322.8","2","4.80","374.1","2","3.33","1018.1","24.7","102.68","-999.000","-999.000","324.4","375.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/09/2011","23:17","305.3","2","4.86","373.3","2","3.37","1018.1","24.9","102.99","-999.000","-999.000","306.8","374.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/09/2011","23:47","299.4","2","4.90","372.4","2","3.40","1017.9","25.1","103.30","-999.000","-999.000","300.9","373.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/10/2011","00:17","318.7","2","4.63","371.4","2","3.12","1017.8","25.2","103.30","-999.000","-999.000","320.2","372.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/10/2011","00:47","321.3","2","4.63","372.0","2","3.11","1017.6","25.2","103.34","-999.000","-999.000","322.8","373.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/10/2011","03:17","304.0","2","4.44","376.3","2","3.37","1017.4","23.3","103.44","-999.000","-999.000","305.3","377.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/10/2011","06:17","295.4","2","3.78","387.9","2","3.11","1017.7","20.6","103.38","-999.000","-999.000","296.5","389.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/10/2011","09:17","308.3","2","3.29","393.7","2","2.71","1017.3","18.3","103.07","-999.000","-999.000","309.3","394.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/10/2011","12:17","294.5","2","2.93","401.1","2","2.61","1017.6","16.4","102.90","-999.000","-999.000","295.3","402.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/10/2011","15:17","295.4","2","3.41","401.4","2","3.13","1018.2","15.2","102.88","-999.000","-999.000","296.4","402.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/10/2011","18:17","294.8","2","3.80","382.0","2","3.23","1017.9","18.6","102.82","-999.000","-999.000","296.0","383.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/10/2011","21:17","319.5","2","4.86","377.5","2","3.64","1017.0","21.8","103.22","-999.000","-999.000","321.1","378.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/11/2011","00:17","299.5","2","6.13","377.7","2","4.43","1015.5","23.9","103.77","-999.000","-999.000","301.3","379.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/11/2011","03:17","296.5","2","4.47","382.7","2","3.67","1016.3","23.4","103.92","-999.000","-999.000","297.8","384.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/11/2011","06:17","301.5","2","3.28","388.0","2","2.61","1017.2","20.4","104.02","-999.000","-999.000","302.5","389.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/11/2011","09:17","324.4","2","2.73","395.5","2","2.37","1017.5","17.4","104.01","-999.000","-999.000","325.3","396.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/11/2011","12:17","306.4","2","2.55","402.8","2","2.43","1018.5","15.2","103.80","-999.000","-999.000","307.2","403.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/11/2011","15:17","301.5","2","3.32","401.0","2","3.05","1019.9","14.8","103.68","-999.000","-999.000","302.5","402.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/11/2011","18:17","299.8","2","3.90","383.7","2","3.14","1020.3","18.2","103.31","-999.000","-999.000","301.0","384.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/11/2011","21:17","296.0","2","4.88","380.5","2","3.58","1019.2","22.8","103.53","-999.000","-999.000","297.4","381.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/12/2011","00:17","289.7","2","5.94","378.2","2","4.58","1018.3","23.5","103.98","-999.000","-999.000","291.4","380.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
