"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"TWANOH_123W_47N","47.371","-123.008","07/26/2013","00:17","340.0","2","7.59","392.9","2","5.49","1016.9","28.1","105.60","-999.000","-999.000","342.5","395.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/26/2013","03:17","344.2","2","8.06","389.8","2","5.24","1016.5","28.6","104.81","-999.000","-999.000","347.0","391.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/26/2013","06:17","316.8","2","6.30","400.1","2","4.96","1017.6","26.3","105.13","-999.000","-999.000","318.8","402.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/26/2013","09:17","330.2","2","5.39","412.5","2","4.79","1018.4","22.6","104.35","-999.000","-999.000","331.9","414.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/26/2013","12:17","318.1","2","4.79","426.6","2","4.52","1019.0","19.7","103.91","-999.000","-999.000","319.6","428.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/26/2013","15:17","333.9","2","5.18","431.0","2","4.91","1020.0","17.9","103.57","-999.000","-999.000","335.7","433.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/26/2013","18:17","323.5","2","5.70","399.4","2","5.18","1019.7","18.6","103.40","-999.000","-999.000","325.4","401.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/26/2013","21:17","332.2","2","7.06","389.7","2","5.36","1018.9","21.9","103.40","-999.000","-999.000","334.5","391.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/27/2013","00:17","329.9","2","8.75","381.5","2","5.30","1017.6","25.0","104.33","-999.000","-999.000","332.8","383.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/27/2013","03:17","315.4","2","7.84","382.5","2","4.97","1017.0","24.9","105.48","-999.000","-999.000","317.9","384.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/27/2013","06:17","308.3","2","5.55","391.0","2","4.33","1019.1","22.5","105.92","-999.000","-999.000","310.0","392.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/27/2013","09:17","326.5","2","4.47","399.8","2","4.05","1020.2","19.2","105.64","-999.000","-999.000","327.9","401.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/27/2013","12:17","311.9","2","3.92","401.8","2","3.73","1020.4","16.5","105.99","-999.000","-999.000","313.1","403.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/27/2013","15:17","315.8","2","4.01","398.9","2","3.79","1020.8","14.9","105.93","-999.000","-999.000","317.0","400.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/27/2013","18:17","312.2","2","4.46","389.3","2","4.14","1020.5","15.0","106.36","-999.000","-999.000","313.5","390.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/27/2013","21:17","321.7","2","5.13","382.7","2","4.60","1018.3","17.1","106.56","-999.000","-999.000","323.4","384.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/28/2013","00:17","312.4","2","6.52","379.1","2","5.12","1015.9","20.6","107.25","-999.000","-999.000","314.4","381.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/28/2013","03:17","301.6","2","7.42","379.9","2","6.26","1015.2","22.4","107.80","-999.000","-999.000","303.9","382.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/28/2013","06:17","312.5","2","4.86","393.1","2","4.37","1015.3","20.3","107.82","-999.000","-999.000","314.0","394.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/28/2013","09:17","320.8","2","4.08","398.9","2","3.90","1015.7","17.3","107.25","-999.000","-999.000","322.1","400.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/28/2013","12:17","309.7","2","3.91","402.2","2","3.79","1015.7","15.3","107.03","-999.000","-999.000","310.9","403.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/28/2013","15:17","316.0","2","4.03","394.7","2","3.89","1015.8","14.6","106.70","-999.000","-999.000","317.2","396.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/28/2013","18:17","319.7","2","4.42","388.3","2","4.14","1016.1","14.8","106.37","-999.000","-999.000","321.1","389.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/28/2013","21:17","317.9","2","4.84","380.5","2","4.44","1015.8","16.1","106.21","-999.000","-999.000","319.4","382.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/29/2013","00:17","303.7","2","5.48","379.2","2","4.71","1014.6","17.8","106.54","-999.000","-999.000","305.4","381.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/29/2013","03:17","291.7","2","5.19","381.2","2","4.58","1013.9","18.3","107.52","-999.000","-999.000","293.3","383.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/29/2013","06:17","302.9","2","4.53","391.3","2","4.20","1014.3","17.4","107.64","-999.000","-999.000","304.3","392.9","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/29/2013","09:17","308.5","2","4.32","395.0","2","4.08","1014.4","16.5","107.14","-999.000","-999.000","309.8","396.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/29/2013","12:17","308.0","2","4.41","392.4","2","4.12","1014.8","15.9","106.75","-999.000","-999.000","309.4","394.0","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/29/2013","15:17","318.1","2","4.61","386.8","2","4.14","1015.4","15.9","106.81","-999.000","-999.000","319.6","388.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/29/2013","18:17","320.4","2","4.99","385.5","2","4.52","1015.1","16.4","106.33","-999.000","-999.000","322.0","387.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/29/2013","21:17","340.1","2","5.81","380.4","2","4.99","1014.4","18.7","105.84","-999.000","-999.000","342.1","382.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/30/2013","00:17","338.2","2","6.82","377.4","2","6.00","1013.3","21.0","105.31","-999.000","-999.000","340.5","379.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/30/2013","03:17","354.9","2","8.02","376.5","2","6.87","1013.7","23.6","104.05","-999.000","-999.000","357.7","379.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/30/2013","06:17","356.6","2","5.23","388.0","2","4.60","1015.0","21.7","102.86","-999.000","-999.000","358.5","389.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/30/2013","09:17","324.9","2","4.51","393.4","2","4.31","1016.5","18.6","102.75","-999.000","-999.000","326.3","395.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/30/2013","12:17","327.4","2","4.37","393.6","2","4.21","1017.7","16.8","102.75","-999.000","-999.000","328.9","395.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/30/2013","15:17","315.4","2","4.35","387.6","2","4.14","1019.4","15.9","103.86","-999.000","-999.000","316.7","389.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/30/2013","18:17","307.1","2","4.73","384.0","2","4.47","1020.0","15.7","104.01","-999.000","-999.000","308.6","385.8","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/30/2013","21:17","320.5","2","5.12","376.8","2","4.74","1019.3","16.9","104.48","-999.000","-999.000","322.2","378.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/31/2013","00:17","321.3","2","6.08","372.2","2","5.34","1018.2","19.4","105.04","-999.000","-999.000","323.2","374.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/31/2013","03:17","308.5","2","6.71","371.2","2","5.84","1018.2","20.8","105.89","-999.000","-999.000","310.6","373.3","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/31/2013","06:17","320.7","2","4.97","384.3","2","4.57","1018.6","19.7","106.17","-999.000","-999.000","322.3","386.1","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/31/2013","09:17","313.1","2","4.56","389.6","2","4.40","1019.2","17.6","106.34","-999.000","-999.000","314.5","391.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/31/2013","12:17","321.6","2","4.39","393.1","2","4.26","1019.2","16.5","106.01","-999.000","-999.000","323.1","394.7","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/31/2013","15:17","320.7","2","4.40","394.0","2","4.27","1019.4","15.7","105.44","-999.000","-999.000","322.1","395.6","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/31/2013","18:17","313.5","2","4.72","388.4","2","4.50","1018.3","15.7","105.12","-999.000","-999.000","314.9","390.2","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","07/31/2013","21:17","320.1","2","5.43","381.5","2","5.11","1016.6","17.8","104.80","-999.000","-999.000","321.9","383.4","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/01/2013","00:17","324.9","2","6.43","370.3","2","5.93","1015.8","20.2","104.55","-999.000","-999.000","327.0","372.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/01/2013","03:17","320.6","2","7.30","368.1","2","6.39","1014.9","22.0","104.04","-999.000","-999.000","323.0","370.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
"TWANOH_123W_47N","47.371","-123.008","08/01/2013","06:17","314.8","2","4.96","384.7","2","4.64","1016.3","19.9","103.66","-999.000","-999.000","316.4","386.5","-999.0","-999.0","-999.0","-999.0","-999.0","-999.0"
