expocode: 316420150702,,,,,,,,,,,,,,,,,,,,,,,,,
vessel name: Twanoh_123W_47N,,,,,,,,,,,,,,,,,,,,,,,,,
"PIs: Sutton, A.; Mickett, J.; Newton, J.",,,,,,,,,,,,,,,,,,,,,,,,,
vessel type: Mooring,,,,,,,,,,,,,,,,,,,,,,,,,
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
TWANOH_123W_47N,47.375,-123.01,7/2/15,20:47,417.2,2,7.7,409.8,2,7.27,1014.8,29.1,101.01,-999,-999,420.4,412.9,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/2/15,21:17,420,2,6.08,412.6,2,5.07,1014.4,29.3,100.67,-999,-999,422.6,414.7,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/2/15,21:47,420.2,2,6.1,413.5,2,5.05,1014.2,29.8,100.67,-999,-999,422.8,415.6,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/2/15,22:17,419.1,2,6.19,413.7,2,5.11,1013.6,30.3,100.56,-999,-999,421.7,415.8,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/2/15,22:47,389.9,2,6.3,413.4,2,5.05,1013.3,30.9,101.03,-999,-999,392.4,415.5,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/2/15,23:17,378.9,2,6.41,412.9,2,5.52,1012.9,31.5,101.88,-999,-999,381.3,415.2,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/2/15,23:47,376.4,2,6.47,413.1,2,5.23,1012.5,32,102.5,-999,-999,378.9,415.3,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/3/15,0:17,362.6,2,6.62,413.1,2,4.48,1012.5,32.5,103.77,-999,-999,365,414.9,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/3/15,3:17,355.6,2,7.37,410.8,2,6.61,1012.4,32.5,105.46,-999,-999,358.2,413.5,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/3/15,6:17,375.7,2,6.24,416,2,5.3,1013.2,29.6,105.69,-999,-999,378.1,418.2,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/3/15,9:17,386.4,2,4.94,426.2,2,4.4,1013.9,27,105.41,-999,-999,388.3,428.1,-999,-999,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.375,-123.01,7/3/15,12:17,371.6,2,4.23,435.8,2,3.98,1013.9,24.6,105.49,-999,-999,373.2,437.6,-999,-999,-999,-999,-999,-999,-999,-999
