Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
TWANOH_123W_47N,47.274,-122.755,10/8/2009,18:16,438.1,2,4.65,423.3,2,4.66,1023,9.7,101.33,-999,-999,440.2,425.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/8/2009,21:17,447.2,2,7.08,497,2,7.07,1020.6,19.4,101.37,-999,-999,450.4,500.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/9/2009,0:17,401.6,2,7.69,385.3,2,7.01,1019.9,17.7,102.17,-999,-999,404.7,388,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/9/2009,3:17,401.5,2,6.29,391.8,2,5.38,1021.1,15.4,102.55,-999,-999,404,394,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/9/2009,6:17,383.2,2,5.23,398.7,2,4.65,1022.8,12.8,103.03,-999,-999,385.3,400.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/9/2009,9:17,396.9,2,4.64,404.1,2,4.29,1024.5,11.6,103.1,-999,-999,398.7,405.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/9/2009,12:17,456.2,2,4.3,428.6,2,4.1,1024.9,11.3,102.3,-999,-999,458.1,430.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/9/2009,15:17,435.6,2,4.22,435.7,2,4.07,1025.6,11,101.56,-999,-999,437.4,437.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/9/2009,18:17,445.4,2,5.21,419.9,2,5.22,1025.7,16.2,101.46,-999,-999,447.8,422.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/9/2009,21:17,446.2,2,7.35,391.6,2,7.02,1024.6,18.2,101.66,-999,-999,449.5,394.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/10/2009,0:17,437.8,2,7.67,386.9,2,6.44,1023.8,17.5,101.72,-999,-999,441.2,389.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/10/2009,3:17,440.9,2,5.99,398.5,2,4.7,1023.4,14.7,101.68,-999,-999,443.5,400.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/10/2009,6:17,425.3,2,4.63,405.8,2,3.95,1024,12.3,102.01,-999,-999,427.3,407.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/10/2009,9:17,444.3,2,3.86,422.8,2,3.56,1024,10.8,101.93,-999,-999,446,424.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/10/2009,12:17,454.7,2,3.6,431.1,2,3.41,1023.2,9.6,101.46,-999,-999,456.4,432.6,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/10/2009,15:17,451.3,2,3.55,437.9,2,3.4,1022.2,8.6,100.94,-999,-999,452.9,439.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/10/2009,18:17,429.7,2,4.29,421.3,2,3.99,1021.7,9.9,100.88,-999,-999,431.5,423,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/10/2009,21:17,437.8,2,5.74,400.9,2,5.1,1019.7,14.2,101.27,-999,-999,440.3,403,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/11/2009,0:17,393.8,2,6.1,386.6,2,4.89,1018.4,14.6,101.81,-999,-999,396.2,388.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/11/2009,3:17,404.7,2,3.58,399,2,3.22,1017.6,11.4,102.53,-999,-999,406.1,400.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/11/2009,6:17,387.8,2,3.45,405.2,2,3.17,1017.7,9.3,102.33,-999,-999,389.2,406.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/11/2009,9:17,386.6,2,3.29,415.2,2,3.05,1017.3,7.5,102.17,-999,-999,387.9,416.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/11/2009,12:17,368.5,2,3.01,417.5,2,2.88,1017.3,6.2,101.87,-999,-999,369.6,418.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/11/2009,15:17,396.9,2,2.86,413.4,2,2.77,1017.2,5.6,101.44,-999,-999,398.1,414.6,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/11/2009,18:17,393.8,2,3.93,401.1,2,3.94,1015.9,9.7,101.77,-999,-999,395.4,402.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/11/2009,21:17,434,2,6.44,386.6,2,4.91,1013,15.7,101.79,-999,-999,436.8,388.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/12/2009,0:17,387.1,2,5.69,385.2,2,4.27,1011.9,14.7,102.28,-999,-999,389.3,386.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/12/2009,3:17,366.6,2,4.55,388.6,2,2.89,1011.3,12.6,102.64,-999,-999,368.3,389.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/12/2009,6:17,380.8,2,4.05,398.4,2,3.18,1011.2,10.8,102.61,-999,-999,382.3,399.6,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/12/2009,9:17,373.2,2,4,393.7,2,2.97,1010.7,9.9,102.61,-999,-999,374.7,394.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/12/2009,12:17,373.8,2,3.8,395.2,2,2.91,1009.9,9.4,102.27,-999,-999,375.2,396.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/12/2009,15:17,393.5,2,3.66,399,2,2.82,1009,8.5,102,-999,-999,394.9,400.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/12/2009,18:17,353.7,2,4.19,399.5,2,3.42,1008.1,9.2,102.27,-999,-999,355.2,400.8,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/12/2009,21:17,334.1,2,4.77,386.6,2,3.79,1005.4,11.2,103.04,-999,-999,335.7,388,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/13/2009,0:17,329.5,2,4.68,384.6,2,3.6,1003.9,11.6,104.56,-999,-999,331,386,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/13/2009,3:17,385.4,2,4.1,388.4,2,3.2,1003.4,10.4,104.3,-999,-999,387,389.6,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/13/2009,6:17,382.6,2,4.04,395.8,2,3.38,1001.9,9.8,104.02,-999,-999,384.1,397.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/13/2009,9:17,374.7,2,4.1,392.4,2,3.28,1000.2,9.8,103.57,-999,-999,376.2,393.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/13/2009,12:17,393.3,2,3.95,397.3,2,3.38,997.5,9.3,103.18,-999,-999,394.8,398.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/13/2009,15:17,400.5,2,4.25,395,2,3.57,994.9,10,102.85,-999,-999,402.3,396.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/13/2009,18:17,370.9,2,4.35,389.9,2,3.77,993.8,10.9,102.77,-999,-999,372.6,391.4,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/13/2009,21:17,369.8,2,4.48,386,2,4.07,991.4,9.9,103.23,-999,-999,371.5,387.5,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/14/2009,0:17,375.4,2,4.8,385.1,2,4.33,989.6,11.2,103.6,-999,-999,377.2,386.7,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/14/2009,3:17,386.3,2,5.08,389.9,2,4.43,989.4,12.4,103.37,-999,-999,388.3,391.6,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/14/2009,6:17,370.9,2,4.34,396.6,2,4.09,991.4,10.9,103.58,-999,-999,372.5,398.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/14/2009,9:17,348.6,2,4.23,405.4,2,4.03,990.9,10.3,103.18,-999,-999,350.1,407,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/14/2009,12:17,390.3,2,4.27,405.5,2,4.09,992.1,10.2,103.04,-999,-999,392,407.1,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/14/2009,15:17,366.3,2,4.5,404.5,2,4.34,995.3,10.9,102.23,-999,-999,368,406.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/14/2009,18:17,354.7,2,5.47,390.2,2,5.22,998.5,13.5,101.95,-999,-999,356.7,392.3,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/14/2009,21:17,321.1,2,5.46,389.1,2,5.35,1001.9,13.7,102.76,-999,-999,322.9,391.2,-999,-999,-999,-999,-999,-999
TWANOH_123W_47N,47.274,-122.755,10/15/2009,0:17,385.9,2,6.22,381.5,2,6.24,1008.2,14.2,102.82,-999,-999,388.3,383.9,-999,-999,-999,-999,-999,-999
