expocode: 316420180808
vessel name: WA_125W_47N
PIs: Sutton_A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
WA_125W_47N,47.353,-124.742,08/08/2018,19:17,300.7,2,4.30,398.7,2,4.02,1013.2,20.0,101.12,13.678,32.222,302.0,400.3,296.3,392.7,-96.4,297.4,394.2,-96.7,-999,5
WA_125W_47N,47.353,-124.742,08/08/2018,20:17,292.2,2,3.88,403.3,2,3.46,1013.1,21.2,103.24,13.794,32.229,293.4,404.7,287.8,397.0,-109.2,288.8,398.5,-109.6,-999,5
WA_125W_47N,47.353,-124.742,08/08/2018,20:47,299.3,2,4.05,403.4,2,3.48,1013.1,21.6,103.90,14.957,32.240,300.5,404.8,294.4,396.7,-102.2,295.5,398.1,-102.6,-999,5
WA_125W_47N,47.353,-124.742,08/08/2018,21:17,299.5,2,4.14,403.3,2,3.55,1013.1,22.0,104.31,14.101,32.345,300.8,404.7,295.0,396.9,-102.0,296.0,398.4,-102.3,-999,5
WA_125W_47N,47.353,-124.742,08/08/2018,21:47,307.6,2,4.21,403.3,2,3.59,1013.1,22.4,104.66,14.974,32.258,308.9,404.7,302.7,396.6,-93.8,303.8,398.0,-94.2,-999,5
WA_125W_47N,47.353,-124.742,08/08/2018,22:17,322.6,2,4.21,403.2,2,3.59,1012.8,22.9,104.85,14.554,32.249,324.0,404.6,317.5,396.5,-79.0,318.7,398.0,-79.3,-999,5
WA_125W_47N,47.353,-124.742,08/08/2018,22:47,323.1,2,4.29,403.3,2,3.66,1013.0,23.3,104.96,14.300,32.226,324.5,404.8,318.1,396.8,-78.7,319.3,398.2,-79.0,-999,5
WA_125W_47N,47.353,-124.742,08/09/2018,00:17,322.0,2,5.37,401.1,2,4.73,1012.7,23.1,105.01,15.102,32.284,323.8,403.0,317.1,394.7,-77.6,318.2,396.1,-77.9,-999,5
WA_125W_47N,47.353,-124.742,08/09/2018,03:17,318.5,2,4.17,402.3,2,3.99,1012.9,21.3,105.04,15.044,32.187,319.8,403.9,313.3,395.6,-82.4,314.4,397.1,-82.7,-999,5
WA_125W_47N,47.353,-124.742,08/09/2018,06:17,320.9,2,3.80,402.1,2,3.73,1014.1,18.1,104.96,13.826,32.179,322.1,403.6,316.3,396.3,-80.1,317.4,397.8,-80.4,-999,5
WA_125W_47N,47.353,-124.742,08/09/2018,09:17,308.8,2,3.75,401.5,2,3.69,1014.7,16.5,104.92,15.099,32.137,310.0,403.0,304.2,395.4,-91.2,305.3,396.8,-91.5,-999,5
WA_125W_47N,47.353,-124.742,08/09/2018,12:17,298.2,2,3.83,400.5,2,3.80,1015.3,16.1,104.72,14.588,32.131,299.3,402.1,294.1,395.0,-100.9,295.1,396.4,-101.3,-999,5
