expocode: 316420190813
vessel name: WA_125W_47N
PIs: Sutton_A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
WA_125W_47N,47.352,-124.745,08/13/2019,18:17,291.2,2,4.76,436.8,2,4.18,1019.5,21.2,102.73,-999,-999,292.6,438.6,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/13/2019,18:47,292.8,2,4.24,-999,4,3.44,1019.7,22.0,104.87,-999,-999,294.0,-999,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/13/2019,19:17,292.7,2,4.57,435.5,2,3.35,1019.7,22.8,106.45,-999,-999,294.0,437.0,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/13/2019,19:47,302.2,2,4.84,433.3,2,3.39,1019.8,23.6,107.84,-999,-999,303.6,434.8,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/13/2019,20:17,302.7,2,5.03,429.1,2,3.30,1019.7,24.5,108.87,-999,-999,304.3,430.5,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/13/2019,20:47,309.6,2,5.42,427.4,2,3.45,1020.0,25.6,109.57,-999,-999,311.2,428.9,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/13/2019,21:17,312.5,2,5.25,425.9,2,3.35,1020.0,26.5,110.24,-999,-999,314.1,427.4,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/13/2019,21:47,324.5,2,4.94,426.2,2,3.18,1019.8,27.4,110.63,-999,-999,326.1,427.6,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/13/2019,22:17,333.8,2,4.99,425.6,2,3.15,1019.8,28.0,110.85,-999,-999,335.5,426.9,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/14/2019,00:17,357.4,2,5.31,428.0,2,4.32,1019.6,27.4,110.34,-999,-999,359.4,429.9,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/14/2019,03:17,300.5,2,5.25,415.3,2,4.72,1019.0,23.6,111.05,-999,-999,302.1,417.3,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/14/2019,06:17,346.7,2,5.08,417.1,2,4.73,1019.8,20.5,110.12,-999,-999,348.5,419.1,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/14/2019,09:17,344.6,2,4.08,416.8,2,4.29,1020.6,19.1,109.53,-999,-999,346.0,418.6,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/14/2019,12:17,362.9,2,4.01,409.1,2,4.26,1021.1,18.4,108.32,-999,-999,364.3,410.9,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.352,-124.745,08/14/2019,15:17,353.3,2,4.08,405.7,2,4.28,1022.0,18.0,107.60,-999,-999,354.8,407.5,-999,-999,-999,-999,-999,-999,-999,5
