expocode: 316420160713
vessel name: WA_125W_47N
"PIs: Sutton, A."
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
WA_125W_47N,47.35,-124.704,7/13/2016,19:17,287,2,4.95,400.6,2,4.39,1025.8,25.1,101.36,-999,-999,288.4,402.3,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/13/2016,19:47,280.8,2,3.59,399,2,3.04,1025.8,25.8,103.17,-999,-999,281.8,400.3,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/13/2016,20:17,278,2,3.57,397.7,2,3,1025.8,26.1,104.36,-999,-999,279,398.9,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/13/2016,20:47,273.6,2,3.6,397.9,2,3.02,1025.8,26.1,105.25,-999,-999,274.6,399.1,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/13/2016,21:17,274,2,3.57,398.3,2,3.02,1025.9,26,105.93,-999,-999,275,399.5,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/13/2016,21:47,272.9,2,3.54,398.6,2,2.98,1025.9,25.8,106.45,-999,-999,273.8,399.8,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/13/2016,22:17,269.2,2,3.51,398.5,2,2.96,1025.8,25.6,106.89,-999,-999,270.2,399.7,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/13/2016,22:47,269.9,2,3.48,398.6,2,2.96,1025.9,25.4,107.2,-999,-999,270.9,399.8,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/14/2016,0:17,263.4,2,4.38,398,2,3.94,1025.6,23.4,107.41,-999,-999,264.6,399.6,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/14/2016,3:17,266.6,2,4.02,397.9,2,3.73,1025.3,19.5,107.21,-999,-999,267.7,399.4,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/14/2016,6:17,251.9,2,3.48,397.8,2,3.28,1025.8,17.1,107.21,-999,-999,252.8,399.1,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/14/2016,9:17,236.9,2,3.37,396.7,2,3.17,1025.7,16.4,106.75,-999,-999,237.7,398,-999,-999,-999,-999,-999,-999,-999,5
WA_125W_47N,47.35,-124.704,7/14/2016,12:17,241.2,2,3.32,396.6,2,3.12,1025.6,16.3,106.16,-999,-999,242,397.8,-999,-999,-999,-999,-999,-999,-999,5
