expocode: 316420210522
vessel name: WA_125W_47N
PIs: Sutton_A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
WA_125W_47N,47.352,-124.739,05/22/2021,20:17,230.3,2,2.12,417.4,2,1.81,1021.1,16.5,102.67,10.948,32.555,230.8,418.2,228.8,414.5,-185.7,229.7,416.1,-186.4,-999,5
WA_125W_47N,47.352,-124.739,05/22/2021,20:47,209.5,2,1.61,420.9,2,1.32,1021.1,17.0,104.78,10.991,32.362,209.9,421.5,208.0,417.8,-209.7,208.8,419.4,-210.5,-999,5
WA_125W_47N,47.352,-124.739,05/22/2021,21:17,205.2,2,1.56,421.3,2,1.29,1020.8,17.1,106.45,10.804,32.401,205.5,421.8,203.6,418.1,-214.4,204.4,419.7,-215.3,-999,5
WA_125W_47N,47.352,-124.739,05/22/2021,21:47,209.0,2,1.55,421.3,2,1.28,1020.7,17.1,107.32,11.073,32.383,209.3,421.9,207.4,418.0,-210.6,208.2,419.6,-211.4,-999,5
WA_125W_47N,47.352,-124.739,05/23/2021,00:17,205.0,2,1.80,420.4,2,1.80,1020.3,14.9,106.63,10.662,32.296,205.3,421.2,203.4,417.2,-213.8,204.2,418.9,-214.6,-999,5
WA_125W_47N,47.352,-124.739,05/23/2021,03:17,201.0,2,1.79,420.1,2,1.78,1019.9,13.3,106.84,11.140,32.284,201.4,420.8,199.3,416.6,-217.2,200.1,418.2,-218.1,-999,5
WA_125W_47N,47.352,-124.739,05/23/2021,06:17,219.1,2,1.74,419.9,2,1.73,1019.8,12.7,106.76,10.931,32.094,219.5,420.7,217.3,416.5,-199.2,218.1,418.1,-200.0,-999,5
WA_125W_47N,47.352,-124.739,05/23/2021,09:17,235.2,2,1.66,419.4,2,1.64,1019.4,12.1,105.07,10.780,32.101,235.6,420.1,233.2,415.8,-182.6,234.1,417.4,-183.3,-999,5
WA_125W_47N,47.352,-124.739,05/23/2021,12:17,226.1,2,1.65,419.4,2,1.60,1019.1,11.7,104.86,10.839,32.252,226.5,420.0,224.1,415.6,-191.5,225.0,417.2,-192.2,-999,5
WA_125W_47N,47.352,-124.739,05/23/2021,15:17,263.6,2,1.66,419.2,2,1.60,1019.9,11.5,104.46,10.753,32.107,264.1,419.9,261.5,415.8,-154.3,262.5,417.4,-154.9,-999,5
WA_125W_47N,47.352,-124.739,05/23/2021,18:17,213.3,2,1.83,418.9,2,1.72,1020.0,11.8,105.34,11.045,32.020,213.6,419.6,211.5,415.4,-203.9,212.3,417.0,-204.7,-999,5
WA_125W_47N,47.352,-124.739,05/23/2021,21:17,216.2,2,2.06,418.5,2,1.88,1020.4,13.4,105.76,11.121,31.995,216.7,419.2,214.6,415.2,-200.6,215.4,416.8,-201.4,-999,5
WA_125W_47N,47.352,-124.739,05/24/2021,00:17,209.4,2,2.02,418.9,2,1.87,1020.7,14.2,105.33,11.334,31.979,209.9,419.6,207.9,415.7,-207.8,208.7,417.3,-208.6,-999,5
WA_125W_47N,47.352,-124.739,05/24/2021,03:17,260.9,2,1.84,419.2,2,1.78,1020.2,13.4,102.96,11.383,31.882,261.4,420.0,258.8,415.8,-157.0,259.7,417.4,-157.7,-999,5
WA_125W_47N,47.352,-124.739,05/24/2021,06:17,259.9,2,1.72,419.9,2,1.67,1020.0,12.6,102.48,11.346,31.865,260.4,420.6,257.7,416.3,-158.6,258.7,417.9,-159.2,-999,5
WA_125W_47N,47.352,-124.739,05/24/2021,09:17,254.4,2,1.74,419.6,2,1.69,1019.0,11.8,102.49,11.256,31.889,254.9,420.3,252.1,415.7,-163.7,253.0,417.3,-164.3,-999,5
WA_125W_47N,47.352,-124.739,05/24/2021,12:17,234.6,2,1.78,418.5,2,1.77,1017.8,11.8,103.33,11.172,31.948,235.0,419.2,232.1,414.2,-182.0,233.0,415.8,-182.7,-999,5
WA_125W_47N,47.352,-124.739,05/24/2021,15:17,246.4,2,1.83,418.3,2,1.82,1017.1,12.0,103.96,10.978,31.929,246.9,419.0,243.7,413.7,-170.0,244.7,415.3,-170.6,-999,5
WA_125W_47N,47.352,-124.739,05/24/2021,18:17,281.2,2,2.08,417.6,2,2.04,1017.3,12.9,102.21,11.313,31.819,281.8,418.5,278.2,413.1,-135.0,279.2,414.7,-135.5,-999,5
WA_125W_47N,47.352,-124.739,05/24/2021,21:17,284.8,2,1.99,418.1,2,1.98,1018.0,14.4,101.59,11.550,31.781,285.4,418.9,281.9,413.8,-131.9,282.9,415.3,-132.4,-999,5
WA_125W_47N,47.352,-124.739,05/25/2021,00:17,269.7,2,2.15,418.9,2,2.04,1018.0,13.7,101.71,11.558,31.871,270.3,419.8,267.0,414.6,-147.6,268.0,416.2,-148.2,-999,5
WA_125W_47N,47.352,-124.739,05/25/2021,03:17,257.3,2,1.89,419.4,2,1.82,1017.6,13.6,102.40,11.448,31.858,257.8,420.2,254.6,414.9,-160.3,255.6,416.5,-160.9,-999,5
WA_125W_47N,47.352,-124.739,05/25/2021,06:17,264.7,2,1.83,419.5,2,1.75,1018.4,12.6,102.63,11.295,31.870,265.2,420.2,262.1,415.3,-153.2,263.1,416.9,-153.8,-999,5
WA_125W_47N,47.352,-124.739,05/25/2021,09:17,264.1,2,1.80,419.3,2,1.75,1018.5,12.2,102.30,11.386,31.853,264.6,420.1,261.5,415.2,-153.7,262.5,416.8,-154.3,-999,5
WA_125W_47N,47.352,-124.739,05/25/2021,12:17,269.0,2,1.76,419.3,2,1.70,1019.0,12.0,102.01,11.460,31.834,269.5,420.0,266.5,415.3,-148.8,267.5,416.9,-149.4,-999,5
WA_125W_47N,47.352,-124.739,05/25/2021,15:17,268.3,2,1.95,419.2,2,1.85,1020.3,12.0,102.04,11.388,31.843,268.9,420.0,266.2,415.8,-149.6,267.2,417.4,-150.2,-999,5
WA_125W_47N,47.352,-124.739,05/25/2021,18:17,260.1,2,1.96,419.3,2,1.84,1021.1,13.1,102.34,11.504,31.889,260.6,420.0,258.2,416.2,-158.0,259.2,417.8,-158.6,-999,5
WA_125W_47N,47.352,-124.739,05/25/2021,21:17,280.5,2,2.62,417.8,2,2.23,1021.8,15.1,102.64,11.594,32.015,281.2,418.7,278.8,415.1,-136.3,279.9,416.7,-136.8,-999,5
WA_125W_47N,47.352,-124.739,05/26/2021,00:17,284.1,2,2.38,418.7,2,2.12,1022.3,17.9,102.52,12.260,31.933,284.8,419.6,282.4,415.9,-133.6,283.4,417.5,-134.1,-999,5
WA_125W_47N,47.352,-124.739,05/26/2021,03:17,268.6,2,1.98,419.4,2,1.80,1023.1,14.8,102.43,11.703,31.909,269.2,420.2,267.2,417.1,-149.9,268.2,418.7,-150.5,-999,5
WA_125W_47N,47.352,-124.739,05/26/2021,06:17,264.0,2,1.86,419.3,2,1.69,1023.8,12.7,102.65,11.455,31.896,264.5,420.0,262.8,417.3,-154.5,263.8,418.8,-155.1,-999,5
WA_125W_47N,47.352,-124.739,05/26/2021,09:17,313.6,2,1.79,419.0,2,1.63,1023.5,12.1,102.50,11.434,31.907,314.2,419.7,312.1,416.8,-104.8,313.2,418.4,-105.2,-999,5
WA_125W_47N,47.352,-124.739,05/26/2021,12:17,326.6,2,1.77,419.5,2,1.57,1022.7,11.9,102.45,11.452,31.914,327.2,420.2,324.7,417.0,-92.3,326.0,418.6,-92.7,-999,5
WA_125W_47N,47.352,-124.739,05/26/2021,15:17,323.0,2,1.89,419.2,2,1.72,1022.2,11.8,103.04,11.398,31.965,323.7,419.9,321.1,416.5,-95.5,322.3,418.1,-95.8,-999,5
