Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
WA_125W_47N,47.327,-124.728,9/2/11,3:17,260.7,2,5.31,378.4,2,4.89,1022.4,18.9,111.66,-999,-999,262.1,380.2,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/2/11,6:17,292.3,2,4.86,378.9,2,4.63,1022.3,16.6,111.28,-999,-999,293.8,380.6,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/2/11,9:17,309.4,2,4.51,380.2,2,4.46,1022.4,15.6,110.19,-999,-999,310.8,381.9,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/2/11,12:17,274.3,2,4.32,379.5,2,4.31,1022.8,14.6,110.17,-999,-999,275.5,381.2,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/2/11,15:17,353.2,2,4.23,379.3,2,4.23,1024.2,14.1,108.6,-999,-999,354.6,380.9,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/2/11,18:17,300.1,2,4.71,380.2,2,4.54,1025.3,15,108.77,-999,-999,301.5,381.9,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/2/11,21:17,281.8,2,4.82,381.4,2,4.54,1025.2,17.5,109.38,-999,-999,283.1,383.1,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/2/11,23:17,259.3,2,4.81,382.1,2,4.47,1024.6,18.1,110.54,-999,-999,260.5,383.8,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/3/11,0:17,252.9,2,4.5,383.1,2,4.19,1024.1,18.1,111.48,-999,-999,254,384.7,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/3/11,1:17,253.4,2,4.5,383.2,2,4.23,1023.8,17.7,111.95,-999,-999,254.6,384.8,-999,-999,-999,-999,-999,-999
WA_125W_47N,47.327,-124.728,9/3/11,2:17,248.8,2,4.01,384.3,2,3.85,1023.5,17.2,112.52,-999,-999,249.8,385.8,-999,-999,-999,-999,-999,-999
