"Mooring Name","Latitude","Longitude","Date","Time","xCO2  SW (wet) (umol/mol)","QF","H2O (mmol/mol)","xCO2  Air (wet) (umol/mol)","QF","H2O (mmol/mol)","Licor Atm Pressure  (hPa)","Licor Temp (C)","% O2","SST (C)","Salinity","xCO2  SW (dry) (umol/mol)","xCO2  Air (dry) (umol/mol)","fCO2  SW (sat) uatm","fCO2  Air (sat) uatm","dfCO2","pCO2 SW (sat) uatm","pCO2 Air (sat) uatm","dpCO2"
"WHOTS_158W_23N","22.761","-157.918","08/01/2010","06:17","377.4","2","8.39","383.4","2","8.20","1017.6","25.8","100.00","25.457","35.086","380.6","386.6","369.1","374.9","-5.8","370.2","376.1","-5.8"
"WHOTS_158W_23N","22.761","-157.918","08/01/2010","09:17","376.8","2","8.54","383.7","2","8.04","1018.3","25.5","100.10","25.443","35.086","380.1","386.8","368.8","375.3","-6.5","370.0","376.5","-6.6"
"WHOTS_158W_23N","22.761","-157.918","08/01/2010","12:17","377.7","2","8.20","383.8","2","8.02","1017.0","25.5","100.10","25.429","35.083","380.8","386.9","369.1","375.0","-5.9","370.3","376.2","-5.9"
"WHOTS_158W_23N","22.761","-157.918","08/01/2010","15:17","377.5","2","8.05","383.4","2","7.87","1016.6","25.1","100.00","25.404","35.082","380.6","386.4","368.7","374.4","-5.7","369.9","375.6","-5.7"
"WHOTS_158W_23N","22.761","-157.918","08/01/2010","18:17","377.9","2","8.58","383.2","2","8.41","1016.9","25.0","100.10","25.413","35.081","381.1","386.5","369.4","374.5","-5.2","370.5","375.7","-5.2"
"WHOTS_158W_23N","22.761","-157.918","08/01/2010","21:17","378.5","2","8.58","383.4","2","8.08","1016.7","25.6","100.00","25.467","35.076","381.8","386.5","369.9","374.5","-4.6","371.1","375.7","-4.6"
"WHOTS_158W_23N","22.761","-157.918","08/02/2010","00:17","378.9","2","8.41","384.0","2","8.22","1015.6","25.9","100.05","25.488","35.082","382.1","387.1","369.8","374.6","-4.9","370.9","375.8","-4.9"
"WHOTS_158W_23N","22.761","-157.918","08/02/2010","03:17","380.3","2","8.40","384.0","2","8.21","1014.7","25.8","100.00","25.459","35.122","383.5","387.2","370.8","374.3","-3.6","371.9","375.5","-3.6"
"WHOTS_158W_23N","22.761","-157.918","08/02/2010","06:17","378.8","2","8.19","384.2","2","8.00","1016.2","25.4","100.05","25.448","35.159","382.0","387.3","369.9","375.0","-5.2","371.0","376.2","-5.2"
"WHOTS_158W_23N","22.761","-157.918","08/02/2010","09:17","378.3","2","8.31","384.1","2","8.13","1017.3","25.0","100.05","25.401","35.161","381.4","387.2","369.8","375.4","-5.6","371.0","376.6","-5.6"
