expocode: 316420140801
vessel name: WHOTS_158W_23N
PIs:  Sutton, A.; Weller, B.; Pluddemann, A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/01/2014,12:17,399.5,3,8.33,387.6,3,7.67,1014.5,26.8,99.53,26.358,34.971,402.9,390.6,388.7,376.9,11.8,390.0,378.1,11.9,-999,5,0.033,3,0.959,3,206.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/01/2014,15:17,399.0,2,8.20,388.5,2,7.62,1014.5,26.6,99.52,26.258,34.945,402.3,391.5,388.3,377.9,10.4,389.5,379.0,10.4,-999,5,-999,5,0.941,3,206.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/01/2014,18:17,400.5,2,8.67,388.6,2,8.03,1015.6,26.5,99.55,26.258,34.942,404.0,391.8,390.4,378.5,11.8,391.6,379.7,11.9,-999,5,-999,5,0.942,3,206.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/01/2014,21:17,401.9,2,9.04,387.8,2,8.16,1015.6,27.3,99.53,26.345,34.977,405.6,391.0,391.9,377.7,14.1,393.1,378.9,14.2,-999,5,-999,5,0.946,3,206.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/02/2014,00:17,402.8,3,8.85,388.5,3,8.07,1014.6,27.8,99.54,26.473,35.004,406.4,391.6,392.1,377.8,14.3,393.3,379.0,14.3,-999,5,-999,5,0.958,3,205.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/02/2014,03:17,402.2,2,8.52,388.3,2,8.01,1013.7,27.8,99.62,26.492,35.013,405.6,391.4,391.0,377.3,13.7,392.2,378.5,13.8,-999,5,-999,5,0.970,3,206.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/02/2014,06:17,399.6,2,8.31,389.2,2,7.88,1014.9,27.1,99.62,26.406,35.019,403.0,392.3,389.0,378.7,10.3,390.2,379.8,10.4,-999,5,-999,5,0.948,3,205.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/02/2014,09:17,400.6,2,8.41,387.9,2,7.85,1015.6,26.7,99.61,26.358,35.018,404.0,391.0,390.2,377.7,12.5,391.5,378.9,12.6,-999,5,0.034,3,0.956,3,205.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/02/2014,12:17,399.4,3,8.52,388.4,3,7.97,1014.1,26.9,99.56,26.696,35.099,402.9,391.5,388.3,377.4,11.0,389.5,378.6,11.0,-999,5,0.028,3,0.942,3,204.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.762,-157.917,08/02/2014,15:17,397.9,2,8.36,387.8,2,7.95,1014.0,26.9,99.59,26.741,35.121,401.3,390.9,386.7,376.7,10.0,387.9,377.9,10.0,-999,5,-999,5,0.923,3,203.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
