Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
WHOTS_158W_23N,22.669,-157.964,7/11/09,8:00,388,2,5.51,383.8,2,6.28,1019.5,27,100.19,25.457,35.178,390.1,386.2,379,375.2,3.8,380.2,376.4,3.8
WHOTS_158W_23N,22.669,-157.964,7/11/09,8:30,387.8,2,5.51,383.7,2,6.29,1019.6,27,100.19,25.444,35.177,390,386.1,378.9,375.2,3.7,380.1,376.4,3.8
WHOTS_158W_23N,22.669,-157.964,7/11/09,9:00,388,2,5.85,383.8,2,6.29,1019.5,27,100.14,25.476,35.181,390.3,386.3,379.2,375.3,3.9,380.4,376.5,3.9
WHOTS_158W_23N,22.669,-157.964,7/11/09,12:17,386.8,2,6.64,382.1,2,7.08,1018,25.5,100.09,25.429,35.183,389.4,384.8,377.7,373.4,4.4,378.9,374.5,4.4
WHOTS_158W_23N,22.669,-157.964,7/11/09,15:17,386.9,2,6.19,382,2,6.61,1017.7,25.1,100.09,25.448,35.178,389.3,384.5,377.6,372.9,4.7,378.8,374.1,4.7
WHOTS_158W_23N,22.669,-157.964,7/11/09,18:17,386.5,2,8.32,381.7,2,7.53,1018.7,25.1,99.9,25.446,35.175,389.7,384.6,378.3,373.3,5,379.5,374.5,5
WHOTS_158W_23N,22.669,-157.964,7/11/09,21:17,387.3,2,7.81,381.7,2,7.29,1018.8,26,99.86,25.516,35.174,390.4,384.5,379,373.2,5.7,380.2,374.4,5.8
WHOTS_158W_23N,22.669,-157.964,7/12/09,0:17,388.7,2,7.38,381.9,2,7.17,1018.1,26.5,99.95,25.598,35.177,391.6,384.6,379.8,373.1,6.7,381,374.3,6.7
WHOTS_158W_23N,22.669,-157.964,7/12/09,3:17,388.2,2,8.1,381.4,2,7.55,1017.1,26.6,99.9,25.627,35.173,391.4,384.3,379.2,372.4,6.9,380.4,373.6,6.9
WHOTS_158W_23N,22.669,-157.964,7/12/09,6:17,387.8,2,6.67,382.1,2,6.79,1018.3,26.4,100.05,25.489,35.134,390.4,384.7,378.8,373.3,5.5,380,374.5,5.5
WHOTS_158W_23N,22.669,-157.964,7/12/09,9:17,386.2,2,6.79,381.5,2,7.24,1019,25.9,100,25.422,35.135,388.9,384.3,377.6,373.2,4.4,378.8,374.4,4.4
WHOTS_158W_23N,22.669,-157.964,7/12/09,12:17,386.3,2,6.98,381.4,2,7.42,1018.2,25.6,99.95,25.402,35.128,389,384.3,377.5,372.9,4.6,378.7,374.1,4.6
WHOTS_158W_23N,22.669,-157.964,7/12/09,15:17,385.9,2,6.27,381.3,2,7.02,1018.1,25.4,99.95,25.375,35.117,388.3,384,376.8,372.6,4.2,378,373.8,4.2
WHOTS_158W_23N,22.669,-157.964,7/12/09,18:17,385.4,2,8.44,381.9,2,7.64,1019.1,25.3,99.81,25.364,35.102,388.7,384.9,377.6,373.8,3.8,378.8,375,3.8
