expocode: 316420170728
vessel name: WHOTS_158W_23N
PIs:  Sutton, A.; Weller, B.; Pluddemann, A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,06:17,398.4,2,4.73,404.7,3,4.30,1016.3,27.5,99.82,-999,-999,400.3,406.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,06:47,399.0,2,4.62,404.3,2,4.25,1016.6,27.7,99.95,26.783,34.917,400.9,406.1,387.3,392.4,-5.0,388.5,393.6,-5.1,-999,5,-999,5,0.197,2,205.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,07:17,398.6,2,4.64,404.5,2,4.25,1016.6,27.8,100.08,26.792,34.917,400.5,406.3,387.0,392.5,-5.6,388.2,393.8,-5.6,-999,5,-999,5,0.231,2,205.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,07:47,398.3,2,4.58,404.4,2,4.09,1016.8,27.9,100.19,26.781,34.917,400.2,406.1,386.7,392.4,-5.7,387.9,393.7,-5.7,-999,5,-999,5,0.202,2,205.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,08:17,397.7,2,4.58,404.5,2,4.07,1016.6,27.9,100.26,26.746,34.920,399.5,406.1,386.1,392.4,-6.4,387.3,393.7,-6.4,-999,5,0.031,2,0.191,2,205.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,08:47,397.8,2,4.60,404.3,2,4.17,1016.6,28.0,100.35,26.743,34.921,399.6,406.0,386.1,392.3,-6.1,387.4,393.5,-6.1,-999,5,0.038,2,0.184,2,205.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,09:17,397.7,2,4.50,404.2,2,4.05,1016.5,28.0,100.48,26.736,34.919,399.5,405.8,386.0,392.1,-6.1,387.2,393.4,-6.1,-999,5,0.030,2,0.195,2,205.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,12:17,398.4,2,5.95,403.6,2,5.53,1015.1,27.0,100.42,26.722,34.919,400.8,405.8,386.7,391.5,-4.8,387.9,392.8,-4.8,-999,5,0.036,2,0.171,2,205.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,15:17,398.3,2,5.83,403.8,2,5.48,1015.0,26.7,100.32,26.712,34.916,400.7,406.1,386.5,391.8,-5.2,387.8,393.0,-5.2,-999,5,-999,5,0.179,2,205.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,18:17,398.1,2,6.49,403.2,2,6.16,1016.3,26.5,100.59,26.708,34.918,400.7,405.7,387.2,392.0,-4.8,388.4,393.2,-4.9,-999,5,-999,5,0.185,2,205.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/28/2017,21:17,399.4,2,6.63,403.0,2,5.87,1016.5,27.2,100.32,26.772,34.920,402.0,405.4,388.4,391.7,-3.3,389.6,392.9,-3.3,-999,5,-999,5,0.202,2,205.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/29/2017,00:17,400.1,2,6.41,403.3,2,5.63,1015.3,27.5,100.33,26.868,34.921,402.7,405.6,388.5,391.3,-2.8,389.7,392.5,-2.8,-999,5,-999,5,0.179,2,205.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/29/2017,03:17,400.6,2,6.34,403.1,2,5.66,1014.6,27.6,100.30,26.899,34.919,403.2,405.4,388.7,390.8,-2.1,389.9,392.0,-2.1,-999,5,-999,5,0.173,2,205.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.668,-157.968,07/29/2017,06:17,399.1,2,6.21,403.1,2,5.62,1015.7,27.3,100.35,26.825,34.923,401.6,405.4,387.7,391.2,-3.6,388.9,392.5,-3.6,-999,5,-999,5,0.197,2,205.9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
