Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
WHOTS_158W_23N,22.773,-157.921,6/5/08,4:58,382.3,2,4.66,387.3,2,4.4,1018.3,26.4,99.76,25.388,34.902,384,389,372.7,377.5,-4.8,373.9,378.7,-4.8
WHOTS_158W_23N,22.773,-157.921,6/5/08,5:28,378,2,4.11,388.5,2,3.82,1018.7,26.9,99.86,25.367,34.896,379.5,390,368.5,378.7,-10.2,369.7,379.9,-10.2
WHOTS_158W_23N,22.773,-157.921,6/5/08,5:58,376.9,2,3.81,388.3,2,3.51,1019.1,27.1,99.95,25.357,34.893,378.4,389.7,367.5,378.5,-11,368.7,379.7,-11
WHOTS_158W_23N,22.773,-157.921,6/5/08,6:28,375.5,2,4.17,388.2,2,3.88,1019.7,27.2,100.05,25.328,34.887,377.1,389.7,366.5,378.8,-12.3,367.7,380,-12.3
WHOTS_158W_23N,22.773,-157.921,6/5/08,6:58,375.1,2,4.18,388.1,2,3.88,1020,27.2,100.09,25.285,34.875,376.7,389.6,366.3,378.9,-12.6,367.5,380.1,-12.6
WHOTS_158W_23N,22.773,-157.921,6/5/08,7:28,375.1,2,3.84,388.2,2,3.53,1020,27.2,100.14,25.278,34.871,376.5,389.6,366.1,378.8,-12.7,367.3,380,-12.7
WHOTS_158W_23N,22.773,-157.921,6/5/08,7:58,375,2,3.84,388.1,2,3.53,1020.2,27.2,100.14,25.286,34.875,376.4,389.5,366.1,378.8,-12.7,367.3,380,-12.7
WHOTS_158W_23N,22.773,-157.921,6/5/08,8:28,374.9,2,4.18,388,2,3.88,1020.4,27.2,100.19,25.298,34.884,376.4,389.5,366.2,378.9,-12.7,367.4,380.1,-12.7
WHOTS_158W_23N,22.773,-157.921,6/5/08,9:16,372.8,2,13.13,388.1,2,4.16,1016.7,25.5,96.72,25.308,34.897,377.8,389.8,366.1,377.7,-11.6,367.3,378.9,-11.7
WHOTS_158W_23N,22.773,-157.921,6/5/08,12:16,373.6,2,13.02,388.3,2,4.56,1015.4,25.4,96.83,25.345,34.933,378.5,390.1,366.3,377.5,-11.2,367.5,378.7,-11.2
