expocode: 316420160628
vessel name: WHOTS_158W_23N
PIs:  Sutton, A.; Weller, B.; Pluddemann, A.
vessel type: Mooring
Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/28/2016,06:17,-999,4,4.61,-999,4,4.54,1018.0,25.7,94.78,25.524,34.854,-999,-999,-999,-999,-999,-999,-999,-999,8.072,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/28/2016,09:17,390.3,2,4.39,402.2,2,4.26,1019.2,25.4,96.29,25.496,34.854,392.0,403.9,380.8,392.3,-11.5,382.0,393.5,-11.5,8.069,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/28/2016,12:17,390.3,2,4.10,402.4,2,3.94,1017.4,25.3,96.97,25.495,34.855,391.9,404.0,379.9,391.7,-11.7,381.2,392.9,-11.8,8.070,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/28/2016,15:17,390.0,2,4.20,402.3,2,4.00,1017.4,25.3,97.66,25.472,34.857,391.6,403.9,379.7,391.6,-12.0,380.9,392.9,-12.0,8.069,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/28/2016,18:17,391.7,2,4.60,401.9,2,4.44,1018.4,25.7,98.38,25.493,34.857,393.5,403.7,381.9,391.8,-9.9,383.1,393.0,-9.9,8.071,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/28/2016,21:17,392.0,2,4.79,402.3,2,4.39,1018.4,26.4,98.72,25.570,34.859,393.9,404.1,382.2,392.1,-9.8,383.4,393.3,-9.9,8.063,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/29/2016,00:17,393.5,2,4.37,402.7,2,4.06,1017.4,26.5,98.90,25.701,34.860,395.2,404.4,383.0,391.8,-8.9,384.2,393.1,-8.9,-999,4,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/29/2016,03:17,394.4,2,4.38,403.7,2,4.22,1016.5,26.8,99.45,25.757,34.862,396.1,405.5,383.5,392.5,-9.1,384.7,393.8,-9.1,8.065,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/29/2016,06:17,391.8,2,4.35,404.5,2,4.09,1018.1,26.6,99.17,25.628,34.860,393.5,406.2,381.7,394.0,-12.3,382.9,395.2,-12.3,8.067,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/29/2016,09:17,390.8,2,4.45,404.5,2,4.19,1018.6,26.2,99.68,25.592,34.860,392.6,406.2,381.0,394.1,-13.2,382.2,395.4,-13.2,8.068,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHOTS_158W_23N,22.782,-157.930,06/29/2016,12:17,390.6,2,4.36,404.8,2,4.09,1017.4,26.0,99.77,25.574,34.853,392.3,406.5,380.3,394.0,-13.8,381.5,395.3,-13.8,8.071,2,-999,5,-999,5,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
